year,eurent_VERB assez_ADV,eurent_VERB cassé_VERB
1800,2.2323567350213125e-07,0.0
1801,1.619204113012529e-07,0.0
1802,2.1707049313590687e-07,0.0
1803,2.106366423504369e-07,0.0
1804,1.5819846055364906e-07,0.0
1805,1.6204403152642044e-07,0.0
1806,2.3917854719002207e-07,0.0
1807,1.5942949005420815e-07,0.0
1808,2.628645745517133e-07,0.0
1809,1.581321384946932e-07,0.0
1810,2.4805342491163174e-07,0.0
1811,2.1560860830049933e-07,2.5070767684098882e-09
1812,5.867858021701977e-08,0.0
1813,1.8979895344273245e-07,0.0
1814,1.1013369771717407e-07,0.0
1815,2.346584437873389e-07,0.0
1816,2.248075787747439e-07,0.0
1817,2.568841068750771e-07,1.556873407970727e-09
1818,2.3365507217931736e-07,0.0
1819,2.1116142079335987e-07,0.0
1820,2.8479553293436766e-07,0.0
1821,2.1103585368109634e-07,9.86148829262845e-10
1822,1.9850719468195166e-07,0.0
1823,3.4589405117912975e-07,0.0
1824,3.494761813271907e-07,0.0
1825,2.879379792375403e-07,6.163809906922779e-09
1826,1.5766292449370667e-07,0.0
1827,2.820485462962097e-07,0.0
1828,2.568244212852733e-07,9.172301251858528e-10
1829,2.426208709493949e-07,0.0
1830,2.0978039572128182e-07,0.0
1831,1.1225668572478753e-07,0.0
1832,1.7724259748774784e-07,0.0
1833,1.8997150164068444e-07,0.0
1834,1.9042443000216736e-07,9.334530925997342e-10
1835,2.677332986422698e-07,0.0
1836,1.5256102869898314e-07,0.0
1837,1.871672594688789e-07,0.0
1838,2.2155688839120558e-07,1.8936485712828244e-09
1839,1.7548602215811115e-07,0.0
1840,1.598791925516707e-07,6.369688665408546e-10
1841,1.4959877603359928e-07,1.926164561183441e-09
1842,1.9051472577302775e-07,0.0
1843,1.494448440553242e-07,3.5441467538532834e-09
1844,1.7508510552488588e-07,0.0
1845,1.1160455670733427e-07,1.1160455892778032e-09
1846,1.6802418656425289e-07,0.0
1847,1.6449331496914965e-07,1.0786447290911383e-09
1848,1.5607730574629386e-07,0.0
1849,9.049767868418712e-08,1.6758829879393033e-09
1850,1.262753244191117e-07,6.788996032014438e-10
1851,1.1931462040593033e-07,0.0
1852,1.0416872697760482e-07,6.510545436100301e-10
1853,1.6004777592115715e-07,1.1943863675867306e-09
1854,1.4703729789289355e-07,0.0
1855,1.363882802252192e-07,0.0
1856,1.289120064029703e-07,0.0
1857,1.2887184652754513e-07,0.0
1858,1.1010771316932733e-07,2.4468380654951716e-09
1859,1.3901633622026566e-07,0.0
1860,1.3914639396261919e-07,0.0
1861,1.362913479852068e-07,0.0
1862,1.0707627495776251e-07,0.0
1863,1.4634238709732017e-07,3.995696662428827e-09
1864,9.637403053375238e-08,0.0
1865,1.0872810207729344e-07,0.0
1866,1.3721027869451063e-07,0.0
1867,1.1209994710270621e-07,1.94112459439566e-09
1868,7.805000734606438e-08,4.93987406535723e-10
1869,1.0792577143092785e-07,0.0
1870,1.0435968533784035e-07,5.734048791339319e-10
1871,9.240424247991541e-08,0.0
1872,9.312902449210014e-08,6.047339295989218e-10
1873,1.0295927665993077e-07,0.0
1874,8.304706966555386e-08,0.0
1875,9.841026837875688e-08,0.0
1876,8.222580305528027e-08,0.0
1877,9.462768701951063e-08,0.0
1878,1.008527803492143e-07,0.0
1879,1.2707396024325135e-07,3.0546627449723474e-09
1880,9.947661538944885e-08,6.417846254436199e-10
1881,6.763332294212887e-08,0.0
1882,7.121261802467416e-08,0.0
