year,seront_VERB assez_ADV
1800,2.924073059240584e-07
1801,3.524150145040039e-07
1802,4.1623826518844e-07
1803,3.003522515143686e-07
1804,2.9662210820902146e-07
1805,3.69574102432324e-07
1806,3.4003696214313095e-07
1807,3.1601200589648215e-07
1808,2.719288656471974e-07
1809,3.1626426899578064e-07
1810,3.416585157012264e-07
1811,1.930449116116506e-07
1812,2.960601093171533e-07
1813,1.9267468553962885e-07
1814,2.674675556590955e-07
1815,2.832084646797739e-07
1816,4.3802714344565175e-07
1817,3.658652625304626e-07
1818,2.884924843460368e-07
1819,4.0369095266612476e-07
1820,3.465012472503304e-07
1821,3.9544568464222607e-07
1822,1.8647645561031823e-07
1823,2.609029210454139e-07
1824,2.4673859133628184e-07
1825,2.3334424348320226e-07
1826,2.8185548728298926e-07
1827,2.903440984303174e-07
1828,2.870930302378838e-07
1829,2.8720138933735484e-07
1830,2.1499881630582252e-07
1831,2.837599515359557e-07
1832,3.869571250092463e-07
1833,2.861156351841032e-07
1834,2.9217081998211825e-07
1835,3.6302822081779595e-07
1836,3.064662074114821e-07
1837,2.8875247748416655e-07
1838,2.651108133022717e-07
1839,3.006334187150017e-07
1840,3.1784745280205584e-07
1841,2.587480962823463e-07
1842,2.5692656402398484e-07
1843,2.504530184355147e-07
1844,2.3216613886933857e-07
1845,2.82917554272899e-07
1846,2.7633245380798144e-07
1847,2.691218456973843e-07
1848,2.671013591970528e-07
1849,2.5305832362931824e-07
1850,2.7088094523008976e-07
1851,2.5217305865687933e-07
1852,2.447965166130217e-07
1853,2.4902954587346926e-07
1854,2.6445933309915404e-07
1855,2.0325569849433123e-07
1856,2.49540518693081e-07
1857,2.157626979304439e-07
1858,2.8089699455335904e-07
1859,2.52062576366896e-07
1860,2.4396389716740963e-07
1861,2.2636625685024114e-07
1862,2.5662161109996084e-07
1863,3.2215305356686486e-07
1864,2.641895064936506e-07
1865,2.536989052170924e-07
1866,2.1360040003415293e-07
1867,2.3487607059280435e-07
1868,3.201038252242938e-07
1869,2.353856269898813e-07
1870,2.695002985220185e-07
1871,2.421628457760505e-07
1872,2.7454919693248314e-07
1873,2.5201079045800157e-07
1874,2.5810310999574426e-07
1875,2.860763621548301e-07
1876,2.2370254715298188e-07
