year,aient_VERB ôté_VERB,aient_VERB coté_VERB
1800,0.0,0.0
1801,1.1905912700171939e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,0.0
1804,9.887403784603066e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,1.6380887757350138e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,1.1502966579257645e-08,0.0
1814,1.2586708564299443e-08,3.1466771410748606e-09
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,1.2454987263765815e-08,0.0
1818,1.668964877410417e-08,0.0
1819,6.210630232317271e-09,0.0
1820,7.119888678630559e-09,0.0
1821,1.8736827200882544e-08,0.0
1822,2.0051231786055723e-09,0.0
1823,2.9648061783404955e-09,0.0
1824,2.5263338088166165e-09,0.0
1825,9.68598712347557e-09,0.0
1826,1.7615968683770689e-09,0.0
1827,4.608636583469661e-09,0.0
1828,3.668920500743411e-09,0.0
1829,4.286587973467704e-09,0.0
1830,4.174734336004349e-09,1.461157062010443e-08
1831,3.1182412207897414e-09,0.0
1832,1.6235963684607668e-08,0.0
1833,0.0,0.0
1834,7.467624740797874e-09,0.0
1835,4.5378527602224494e-09,0.0
1836,8.064899859050456e-09,0.0
1837,2.0873671680021744e-09,0.0
1838,1.8936485712828244e-09,0.0
1839,9.788065469251706e-09,0.0
1840,5.095750932326837e-09,0.0
1841,5.778493683550323e-09,0.0
1842,1.341653010911159e-09,0.0
1843,2.1855571574747046e-08,0.0
1844,2.7442805805577564e-09,0.0
1845,5.022205318283568e-09,0.0
1846,3.5127007969038004e-09,0.0
1847,9.168480197274675e-09,0.0
1848,0.0,0.0
1849,5.865590679832167e-09,0.0
1850,8.82569484161877e-09,0.0
1851,1.5478653025979838e-08,0.0
1852,8.463708844885787e-09,0.0
1853,1.2541057081705276e-08,0.0
1854,2.5978321716024766e-09,0.0
1855,3.714855978387277e-09,0.0
1856,4.659470143053568e-09,0.0
1857,5.369659827891837e-09,0.0
1858,9.787352039936081e-10,0.0
1859,1.5276520048956854e-09,0.0
1860,6.865775947773045e-09,0.0
1861,9.903524222920623e-09,0.0
1862,1.400575744270327e-08,0.0
1863,5.9935452156878455e-09,0.0
1864,9.589455896019672e-10,0.0
1865,8.47231973466478e-09,0.0
1866,6.811858188626729e-09,0.0
1867,3.88224918879132e-09,0.0
1868,1.975949626142892e-09,0.0
1869,1.5627261262807224e-08,0.0
1870,4.013834153937523e-09,0.0
1871,0.0,0.0
1872,4.23313739617015e-09,0.0
1873,2.3944017879529156e-09,0.0
1874,5.377148060148329e-09,0.0
1875,1.4303817685856757e-08,0.0
1876,6.04601479992084e-10,0.0
1877,2.4739263970730008e-09,0.0
1878,6.039088673581716e-10,0.0
1879,6.109325489944695e-09,0.0
1880,7.701415505323439e-09,0.0
1881,1.1156012114099667e-08,4.183504653809678e-09
1882,4.6587693702804245e-09,6.655385131892899e-10
1883,1.8958017378167824e-09,0.0
1884,1.3203393933736152e-09,0.0
1885,2.5782542767416317e-09,0.0
1886,0.0,1.2906927748801422e-09
1887,6.528924623161458e-10,0.0
1888,3.804368819970705e-09,0.0
1889,3.132568426877924e-09,0.0
1890,1.3108772956016423e-09,0.0
1891,1.9122659011827636e-09,2.5496880162734215e-09
1892,3.1342561879199593e-09,0.0
1893,0.0,6.158416554491453e-10
1894,5.671385139294216e-09,0.0
1895,3.0093072478365457e-09,0.0
1896,1.7691086373616827e-09,5.89702897624278e-10
1897,2.330685422435863e-09,0.0
1898,3.960848538042683e-09,0.0
1899,1.6582735185011188e-09,0.0
1900,1.038210628578895e-09,5.191053142894475e-10
1901,2.794369402536745e-09,0.0
1902,0.0,0.0
1903,1.6200660812870638e-09,0.0
1904,5.374625189347171e-10,0.0
1905,5.160759042333041e-10,5.160759042333041e-10
1906,2.0576738091193647e-09,0.0
1907,5.65712765521198e-09,5.142843373384665e-10
1908,4.911389073214423e-10,0.0
1909,2.2003934230241384e-09,0.0
1910,0.0,0.0
1911,1.0640748282497725e-09,0.0
1912,5.730363294986773e-09,1.5628263128064646e-09
1913,2.121195885607108e-09,5.30298971401777e-10
1914,0.0,0.0
1915,1.1780761921542648e-09,0.0
1916,3.2962386153911893e-09,1.0987462051303964e-09
1917,3.289927441585405e-09,0.0
1918,0.0,0.0
1919,3.6831393490643904e-09,0.0
1920,1.514446346106979e-09,0.0
1921,7.572747429129834e-10,0.0
1922,2.2133805899215986e-09,0.0
1923,1.0615948120573648e-09,0.0
1924,0.0,0.0
1925,2.1996355847875293e-09,0.0
1926,0.0,0.0
1927,0.0,0.0
1928,0.0,0.0
