year,en_ADP art_NOUN,en_ADP gares_NOUN
1800,3.5529058095562505e-07,0.0
1801,2.3335590038087162e-07,0.0
1802,2.528759353026544e-07,0.0
1803,2.96451567294298e-07,0.0
1804,3.5347467886026607e-07,0.0
1805,4.3780317948716174e-07,0.0
1806,1.2679343619481642e-07,0.0
1807,4.0711458382247656e-07,0.0
1808,1.994145080175258e-07,0.0
1809,3.478907117937524e-07,0.0
1810,3.1591712490453006e-07,0.0
1811,3.133846036007526e-07,0.0
1812,2.347143261971496e-07,0.0
1813,3.163315744902917e-07,0.0
1814,2.1082736223476672e-07,0.0
1815,3.425474046636623e-07,0.0
1816,1.9931394135142e-07,0.0
1817,1.7125607354451233e-07,0.0
1818,2.0027577329884139e-07,0.0
1819,2.856889746993829e-07,0.0
1820,2.9191542783024715e-07,0.0
1821,3.4416593208685953e-07,0.0
1822,3.448811725093037e-07,0.0
1823,2.5793813007712885e-07,0.0
1824,2.080014889216386e-07,8.421112696055388e-10
1825,2.3246369362794894e-07,0.0
1826,1.98179641364149e-07,0.0
1827,2.1199727545662128e-07,0.0
1828,1.6601865127086057e-07,0.0
1829,1.3974277424111392e-07,0.0
1830,1.6281463843803579e-07,0.0
1831,2.2451337100548585e-07,0.0
1832,2.0565553371376666e-07,0.0
1833,2.3283092964732077e-07,0.0
1834,2.1936147609480372e-07,0.0
1835,2.102538445569735e-07,0.0
1836,2.5337227693711384e-07,0.0
1837,2.5048406193661776e-07,0.0
1838,1.956770185884693e-07,0.0
1839,1.8527408773838516e-07,0.0
1840,2.465069468549075e-07,0.0
1841,2.3499206980304166e-07,0.0
1842,1.6837745286935046e-07,0.0
1843,2.72308605886451e-07,0.0
1844,1.816713766089606e-07,1.097712254427563e-09
1845,2.310214348710815e-07,1.1160455892778032e-09
1846,2.3418005912212436e-07,1.2294452567118697e-08
1847,2.448523579445805e-07,5.393223645455691e-10
1848,2.0273959022709676e-07,0.0
1849,1.458018203948086e-07,0.0
1850,2.0570657888185906e-07,0.0
1851,2.2121575149469663e-07,6.449438760824933e-10
1852,2.500049509635005e-07,3.906327261660181e-09
1853,1.9587936606058065e-07,5.971931837933653e-10
1854,2.51989728639046e-07,0.0
1855,3.5874894521725764e-07,3.1841622671890946e-09
1856,2.4746964832900176e-07,5.177189343896771e-09
1857,1.9965372066721443e-07,2.9289055625270066e-09
1858,2.1630048152587733e-07,2.7404585267731818e-08
1859,2.3373075563881685e-07,1.1202780925145817e-08
1860,2.0093836816670319e-07,4.57718396518203e-09
1861,1.876953561463779e-07,8.017138064531082e-09
1862,2.218331287551223e-07,2.2589932147099034e-09
1863,2.497310411797571e-07,1.9978483312144135e-09
1864,3.1213678575170434e-07,2.3973640850272204e-09
1865,2.4051974989447444e-07,1.5061901947888146e-08
1866,2.4182096414193666e-07,4.865612912574591e-10
1867,3.2174139263929646e-07,5.82337378318698e-09
1868,3.606107963349814e-07,2.4699371437009177e-09
1869,2.6224497418070314e-07,0.0
1870,3.314280263566616e-07,5.734048791339319e-10
1871,2.570324895145859e-07,0.0
1872,2.9087701491903317e-07,0.0
1873,2.9690581726526943e-07,2.9930022904522957e-09
1874,2.8976854693496534e-07,2.9873046258899194e-09
1875,3.684663383296538e-07,5.149374260327022e-09
1876,4.867041951683859e-07,9.673623679873344e-09
1877,2.9996358463790784e-07,2.4739263970730008e-09
1878,3.9314468480711184e-07,1.8117265465633636e-09
1879,4.1726692145971356e-07,1.832797580370027e-09
1880,3.651754560962672e-07,3.2089231272180996e-09
1881,4.288092299020718e-07,6.2752567586699115e-09
1882,5.623800376497456e-07,1.3310770263785798e-09
1883,5.579976374292528e-07,6.319338941018771e-10
1884,7.189247916983277e-07,5.281357573494461e-09
1885,5.343431936921661e-07,5.80107206715752e-09
1886,5.97590766204803e-07,3.872078213618124e-09
1887,5.490825607523675e-07,4.570247291724172e-09
1888,6.73373254045373e-07,1.4583413587843097e-08
