year,furent_VERB aux_ADP,furent_VERB faux_ADJ
1800,7.231578535993322e-08,3.144164484325529e-09
1801,4.524246932646747e-08,2.3811825844433088e-09
1802,1.432217686669901e-07,2.2378401354217203e-09
1803,9.946730017418304e-08,3.900678446910888e-09
1804,3.213406074564773e-08,0.0
1805,8.24434565060983e-08,0.0
1806,1.2391177506287931e-07,0.0
1807,6.547996633798903e-08,0.0
1808,3.852325747288887e-08,0.0
1809,1.5587310997489112e-07,0.0
1810,3.042164919975221e-08,0.0
1811,5.766276700569506e-08,0.0
1812,6.13457871168066e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,7.237357380063258e-08,0.0
1815,4.045835311217161e-08,0.0
1816,6.489290882427667e-08,2.3176038865813098e-09
1817,6.538868291272593e-08,0.0
1818,4.768470773797162e-08,0.0
1819,7.970308502081025e-08,1.6561680027393777e-08
1820,1.9105034709809843e-07,0.0
1821,8.875339574387908e-08,0.0
1822,1.7043547018147365e-07,0.0
1823,2.3421968364800705e-07,0.0
1824,1.1789558129748912e-07,0.0
1825,1.1006803646296248e-07,0.0
1826,1.559013185215008e-07,0.0
1827,2.0646692178161175e-07,0.0
1828,1.164882235116238e-07,0.0
1829,1.2431105744781235e-07,0.0
1830,1.0854309095975623e-07,0.0
1831,9.666548095310645e-08,0.0
1832,7.576782934393123e-08,0.0
1833,8.91939393454777e-08,0.0
1834,1.0921401383257034e-07,0.0
1835,1.1117739262545001e-07,0.0
1836,1.6129800428643648e-07,8.736974699274924e-09
1837,1.3776623575267877e-07,0.0
1838,1.8683999769564252e-07,0.0
1839,6.991475487438947e-08,0.0
1840,1.0573683084658114e-07,0.0
1841,1.0593905130917847e-07,0.0
1842,1.10686372067903e-07,0.0
1843,9.569195924541418e-08,2.3627644285539873e-09
1844,6.75093048130293e-08,0.0
1845,9.542189616240648e-08,0.0
1846,6.557041842825129e-08,0.0
1847,8.197699941092651e-08,6.47186837454683e-09
1848,1.0700144770225961e-07,0.0
1849,5.781796375003978e-08,3.3517659758786067e-09
1850,9.165144376765966e-08,6.788996032014438e-10
1851,6.900899762740664e-08,0.0
1852,9.049658444837405e-08,0.0
1853,8.480143520728234e-08,2.388772735173461e-09
1854,1.1846115199887208e-07,0.0
1855,7.111295730055645e-08,0.0
1856,7.403380664072756e-08,0.0
1857,8.59145572462694e-08,4.881509085841174e-10
1858,5.529853908115001e-08,9.787352039936081e-10
1859,7.485494535330872e-08,3.5645213447565993e-09
1860,1.0664838612228777e-07,0.0
1861,5.94211435611669e-08,0.0
1862,5.46676339752139e-08,0.0
1863,5.3442441583229083e-08,0.0
1864,7.863354056780736e-08,0.0
1865,9.131277778351432e-08,0.0
1866,7.006482860560936e-08,0.0
1867,8.20125123368598e-08,0.0
1868,6.273639741039005e-08,0.0
1869,7.08110263758499e-08,0.0
1870,8.830435405116077e-08,0.0
1871,3.3987767267262825e-08,0.0
1872,4.2936108002322726e-08,0.0
1873,7.721946104766175e-08,0.0
1874,5.317401985394099e-08,0.0
1875,5.435450844970546e-08,0.0
1876,5.2600327649088285e-08,0.0
1877,1.6389762436119781e-07,0.0
1878,9.722932503564152e-08,0.0
1879,8.919614913338592e-08,0.0
1880,8.279021557200394e-08,0.0
1881,9.62206030408197e-08,0.0
1882,6.988154410692005e-08,0.0
1883,5.9401784824331116e-08,0.0
1884,5.215340692643622e-08,0.0
1885,6.767917426486747e-08,0.0
1886,9.486591778795628e-08,0.0
1887,4.7661149693567495e-08,0.0
1888,8.559830178000993e-08,0.0
1889,1.0901337788027377e-07,0.0
1890,5.309053108248918e-08,0.0
1891,5.8005401371019616e-08,0.0
1892,5.578975859066304e-08,0.0
1893,7.205347429817266e-08,0.0
1894,4.7261544011689693e-08,0.0
1895,7.884384700673763e-08,0.0
1896,5.779088496637996e-08,0.0
1897,4.661370667236042e-08,0.0
1898,5.941272718246182e-08,0.0
1899,6.246163763989898e-08,0.0
1900,9.395806443990296e-08,5.191053142894475e-10
1901,7.209473551483825e-08,5.588738916095792e-10
1902,5.548620762851897e-08,0.0
1903,6.804277319361063e-08,0.0
1904,6.825774079288749e-08,1.0749250378694342e-09
1905,6.450948575320581e-08,0.0
1906,6.12157933232993e-08,0.0
1907,6.47998277258921e-08,0.0
1908,5.8445529305117816e-08,0.0
1909,5.170924666231258e-08,5.500983557560346e-10
1910,5.985448581213859e-08,0.0
1911,7.235708920916295e-08,0.0
1912,6.355493553655833e-08,0.0
1913,6.522677153952827e-08,0.0
1914,9.040603998755614e-08,0.0
1915,8.128725426104211e-08,0.0
1916,8.24059682713596e-08,0.0
1917,7.457168749169796e-08,0.0
1918,5.283732917860107e-08,0.0
1919,1.1233574781499556e-07,0.0
1920,6.890731185649202e-08,0.0
1921,7.724202077952214e-08,0.0
1922,6.71392115236813e-08,0.0
1923,7.431163595583712e-08,7.431163684401554e-09
1924,1.0184383114619777e-07,0.0
1925,6.598907020816114e-08,0.0
1926,1.0254447602164873e-07,0.0
1927,7.692965198202728e-08,0.0
1928,6.170062505361784e-08,2.2852082448565625e-09
1929,7.241263944024467e-08,3.342121912552898e-09
1930,7.037414206934045e-08,0.0
1931,6.50105320687544e-08,0.0
1932,5.2605777511871565e-08,0.0
1933,5.276504566609219e-08,0.0
1934,5.990790441501304e-08,0.0
1935,8.018750463634206e-08,0.0
1936,6.183604739362636e-08,0.0
1937,6.043736533456467e-08,1.2591118148108649e-09
1938,6.871563584809337e-08,0.0
1939,7.341144225847529e-08,4.588215141154706e-09
1940,9.889553354014424e-08,0.0
1941,8.264207451702532e-08,0.0
1942,6.978687139280737e-08,0.0
1943,7.83873517207212e-08,0.0
1944,6.42637232317611e-08,0.0
1945,7.84261473540937e-08,2.178504043826024e-09
1946,6.40370814153357e-08,1.3921104269343232e-09
1947,6.914105199484766e-08,0.0
1948,6.958008214041911e-08,0.0
1949,4.613993809243766e-08,9.817008317369869e-10
1950,4.3604980959344175e-08,0.0
1951,6.076999170545605e-08,0.0
1952,5.483298082253896e-08,0.0
1953,6.24881977273617e-08,0.0
1954,5.668070812703263e-08,0.0
1955,7.226918086189471e-08,0.0
1956,4.360570926564833e-08,3.488456634670456e-09
1957,4.1524678806581505e-08,0.0
1958,5.873292963087806e-08,0.0
1959,4.1854036680888385e-08,0.0
1960,4.775375117560543e-08,0.0
1961,5.280601200752244e-08,0.0
1962,5.390662849436012e-08,0.0
1963,5.043521511538529e-08,0.0
1964,4.6846555079582686e-08,6.083968329129164e-10
1965,6.511731953651179e-08,1.0944086747954884e-09
1966,5.0405581930590415e-08,0.0
1967,4.733121983235833e-08,0.0
1968,5.7939264053175066e-08,0.0
1969,4.9050985495568966e-08,0.0
1970,5.472482911272891e-08,1.3796175313274261e-09
1971,5.7550053611521435e-08,0.0
1972,4.771036543615992e-08,5.130146862875051e-10
1973,3.859242525550144e-08,2.7566018356850464e-09
1974,4.1629231617434925e-08,0.0
1975,4.6262989883416594e-08,1.1422960355389478e-09
1976,4.513686135965145e-08,0.0
1977,3.408533544302372e-08,0.0
1978,4.039602075067705e-08,0.0
1979,4.9156575698816596e-08,0.0
1980,3.183684427199296e-08,0.0
1981,4.933928465788995e-08,6.325549528618524e-10
