year,avait_VERB ôté_VERB,avait_VERB oté_VERB,avait_VERB fauté_VERB
1800,3.9302057075474295e-07,9.432493897065797e-09,0.0
1801,3.7384566553555487e-07,2.3811825844433088e-09,0.0
1802,1.7455153056289419e-07,0.0,0.0
1803,1.911332390136522e-07,0.0,0.0
1804,1.4336735887354735e-07,0.0,0.0
1805,4.09374393939288e-07,0.0,0.0
1806,1.671368039524168e-07,2.881669125542885e-09,0.0
1807,4.3558412698985194e-07,0.0,0.0
1808,3.285807395059237e-07,4.5321479902327155e-09,0.0
1809,3.140052342587296e-07,0.0,0.0
1810,3.205973655440175e-07,0.0,0.0
1811,3.8358274423444527e-07,2.5070767684098882e-09,0.0
1812,2.960601079848857e-07,8.00162425207418e-09,0.0
1813,5.090062700219278e-07,0.0,0.0
1814,4.688548926878866e-07,0.0,0.0
1815,4.881974859927141e-07,8.091670444798638e-09,0.0
1816,3.73134213305093e-07,1.622322720606917e-08,0.0
1817,4.1101458236880717e-07,0.0,0.0
1818,4.3989143705402967e-07,1.1921177378582115e-09,0.0
1819,4.927100007989793e-07,2.070210003424222e-09,0.0
1820,5.826442475154181e-07,2.3732962262101864e-09,0.0
1821,4.5855921371185104e-07,4.930744257336528e-09,0.0
1822,5.28349971773423e-07,1.303330066093622e-08,0.0
1823,6.315036671367125e-07,7.906149623870817e-09,0.0
1824,4.724244320186699e-07,3.3684450784221553e-09,0.0
1825,5.362514912121696e-07,8.805443041381977e-10,0.0
1826,5.504990099325369e-07,3.5231937367541377e-09,0.0
1827,5.447408284453559e-07,1.8434546111834038e-09,0.0
1828,5.182350264476554e-07,5.5033806956039655e-09,0.0
1829,6.026942855896777e-07,6.858540846366168e-09,0.0
1830,3.64245579476119e-07,3.1310507520032616e-09,0.0
1831,4.240808095801185e-07,1.5591206103948707e-09,0.0
1832,4.600189527081966e-07,1.3529969367098715e-09,0.0
1833,4.2743587869154e-07,1.2741991461950875e-08,0.0
1834,4.471240231396223e-07,2.8003592777992026e-09,0.0
1835,5.089958108328574e-07,8.31939672707449e-09,0.0
1836,4.496181702506874e-07,6.048675060821296e-09,0.0
1837,5.635891398014792e-07,7.653679912067446e-09,0.0
1838,5.384274004427425e-07,5.049729523420865e-09,0.0
1839,4.2717914539025514e-07,2.7965901816529026e-09,0.0
1840,6.019355964781425e-07,3.184844332704273e-09,0.0
1841,4.404496394272428e-07,5.1364388298225094e-09,0.0
1842,5.467235837386397e-07,6.037438549100216e-09,0.0
1843,3.9930719708536344e-07,6.4976020675011625e-09,0.0
1844,5.093384629617503e-07,4.939705144924034e-09,5.488561272137815e-10
1845,5.172871055947326e-07,3.348136878855712e-09,0.0
1846,4.753855193939671e-07,6.439951460990301e-09,0.0
1847,4.379297706691432e-07,7.550513103637968e-09,0.0
1848,3.000867820901476e-07,2.413566457803995e-09,0.0
1849,3.670183730264398e-07,8.379414939696517e-10,0.0
1850,3.7746818293271645e-07,6.1100964288129944e-09,0.0
