year,ton_DET âge_NOUN,ton_DET age_NOUN,ton_DET page_NOUN
1800,3.8044391459379767e-07,3.144164484325529e-09,0.0
1801,4.071822177209583e-07,0.0,0.0
1802,3.938598638342228e-07,0.0,0.0
1803,3.7446512735073156e-07,7.801356893821776e-09,0.0
1804,5.042576205482874e-07,4.943701892301533e-09,2.4718509461507665e-09
1805,4.008457628046358e-07,2.842877711017877e-09,1.4214388555089386e-08
1806,3.0257525907018135e-07,0.0,2.881669125542885e-09
1807,1.5942948472513763e-07,0.0,0.0
1808,1.9941451068206106e-07,0.0,0.0
1809,2.5301140937905586e-07,2.259030518203531e-09,0.0
1810,5.40569280005343e-07,4.680253518074551e-09,0.0
1811,3.9862521594713485e-07,4.011322962682584e-08,0.0
1812,3.3873545035589814e-07,0.0,2.1337665856435706e-08
1813,2.7607120967054755e-07,2.8757416448144113e-09,8.627225156487839e-09
1814,2.6746755166229264e-07,3.4613449884091096e-08,0.0
1815,1.618334071196159e-07,5.394447111228828e-09,0.0
1816,9.965696534663948e-08,0.0,0.0
1817,2.5999784725172503e-07,0.0,9.341240669868967e-09
1818,2.813397816936458e-07,2.384235475716423e-09,2.384235475716423e-09
1819,3.0639109205310433e-07,1.035105001712111e-09,1.035105001712111e-09
1820,3.9752710989660045e-07,2.3732962262101864e-09,1.1866481131050932e-09
1821,4.3291933815581274e-07,0.0,1.97229765852569e-09
1822,3.18814585398286e-07,2.0051231786055723e-09,0.0
1823,3.3205826621696133e-07,0.0,1.9765373782121287e-09
1824,2.568439310124404e-07,1.6842225392110777e-09,0.0
1825,3.4781499280711614e-07,8.805443041381977e-10,3.522177394188475e-08
1826,2.686435135457188e-07,8.807984341885344e-10,2.4662355713189754e-08
1827,1.6222400578413954e-07,0.0,3.6869092223668076e-09
1828,2.4765212458532915e-07,5.503380862137419e-09,7.337841001486822e-09
1829,2.914879981830154e-07,1.714635211591542e-09,1.714635211591542e-09
1830,3.548524247776186e-07,3.1310507520032616e-09,8.349468672008697e-09
1831,3.10265008351962e-07,1.5591206103948707e-09,1.5591206103948707e-09
1832,3.4907320101140726e-07,0.0,4.058990921151917e-09
1833,3.3360849283070593e-07,4.6334514003376626e-09,1.274199168399548e-08
1834,3.7058087620778224e-07,2.8003592777992026e-09,4.667265462998671e-09
1835,3.8269223523457185e-07,2.2689263801112247e-09,6.806779140333674e-09
1836,3.3267711607720685e-07,5.376600220596828e-09,1.1425274948351216e-08
1837,2.90144061221298e-07,5.566312522020667e-09,4.174734336004349e-09
1838,2.348124168438659e-07,2.5248647617104325e-09,7.574594507175902e-09
1839,2.1323999721545306e-07,2.09744255297295e-09,2.7965900706306e-09
1840,2.3313060015794917e-07,2.5478754661634184e-09,1.9109065441114126e-09
1841,2.7736768615227447e-07,6.420548537278137e-10,2.5682194149112547e-09
