year,premier_ADJ an_NOUN,premier_ADJ banc_NOUN
1800,1.2576658381391326e-08,9.746909768182377e-08
1801,5.238601819002042e-08,5.476719877606229e-08
1802,4.923248297927785e-08,5.370816325012129e-08
1803,1.755305234496518e-08,6.826187615160961e-08
1804,5.6852570651244605e-08,1.1864884186252311e-07
1805,1.1371510844071508e-08,1.7057265822018053e-08
1806,8.645007376628655e-09,4.610670600868616e-08
1807,8.540865348294346e-09,1.138782081966383e-07
1808,1.8128591960930862e-08,6.118399653587403e-08
1809,2.2590304959990704e-08,5.1957702140725814e-08
1810,2.574139479349924e-08,4.095221868283261e-07
1811,7.521229861140455e-09,1.780024572184402e-07
1812,2.1337665856435706e-08,1.7070133040419933e-07
1813,4.026038169513413e-08,2.01301915581098e-07
1814,1.5733386149463513e-08,6.608021774212602e-08
1815,4.315557688983063e-08,2.1577788444915313e-08
1816,1.3905623319487859e-08,1.1588019788177917e-07
1817,7.784366928831332e-09,8.718490818182545e-08
1818,1.3113295338484932e-08,1.7524131123991538e-07
1819,1.3456364911235141e-08,1.0454560595007933e-07
1820,7.238553223487543e-08,5.22125169766241e-08
1821,1.577838115718322e-08,3.944595483584834e-08
1822,2.8071724500478012e-08,1.1830226753772877e-07
1823,4.249555285440465e-08,9.981513926504704e-08
1824,7.242157096243318e-08,1.0947446327236321e-07
1825,1.1447076175841175e-08,9.509878529101456e-08
1826,1.1362299801032094e-07,1.2155018724868683e-07
1827,4.7929820112813104e-08,8.940754514519256e-08
1828,3.0268594741755805e-08,5.961995697134626e-08
1829,6.772809124644397e-08,1.6631960875201912e-07
1830,1.5655253982060913e-08,5.4271545479878114e-08
1831,1.4032085493553836e-08,1.6526678336958867e-07
1832,1.7588959622116818e-08,2.2189149717632972e-07
1833,2.7800709290204395e-08,1.4827044592102823e-07
1834,1.4935249481595747e-08,1.1948199363231993e-07
1835,4.9916380362446944e-08,1.9512766868956533e-07
1836,7.661655132551459e-08,1.397915951883988e-07
1837,6.818733033764346e-08,8.836521203647862e-08
1838,4.8603647551104245e-08,8.458297173774554e-08
1839,2.4470162784950844e-08,9.508406018099436e-08
1840,4.0766007458614695e-08,1.2611983635224533e-07
1841,9.630822361827995e-09,8.025685360735224e-08
1842,3.8237111255057243e-08,1.3349447636201717e-07
1843,3.8394921131335025e-08,1.1223131224369354e-07
1844,3.402907916560949e-08,8.562155784375136e-08
1845,2.566904894196753e-08,5.35701881188011e-08
1846,2.1076203893244383e-08,1.1006462230511715e-07
1847,2.6426795862732888e-08,1.2404413762823197e-07
1848,4.666228597960398e-08,2.1722098253462718e-07
1849,5.1952373070207614e-08,1.39098288665096e-07
1850,3.055048125588655e-08,9.165144376765966e-08
1851,2.257303499675345e-08,6.965393595237401e-08
1852,2.7344290387532055e-08,8.789236005668499e-08
1853,2.9859659633757474e-08,8.480143476319313e-08
1854,1.1274591571464043e-07,5.975014227832531e-08
1855,3.502578493908004e-08,9.977042125797198e-08
1856,2.1226476576430287e-08,7.81755606915624e-08
1857,5.174399508867111e-08,1.1715621989205616e-07
1858,3.1808895073481835e-08,9.151174307220344e-08
1859,2.8516170758052795e-08,7.179964600645405e-08
1860,5.53839250017063e-08,1.0344435663611762e-07
1861,1.7920662287451705e-08,1.4006411674927222e-07
1862,2.8463313594961903e-08,1.1340145555926995e-07
1863,2.6471489888990618e-08,5.693867805023345e-08
1864,2.3014694150447212e-08,7.144144542614583e-08
1865,2.9653119071326728e-08,7.201472090878624e-08
1866,2.8220555337021835e-08,6.714545897068547e-08
1867,6.454239098729886e-08,1.0142376183353008e-07
1868,2.321740844024589e-08,8.941172069398817e-08
1869,6.641585770239544e-08,7.032267745898935e-08
1870,2.6376625328339287e-08,9.919904719879469e-08
1871,4.885741633486873e-08,6.266494612106044e-08
1872,5.1402382683640724e-08,7.619647846013322e-08
1873,1.9155214303623325e-08,8.679706242631369e-08
1874,5.0784177918483664e-08,5.616132731089962e-08
1875,2.345826111138649e-08,6.293679888358383e-08
1876,2.2974857127877613e-08,1.1487428319689741e-07
1877,3.277952487223956e-08,1.1751150452710135e-07
1878,7.005343150012777e-08,1.0568405173216888e-07
1879,3.848874796652524e-08,7.331190232662266e-08
1880,2.9522093214495726e-08,8.150664854156275e-08
1881,3.834879080955034e-08,9.482610607847164e-08
1882,4.4591080827771634e-08,9.849969884179188e-08
1883,2.0853818505361943e-08,8.847074184359371e-08
1884,2.3766109080725073e-08,8.186104327734256e-08
1885,4.060750313783501e-08,1.54050690648333e-07
1886,3.549404986591398e-08,7.808691193655903e-08
1887,1.958677409152898e-08,1.1360329132958924e-07
1888,1.1413106459912115e-08,1.1730136861842766e-07
1889,2.3181005281980305e-08,1.40965580097685e-07
1890,2.4906668727453507e-08,6.030035404336331e-08
1891,2.677172439291553e-08,5.928024771062468e-08
1892,3.384996816180319e-08,1.2035543384136815e-07
1893,2.0938616174248637e-08,7.944357371947319e-08
1894,2.5836310868498913e-08,8.318032174159384e-08
1895,3.1898657715245804e-08,8.967735709575209e-08
1896,3.125425251937486e-08,8.432751741338507e-08
1897,3.088158351260972e-08,4.1952336715667116e-08
1898,1.0750873968845553e-08,1.0637707248406514e-07
1899,2.5979618456517528e-08,7.185852268776216e-08
1900,3.166542283938867e-08,8.253774552713367e-08
1901,1.117747761014698e-08,6.482936859564248e-08
1902,1.178468167495339e-08,9.034921966133425e-08
1903,1.3500550899436803e-08,7.56030831272625e-08
1904,2.8485513503540005e-08,5.105894018697654e-08
1905,2.11591113519205e-08,6.450948575320581e-08
1906,2.0576738535282857e-08,6.944649244555734e-08
1907,1.6457098794830927e-08,8.691405051219903e-08
1908,1.6698723515062852e-08,5.8445528861028606e-08
1909,1.1001967337165297e-08,5.941062264369634e-08
1910,1.2825961626106164e-08,9.512588405868883e-08
1911,1.276889793899727e-08,9.417062052374803e-08
1912,1.041884239993962e-08,4.740573211758914e-08
1913,1.590896836489719e-08,8.166604420489776e-08
1914,1.6072185360371805e-08,8.437896781288146e-08
1915,4.712304768617059e-09,3.7698438148936475e-08
1916,1.3184954461564757e-08,5.6036057571873243e-08
1917,1.3159709433274713e-08,6.470190072604964e-08
1918,5.743188147278033e-09,5.972916028440522e-08
1919,1.1970202606903513e-08,7.366278964582307e-08
1920,1.2872794385998532e-08,7.117898093156327e-08
1921,1.6660043622440668e-08,8.557204683734554e-08
1922,1.1066902949607993e-08,6.197466156931952e-08
1923,2.5478275489376756e-08,1.061594820939149e-07
1924,1.675911143195208e-08,7.86389122708897e-08
1925,3.1894715091240755e-08,7.258797296572084e-08
1926,1.114613823460786e-08,9.585679094925581e-08
1927,1.1149224654616319e-08,1.0926240179287561e-07
1928,9.140832868403947e-09,9.940656076068421e-08
1929,1.4482528065684619e-08,1.281146757570184e-07
1930,9.453243188239924e-09,5.3568378177715203e-08
1931,5.1324104077821175e-08,7.641588872786542e-08
1932,1.8631212128639163e-08,9.315606330773107e-08
1933,2.523545639121494e-08,8.02946331646126e-08
1934,2.3963160344919743e-08,9.465448158607614e-08
1935,2.752705352548901e-08,5.6250936353308134e-08
1936,6.0623572828433225e-09,7.63857030960935e-08
1937,2.2664012888640173e-08,5.7919144813567414e-08
1938,1.2965214679638848e-08,6.741911806606993e-08
1939,4.282334131744392e-08,7.494085085824054e-08
1940,2.7893612752905028e-08,5.832300686847702e-08
1941,7.969057236323351e-08,1.092055943452408e-07
1942,9.102635090130207e-09,7.282108072104165e-08
1943,5.806470415592457e-09,5.2258233296242906e-08
1944,9.639558484764166e-09,1.2210107058763242e-07
1945,4.357008087652048e-09,1.3724574898787978e-07
1946,1.6705325123211878e-08,9.883984120051537e-08
1947,1.9073394197377525e-08,6.675687558299614e-08
1948,2.717971980814582e-08,1.1089325835378361e-07
1949,2.0615717910565934e-08,7.068246077324147e-08
1950,9.571825110299415e-09,9.465471895175881e-08
1951,3.1984206394497505e-09,7.782823274737893e-08
