year,trois_DET airs_NOUN,trois_DET chers_ADJ
1800,4.087413785214267e-08,0.0
1801,8.096020565062645e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,2.145373123596528e-08,7.801356893821776e-09
1804,1.1123329102247226e-07,0.0
1805,0.0,0.0
1806,1.613734639249742e-07,1.152667650217154e-08
1807,2.2775641372874134e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,8.132509776714869e-08,4.518061036407062e-09
1810,2.106114083133548e-08,4.680253518074551e-09
1811,8.524060923775778e-08,0.0
1812,7.20146218213813e-08,0.0
1813,1.552900432688631e-07,0.0
1814,4.090680105761635e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,1.5568734412774177e-08,0.0
1818,1.1921177378582115e-08,1.1921177378582115e-09
1819,2.5877625819958894e-08,0.0
1820,3.441279616822612e-08,1.1866481131050932e-09
1821,4.5362847478358503e-08,0.0
1822,3.308453244699194e-08,0.0
1823,7.906149623870817e-09,7.906149512848515e-09
1824,3.452656205382709e-08,0.0
1825,1.8491430608946757e-08,7.044354433105582e-09
1826,2.2019961409824873e-08,0.0
1827,1.1982455361270183e-08,0.0
1828,1.7427372434042354e-08,0.0
1829,4.972442174677738e-08,0.0
1830,5.0096812920230605e-08,0.0
1831,4.989186042081428e-08,0.0
1832,3.5177921020590475e-08,0.0
1833,4.2859427118457916e-08,1.1583628500844156e-09
1834,2.0535967593104942e-08,0.0
1835,3.327758690829796e-08,7.563087933704082e-10
1836,2.419469957715137e-08,0.0
1837,1.87863058442872e-08,2.7831563720326358e-09
1838,1.704283669745621e-08,0.0
1839,4.824117816326634e-08,2.7965900706306e-09
1840,2.9300568360479673e-08,0.0
1841,2.8892467973662406e-08,6.420548537278137e-10
1842,2.68330611064016e-08,0.0
1843,1.8311423488626133e-08,2.3627644285539873e-09
1844,1.866110915793584e-08,1.097712254427563e-09
1845,1.3950569588416784e-08,2.2320911785556063e-09
1846,1.2294452567118697e-08,5.854501328173001e-10
1847,2.6966118227278457e-08,5.393223645455691e-10
1848,2.654923214606697e-08,0.0
1849,2.011059585527164e-08,8.379414939696517e-10
1850,2.5798184921654865e-08,0.0
1851,5.0305621446256055e-08,6.449438760824933e-10
1852,3.971432693816723e-08,5.859490670445666e-09
1853,1.7318602552052198e-08,4.180352064508952e-09
1854,2.1821789930598356e-08,3.117398783558656e-09
1855,2.865746040470185e-08,5.306937111981824e-10
1856,2.536822751864065e-08,0.0
1857,2.2454941239757886e-08,0.0
1858,2.0553438895287712e-08,0.0
1859,1.6804171831807935e-08,5.092173349652285e-10
1860,2.883625790928157e-08,9.154367819341758e-10
1861,3.065376513733398e-08,0.0
1862,2.936691112509493e-08,0.0
1863,1.7481173175681874e-08,9.989241656072068e-10
1864,2.205574833880064e-08,9.589455896019672e-10
1865,1.788600795249451e-08,0.0
1866,1.5569961597794446e-08,4.865612912574591e-10
1867,3.930777303651212e-08,0.0
1868,1.4819621863004784e-08,0.0
1869,1.2697150109097777e-08,0.0
1870,2.752343331025031e-08,0.0
1871,1.0621176826930423e-08,0.0
1872,1.0885210954825197e-08,0.0
1873,1.8556614689302364e-08,0.0
1874,1.0156835816843568e-08,5.974609140757536e-10
1875,3.2612703648737806e-08,5.721527140956084e-10
1876,1.9951849505872588e-08,1.209202959984168e-09
1877,2.1646856307455664e-08,0.0
1878,5.555961629655215e-08,0.0
1879,2.443730195977878e-08,6.10932526790009e-10
1880,3.1447447090826586e-08,0.0
1881,1.8128519574389657e-08,0.0
1882,3.5273542087210785e-08,3.3276925659464496e-09
1883,3.47563645641813e-08,0.0
1884,2.178560087884307e-08,0.0
1885,1.740321664556177e-08,2.5782542767416317e-09
1886,2.0651084398082276e-08,0.0
1887,1.1099172247952538e-08,0.0
1888,2.4094335415725254e-08,3.1703073499755874e-09
1889,1.37833008340138e-08,6.265136742733546e-10
1890,2.1629475988049762e-08,6.554386478008212e-10
1891,1.593555043477579e-08,1.2748440081367107e-09
1892,1.4417578020342603e-08,0.0
1893,1.0469308309168923e-08,6.158416554491453e-10
1894,1.8274464830270176e-08,0.0
1895,2.7083765896662726e-08,0.0
1896,1.120435499935013e-08,0.0
1897,1.514945524583311e-08,5.826713556089658e-10
1898,2.4896761985360172e-08,0.0
1899,1.492446166651007e-08,0.0
1900,1.193942211763499e-08,5.191053142894475e-10
1901,1.6207343245255856e-08,5.588738916095792e-10
1902,1.2766737556013652e-08,0.0
1903,1.296052865029651e-08,0.0
1904,9.13686282189019e-09,0.0
1905,2.3223415190898322e-08,2.580379465655369e-09
1906,1.286046086290682e-08,1.0288369045596824e-09
1907,1.0799971361663552e-08,5.142843373384665e-10
1908,2.0136695866312948e-08,0.0
1909,2.035363966257364e-08,0.0
1910,1.2825961404061559e-08,5.344150677544235e-10
1911,1.1704822999725195e-08,3.7242617878519013e-09
1912,8.335073853338315e-09,1.5628263128064646e-09
1913,1.803016558277193e-08,0.0
1914,3.013534694007447e-08,0.0
1915,9.424609315189514e-09,0.0
1916,1.098746182925936e-08,1.0987462051303964e-09
1917,2.0836207093033465e-08,4.386569774084137e-09
1918,6.89182577673364e-09,0.0
1919,3.038589924120316e-08,0.0
1920,1.514446301698058e-08,7.572231730534895e-10
1921,2.6504615391331754e-08,0.0
1922,1.2542490324118916e-08,7.377935484775833e-10
1923,2.0170301873179142e-08,0.0
1924,1.5469949321555987e-08,3.867487219366694e-09
1925,2.5295809669145797e-08,0.0
1926,2.5636118672345276e-08,1.1146138456652466e-09
1927,2.787306219165231e-08,2.2298449753321847e-09
1928,1.599645738092903e-08,0.0
1929,3.0079096546842266e-08,0.0
1930,1.6805765667982087e-08,0.0
1931,1.596749932275543e-08,2.2810713318222042e-09
1932,1.6439305028370654e-08,0.0
1933,1.7205993074753678e-08,0.0
1934,2.875579241390369e-08,0.0
1935,1.3165112555668657e-08,0.0
1936,3.8799086166108054e-08,0.0
1937,7.554670666820584e-09,1.2591118148108649e-09
1938,1.815129979654273e-08,1.2965214457594243e-09
1939,7.647025235257843e-09,0.0
1940,2.5357829391836617e-08,0.0
1941,2.9515025978810172e-08,2.9515025978810172e-09
1942,1.517105863158008e-08,0.0
1943,1.4516176038981143e-08,0.0
1944,1.6065930807940276e-08,0.0
1945,1.089252066321933e-08,0.0
1946,1.8097434661967782e-08,0.0
1947,7.152522574216391e-09,0.0
1948,2.283096534050344e-08,0.0
1949,1.1780409536754632e-08,0.0
1950,7.444752814222966e-09,0.0
1951,9.595261474260042e-09,0.0
1952,2.003512733494972e-08,0.0
1953,1.2928593307037772e-08,0.0
1954,2.149957989416862e-08,0.0
1955,1.595553333899602e-08,0.0
1956,2.616342431593921e-08,0.0
1957,1.7670074847764283e-08,0.0
1958,2.3162281925781514e-08,3.3088973783179654e-09
1959,2.0927019450667217e-08,2.325224457422337e-09
1960,1.2457499920515147e-08,0.0
1961,1.528595028332802e-08,0.0
1962,2.980719426837197e-08,1.2683912808952869e-09
1963,2.392439757414877e-08,6.466053248388448e-10
1964,1.7643507821407667e-08,0.0
1965,1.969935559120728e-08,0.0
1966,1.8832854831174473e-08,5.539074754423723e-10
1967,3.5498416095514074e-08,9.860671168482327e-10
1968,4.042274323601269e-08,0.0
1969,2.0892085200729937e-08,1.8167031212712459e-09
1970,1.4256047398131244e-08,0.0
1971,2.3636628876388954e-08,5.138397485282553e-10
1972,6.976999489261004e-08,0.0
1973,1.3783009289447534e-08,1.102640756478479e-09
1974,1.0688586071783135e-08,5.625571675160757e-10
1975,1.2565256835017635e-08,1.1422960355389478e-09
1976,1.0855701004786056e-08,0.0
1977,2.7033196681180982e-08,0.0
1978,2.4950484345254154e-08,0.0
1979,9.363157360553487e-09,0.0
1980,1.0233271230397634e-08,2.2740602734216964e-09
1981,1.581387426563552e-08,0.0
1982,2.0484757445871082e-08,1.2415004579935385e-09
1983,1.894594880980094e-08,0.0
1984,2.0296529013030806e-08,0.0
1985,1.7445117794778753e-08,0.0
1986,2.3378494251602433e-08,0.0
1987,1.8943531576720574e-08,6.110816852533674e-10
1988,1.1393452181707175e-08,0.0
1989,1.7013178643665583e-08,1.0976244357863152e-09
1990,2.3974063900755738e-08,0.0
1991,3.165191153620128e-08,0.0
1992,1.5978837863972473e-08,5.509944167592096e-10
1993,1.7725463929973984e-08,0.0
1994,1.1077345929422222e-08,1.0549853213248639e-09
1995,3.5788176366846614e-08,5.422450821690461e-10
1996,2.2953797085278893e-08,5.338092190498855e-10
1997,1.917957748176491e-08,0.0
1998,1.7642078242730008e-08,4.768129224785866e-10
1999,2.4222066408174925e-08,0.0
2000,1.855573217302009e-08,3.5344251969604557e-09
2001,2.9792239869541604e-08,4.3812117822561447e-10
2002,1.5772397665703153e-08,0.0
2003,2.291807654764e-08,4.1669229178253886e-10
2004,2.1583477477493673e-08,0.0
2005,1.3511248564412881e-08,0.0
2006,2.1413028072903018e-08,1.2353669198716943e-09
2007,1.2382886022122008e-08,3.994479469415779e-10
2008,2.5118894686482207e-08,4.257439678578834e-10
2009,1.764231316592202e-08,4.76819250749827e-10
2010,2.361896572766753e-08,4.723793023408973e-10
2011,1.5295888000643743e-08,0.0
2012,1.6680839043381468e-08,3.404252713057332e-10
2013,1.1156499835074385e-08,1.3945624655065103e-09
2014,1.450848315098785e-08,6.496335691608124e-10
2015,1.3077794874805093e-08,2.2165753954528356e-10
2016,1.3463710424321818e-08,0.0
2017,8.301517390174595e-09,2.515611330355938e-10
2018,1.4198067277426674e-08,5.162933414126769e-10
2019,1.3520235098152256e-08,0.0
