year,plusieurs_DET eaux_NOUN,plusieurs_DET chaux_NOUN
1800,4.4647134433972724e-07,0.0
1801,4.905236004049129e-07,0.0
1802,2.6854081625060644e-07,0.0
1803,7.489302760177452e-07,0.0
1804,2.7190359297435407e-07,1.2359254952798437e-08
1805,3.3261667908845993e-07,0.0
1806,1.7578181132904547e-07,0.0
1807,3.1031811431603273e-07,0.0
1808,3.0818605356586204e-07,0.0
1809,3.930713194932878e-07,0.0
1810,1.825298880930859e-07,2.3401266702194334e-08
1811,3.058633719632553e-07,0.0
1812,1.787029546562735e-07,7.468182872116813e-08
1813,2.013019202440347e-07,1.7254450312975678e-08
1814,2.0138733702879108e-07,0.0
1815,2.7781403844073793e-07,0.0
1816,2.549364239712304e-07,0.0
1817,2.5999784725172503e-07,0.0
1818,2.718028302428621e-07,1.668964877410417e-08
1819,2.4739009951701973e-07,8.280840013696888e-09
1820,1.8630375020478596e-07,0.0
1821,1.3806084253609185e-07,0.0
1822,1.3233812978796777e-07,0.0
1823,1.8777105204037525e-07,0.0
1824,1.6842225214475093e-07,3.3684450784221553e-09
1825,1.7698941112698208e-07,4.931048103173907e-08
1826,1.1714619407854343e-07,9.688783109140786e-09
1827,1.8711064875276406e-07,1.013900075008678e-08
1828,1.6051527507165986e-07,4.586150625929264e-09
1829,1.294549552000035e-07,7.715858174606183e-09
1830,1.4298465633721946e-07,0.0
1831,2.1671776728737768e-07,0.0
1832,2.9495332221074477e-07,0.0
1833,2.281974778028939e-07,1.0425265983826648e-08
1834,2.0162586711336417e-07,9.334530925997342e-10
1835,8.546289365085613e-08,7.563087933704082e-10
1836,1.592817713280681e-07,0.0
1837,1.607272839265761e-07,8.349468672008697e-09
1838,1.1614377637414464e-07,1.2624323808552163e-09
1839,2.286212446023228e-07,4.894032734625853e-09
1840,8.216898661483896e-08,0.0
1841,1.3033714019172749e-07,0.0
1842,6.37285153537448e-08,0.0
1843,1.4826347272123286e-07,0.0
1844,6.696044607679141e-08,0.0
1845,1.2946129324120648e-07,0.0
1846,1.0830827568142354e-07,5.854501328173001e-10
1847,1.0948244177910738e-07,0.0
1848,9.010648227558704e-08,0.0
1849,1.1312210324021521e-07,0.0
1850,1.1948632838709727e-07,6.788996032014438e-10
1851,1.199595587308977e-07,0.0
1852,1.1653876130779395e-07,0.0
1853,1.510898699486063e-07,0.0
1854,1.7041779409865399e-07,0.0
1855,1.2630509971245374e-07,0.0
1856,1.5169164357953235e-07,0.0
1857,1.6255425805411505e-07,0.0
1858,1.8204475304983703e-07,4.893676019968041e-10
1859,1.7618919923023668e-07,5.092173349652285e-10
1860,9.612086060428737e-08,4.577183909670879e-10
1861,1.466664747984403e-07,0.0
1862,1.644546971935057e-07,0.0
1863,1.573305503654865e-07,0.0
1864,1.448007906912352e-07,1.4384183844029508e-09
1865,1.0543331430135083e-07,0.0
1866,6.90917041357153e-08,0.0
1867,8.73506067478047e-08,1.455843445796745e-09
1868,6.273639874265768e-08,0.0
1869,6.788091344578362e-08,0.0
1870,9.403839706934036e-08,1.1468097582678638e-09
1871,5.629224020253787e-08,0.0
