year,excellentes_ADJ eaux_NOUN,excellentes_ADJ chaux_NOUN
1800,5.0306631749208464e-08,0.0
1801,7.143547975374531e-09,0.0
1802,6.937304419807333e-08,0.0
1803,3.705644502360883e-08,0.0
1804,5.9324420931261557e-08,0.0
1805,2.55858996212055e-08,0.0
1806,5.76333825108577e-09,2.881669125542885e-09
1807,1.7081731584767113e-08,0.0
1808,4.078933102391602e-08,0.0
1809,3.840352036377226e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,8.181360300341112e-08,0.0
1815,8.091670444798638e-09,2.1577788444915313e-08
1816,1.3905623319487859e-08,0.0
1817,7.784366928831332e-09,0.0
1818,7.152706427149269e-09,8.344824387052086e-09
1819,2.070210003424222e-09,0.0
1820,1.1866481131050932e-08,0.0
1821,1.676452932031225e-08,0.0
1822,9.023054303725075e-09,0.0
1823,9.882686669016039e-09,0.0
1824,2.3579115548955087e-08,0.0
1825,9.68598712347557e-09,1.2327619813845558e-08
1826,6.1655889282974385e-09,0.0
1827,2.3964910056406552e-08,0.0
1828,1.1923991571904935e-08,3.668920500743411e-09
1829,5.401101077495696e-08,0.0
1830,1.0436835395921662e-08,0.0
1831,9.354723218280014e-09,1.2472964883158966e-08
1832,6.764984572527055e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,6.534171426153534e-09,0.0
1835,1.5126175867408165e-08,1.5126175867408165e-09
1836,1.5457725766054864e-08,8.736974699274924e-09
1837,3.2006298056330706e-08,0.0
1838,1.9567702125300457e-08,8.837027110075724e-09
1839,1.8177836125232716e-08,3.4957374772659477e-09
1840,2.356784811752277e-08,3.821813088222825e-09
1841,1.219904177673925e-08,0.0
1842,2.0795621225033756e-08,0.0
1843,5.906910960362666e-09,0.0
1844,9.879410178825765e-09,0.0
1845,1.0044410636567136e-08,1.674068439427856e-09
1846,6.439951683034906e-09,5.854501328173001e-10
1847,2.0494249852731627e-08,3.775256551818984e-09
1848,2.091757700384278e-08,7.24069959545659e-09
1849,1.6758828991214614e-08,1.6758829879393033e-09
1850,1.1541293254424545e-08,6.788996032014438e-10
1851,6.449438760824933e-09,0.0
1852,1.6276363368206148e-08,0.0
1853,2.6276499198729653e-08,5.971931837933653e-10
1854,7.27393034694046e-09,5.7152309551611324e-09
1855,1.0083180512765466e-08,0.0
1856,9.318940286107136e-09,1.8120163147727908e-08
1857,1.8549734193129552e-08,0.0
1858,1.0766087576996597e-08,9.787352039936081e-10
1859,8.656694916453489e-09,0.0
1860,3.3413442679375294e-08,0.0
1861,1.3676294763342867e-08,1.4147891747029462e-09
1862,1.7620147119146168e-08,4.517986262886353e-10
1863,1.5982786649715308e-08,0.0
1864,1.1986819536957682e-08,4.794727948009836e-10
1865,6.589582213223366e-09,1.882737743486018e-09
1866,5.352174259343201e-09,0.0
1867,1.552899675516528e-08,1.94112459439566e-09
1868,2.1241458370013788e-08,1.4819622196071691e-09
1869,1.2697149998075474e-08,1.4650557433881772e-09
1870,1.6055336615750093e-08,1.7202146374017957e-09
1871,1.4869648623516696e-08,4.248470908407853e-09
1872,2.1770421909650395e-08,1.2094678591978436e-09
1873,1.4366410283628284e-08,6.584604861359367e-09
1874,2.2703515512034755e-08,0.0
1875,2.460256709468922e-08,0.0
1876,2.478866001354163e-08,0.0
1877,2.1028373708986692e-08,0.0
1878,1.2078177569208037e-08,6.039088673581716e-10
1879,2.443730195977878e-08,6.10932526790009e-10
1880,2.1820676820993867e-08,0.0
1881,1.9523021421719022e-08,0.0
1882,9.317538740560849e-09,0.0
1883,1.9589950994713945e-08,1.2638677882037541e-09
1884,1.9805090900604227e-08,1.9805090900604227e-09
1885,1.4180398189012067e-08,6.445635691854079e-10
1886,2.5813855941692054e-08,1.2906927748801422e-09
1887,9.793386546164129e-09,0.0
1888,1.521747527988282e-08,6.340614699951175e-10
1889,1.9421923624918236e-08,0.0
1890,2.3595791986963377e-08,1.3108772956016423e-09
1891,1.5935549768641977e-08,0.0
1892,3.19694137829174e-08,0.0
1893,2.2170299374124625e-08,0.0
1894,1.1342770278588432e-08,1.8904617871129403e-09
1895,1.2037228991346183e-08,0.0
1896,1.8280790214930676e-08,0.0
1897,1.5732126712464378e-08,0.0
1898,9.05336783318944e-09,1.6975064687230201e-09
1899,1.4371703827009696e-08,5.527578395003729e-10
1900,1.661137005726232e-08,0.0
1901,1.117747761014698e-08,5.588738916095792e-10
1902,1.5712908307818907e-08,4.910283846193408e-10
1903,1.1880484152015924e-08,4.320176216765503e-09
1904,1.4511488011237361e-08,1.0749250378694342e-09
1905,1.9610883583709438e-08,5.160759042333041e-10
1906,1.18316245689698e-08,5.144184522798412e-10
1907,1.2857108266928208e-08,0.0
1908,9.822778146428846e-09,0.0
1909,1.2102163715610459e-08,5.500983557560346e-10
1910,2.137660359835536e-08,0.0
1911,3.7242617878519013e-09,0.0
1912,2.031674206648404e-08,0.0
1913,7.42418571064718e-09,0.0
1914,7.366418142140674e-09,0.0
1915,4.712304768617059e-09,0.0
1916,6.592477230782379e-09,0.0
1917,6.57985488317081e-09,0.0
1918,1.1486376294556067e-09,0.0
1919,6.4454939163738345e-09,3.6831393490643904e-09
1920,7.572231730534895e-09,0.0
1921,9.844571380313027e-09,0.0
1922,7.377935595798135e-09,1.4755870969551665e-09
1923,7.431163684401554e-09,0.0
1924,1.2891624656674594e-08,1.0313299547703991e-08
1925,8.798542339150117e-09,3.299453377181294e-09
1926,5.57306911730393e-09,3.343841648018042e-09
1927,1.0034302277972529e-08,0.0
1928,1.3711249025050165e-08,0.0
1929,6.684243825105796e-09,0.0
1930,1.2604324695075775e-08,0.0
1931,3.4216069977333063e-09,0.0
1932,1.0959536611565568e-09,1.0959536611565568e-09
1933,6.882397318719313e-09,0.0
1934,5.990790086229936e-09,0.0
1935,2.393656828303392e-09,0.0
1936,3.6374143697059935e-09,0.0
1937,5.0364472592434595e-09,0.0
1938,5.186085783037697e-09,0.0
1939,6.117620188206274e-09,0.0
1940,5.0715658339584024e-09,0.0
1941,5.9030051957620344e-09,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,2.178504043826024e-09,0.0
1946,1.3921104269343232e-09,0.0
1947,1.1920870957027319e-09,0.0
1948,2.174377566888097e-09,0.0
1949,5.890204768377316e-09,0.0
1950,3.190608444114673e-09,1.0635361480382244e-09
1951,7.462981344019681e-09,0.0
1952,5.272402070488624e-09,0.0
1953,3.232148326759443e-09,0.0
1954,0.0,9.772536113672459e-10
1955,0.0,0.0
1956,4.360570571293465e-09,0.0
1957,2.6505113659425206e-09,0.0
1958,5.790570245522986e-09,0.0
1959,5.425523585955716e-09,0.0
1960,2.7683333403416555e-09,1.3841666701708277e-09
1961,0.0,0.0
1962,5.0735651235811474e-09,6.341956404476434e-10
1963,1.2932106496776896e-09,0.0
1964,4.867174663303331e-09,0.0
1965,3.830430195250756e-09,0.0
1966,6.092982118843793e-09,0.0
