year,étions_VERB à_ADP,étions_VERB a_ADP,étions_VERB las_ADJ,etions_VERB à_ADP,etions_VERB a_ADP
1800,1.5500730796702555e-06,6.288328968651058e-09,0.0,0.0,0.0
1801,1.1691606687236344e-06,4.7623651688866175e-09,4.7623651688866175e-09,0.0,0.0
1802,1.2643796480915626e-06,4.475680270843441e-09,2.2378401354217203e-09,4.475680270843441e-09,0.0
1803,7.586819492644281e-07,1.950339223455444e-09,0.0,0.0,0.0
1804,8.181826842701412e-07,4.943701892301533e-09,3.707776485839531e-08,0.0,0.0
1805,9.864785397439846e-07,0.0,2.842877711017877e-09,8.528632911009026e-09,0.0
1806,8.731457228350337e-07,5.76333825108577e-09,5.76333825108577e-09,2.881669125542885e-09,0.0
1807,1.5743661379019613e-06,1.1387820464392462e-08,0.0,0.0,0.0
1808,1.0877155318667064e-06,1.8128591960930862e-08,9.064295980465431e-09,2.2660739951163578e-09,0.0
1809,9.442747455068456e-07,9.036122072814123e-09,1.3554183553310395e-08,0.0,0.0
1810,1.0834786507984973e-06,9.360507036149102e-09,5.148278958699848e-08,4.680253518074551e-09,0.0
1811,8.072786954471667e-07,7.521229861140455e-09,2.5070767684098882e-09,2.5070767684098882e-09,0.0
1812,6.054562504687055e-07,8.00162425207418e-09,2.6672082320544632e-09,0.0,0.0
1813,1.3228411717136623e-06,5.751483289628823e-09,0.0,0.0,0.0
1814,9.062430308404146e-07,0.0,0.0,0.0,0.0
1815,8.19955971564923e-07,0.0,0.0,0.0,0.0
1816,9.87299245025497e-07,2.3176038865813098e-09,1.1588019432906549e-08,0.0,0.0
1817,7.472992251678079e-07,1.556873407970727e-09,1.2454987263765815e-08,4.670620334934483e-09,0.0
1818,1.0371423968535964e-06,2.384235475716423e-09,2.384235475716423e-09,3.5763532135746345e-09,0.0
1819,6.593618877559493e-07,1.3456364911235141e-08,0.0,0.0,0.0
1820,1.033570470099221e-06,1.3053129244156025e-08,3.559944161679596e-08,2.3732962262101864e-09,0.0
1821,1.086736006072897e-06,4.930744257336528e-09,4.930744257336528e-09,2.9584463767662328e-09,0.0
1822,1.0587050383037422e-06,1.0025615893027862e-09,4.010246357211145e-09,1.0025615893027862e-09,0.0
1823,1.5169924836300197e-06,1.7788836736976066e-08,1.087095569118901e-08,5.929612356680991e-09,0.0
1824,1.1528503591762274e-06,5.052667617633233e-09,1.6842225392110777e-09,1.6842225392110777e-09,0.0
1825,1.1993013231403893e-06,5.283265824829186e-09,1.2327619813845558e-08,0.0,0.0
1826,1.2648265510506462e-06,6.1655889282974385e-09,3.5231937367541377e-09,8.807984341885344e-10,0.0
1827,1.0120566003024578e-06,5.530363889061363e-09,6.452091305675367e-09,0.0,0.0
1828,1.1933163932553725e-06,1.8344602503717056e-09,3.118582370120748e-08,0.0,0.0
1829,1.4051435073270113e-06,1.0287811325060403e-08,8.57317605795771e-10,8.57317605795771e-10,0.0
1830,1.3275655419420218e-06,6.262101504006523e-09,1.0436835840010872e-09,4.174734336004349e-09,0.0
1831,1.5715935433036066e-06,1.2472964883158966e-08,7.795603274018958e-09,3.1182412207897414e-09,0.0
1832,1.2339331760813366e-06,1.0823975715723577e-08,1.8941957335982806e-08,4.058990921151917e-09,0.0
1833,4.200223884254228e-06,1.7375443306377747e-08,1.50587169400751e-08,2.3167257001688313e-09,0.0
1834,1.7464907386965933e-06,1.4935249481595747e-08,2.333632664885954e-08,9.334530925997342e-10,0.0
1835,1.6721987776691094e-06,9.832014313815307e-09,6.806779140333674e-09,2.2689263801112247e-09,0.0
1836,9.960151601262623e-07,3.3603750337896088e-09,5.376600054063374e-09,0.0,6.720750067579218e-10
1837,1.0485541679372545e-06,4.174734336004349e-09,9.74104708006962e-09,1.3915781860163179e-09,0.0
1838,1.0907415344263427e-06,3.787297142565649e-09,1.8936485712828244e-09,0.0,0.0
1839,9.85798010333383e-07,4.194885327990505e-09,8.38977065598101e-09,0.0,0.0
1840,9.637338962420472e-07,8.917564464638872e-09,3.821813088222825e-09,6.369688665408546e-10,0.0
1841,1.4805784758209484e-06,6.420548537278137e-09,6.420548537278137e-10,6.420548537278137e-10,0.0
1842,1.0156313692277763e-06,4.695785538189057e-09,4.024959032733477e-09,0.0,0.0
1843,8.009771477190952e-07,5.906910960362666e-09,7.088293507706567e-09,0.0,0.0
1844,7.338206273743708e-07,5.488561216626664e-09,2.195424508855126e-09,2.195424508855126e-09,1.097712254427563e-09
1845,8.839081147016259e-07,5.022205318283568e-09,8.37034175305007e-09,5.580227946389016e-10,3.348136878855712e-09
1846,9.39062033467053e-07,1.1709002878390606e-08,2.3418005312692003e-09,1.7563503984519002e-09,0.0
1847,7.426468755511451e-07,5.3932236454556914e-09,7.550513103637968e-09,1.0786447290911383e-09,5.393223645455691e-10
1848,8.712975159141934e-07,1.528592186161859e-08,8.84974404868899e-09,8.045221711050488e-10,0.0
1849,9.485497685091104e-07,5.865590679832167e-09,2.513824481908955e-09,8.379414939696517e-10,0.0
1850,1.1439458376116818e-06,2.7155984128057753e-09,1.3577992064028876e-09,6.788996032014438e-10,0.0
1851,8.616449918008584e-07,1.1608989547440274e-08,4.514607354622058e-09,6.449438760824933e-10,0.0
1852,7.910312547210196e-07,9.114764054629632e-09,6.510545436100301e-10,1.3021090872200602e-09,0.0
1853,8.378620464100095e-07,5.971931837933653e-09,1.7915795513800958e-09,5.971931837933653e-10,0.0
1854,9.352195888823189e-07,6.754364012540037e-09,2.5978321716024766e-09,1.0391328908454511e-09,0.0
1855,9.016486046675709e-07,9.021793090369101e-09,7.960405667972736e-09,1.5920811335945473e-09,1.0613874223963649e-09
1856,7.73989768276806e-07,3.6240324075009767e-09,6.73034605824796e-09,1.0354378465748937e-09,0.0
1857,1.1452020771685056e-06,3.90520732418409e-09,7.322263684272912e-09,1.9526036343364694e-09,9.763017949637742e-09
1858,9.713946838019183e-07,8.808616946964776e-09,6.8511463169329545e-09,4.893676019968041e-10,9.787352039936081e-10
1859,1.0994002650477341e-06,9.675129142294736e-09,7.129042689513199e-09,5.092173349652285e-10,0.0
1860,1.1561966175577254e-06,9.612086238064421e-09,3.204028820036342e-09,9.154367819341758e-10,0.0
1861,1.0408132311567897e-06,1.5562680311109744e-08,5.659156698811785e-09,0.0,0.0
1862,1.0020893341788906e-06,9.487771457372673e-09,1.3102160245637151e-08,1.8071945051545413e-09,0.0
1863,1.0328875532650272e-06,1.2486552236623538e-08,1.2986014041871385e-08,0.0,0.0
1864,8.477078949908901e-07,8.6305100843731e-09,6.233146443435089e-09,4.794727948009836e-10,0.0
1865,1.0256213727188879e-06,1.4591217789572397e-08,5.6482134525026595e-09,4.706844358715045e-10,0.0
1866,9.91125375549018e-07,1.1190909532388105e-08,1.0217787504984699e-08,4.865612912574591e-10,0.0
1867,9.128138458436297e-07,1.164674756637396e-08,4.367530337390235e-09,0.0,4.85281148598915e-10
1868,1.0418194733574637e-06,8.891772984576107e-09,3.457911734727759e-09,0.0,3.951899252285784e-09
1869,9.273803129872249e-07,5.371870948067681e-09,1.2208797528501236e-08,0.0,0.0
1870,9.942840506482753e-07,1.1468097582678638e-09,5.160643912205387e-09,5.734048791339319e-10,1.1468097582678638e-09
1871,1.5698100241934299e-06,8.496941816815706e-09,1.3807530230280918e-08,6.37270636261178e-09,0.0
1872,1.5372336292784894e-06,1.2094678925045343e-08,1.4513614310374123e-08,6.047339295989218e-10,0.0
1873,1.0619171462167287e-06,4.788803742439285e-09,1.0774807712721213e-08,4.190203295451056e-09,0.0
1874,1.1943243407586124e-06,3.5847653734322193e-09,3.5847653734322193e-09,5.974609140757536e-10,0.0
1875,1.0893787703025737e-06,5.721527251978387e-09,5.721527251978387e-09,0.0,0.0
1876,8.391868391299795e-07,5.441413319928756e-09,2.418405919968336e-09,0.0,0.0
1877,9.691606237538508e-07,4.329371194877751e-09,2.4739263970730008e-09,6.184815992682502e-10,0.0
1878,7.711916509833827e-07,1.8117265465633636e-09,7.2469061862534545e-09,0.0,0.0
1879,9.481672691435961e-07,3.054662633950045e-09,8.55305515301552e-09,6.10932526790009e-10,0.0
1880,8.997820373224386e-07,3.2089231272180996e-09,1.4119262203848848e-08,0.0,0.0
1881,9.496555435362097e-07,3.4862537301449947e-09,9.064259565150223e-09,1.3945015142624584e-09,0.0
1882,9.710206541058142e-07,4.658769592325029e-09,5.324308105514319e-09,1.3310770263785798e-09,0.0
1883,1.0995649972755928e-06,5.0554711528150165e-09,1.2638677882037541e-09,6.319338941018771e-10,0.0
1884,1.044388454829459e-06,9.242375753615306e-09,1.386356363042296e-08,6.601696966868076e-10,0.0
1885,8.418000447818486e-07,3.867381359601296e-09,3.86738152613475e-09,1.2891271383708158e-09,0.0
1886,8.131364666041918e-07,5.162771099520569e-09,8.38950331427668e-09,0.0,0.0
1887,9.754213579071802e-07,8.48760173255414e-09,5.223139698529167e-09,0.0,0.0
1888,8.521786298842926e-07,8.242799109936527e-09,7.60873763994141e-09,0.0,0.0
1889,8.288776029985456e-07,3.759081934617825e-09,4.385595886446936e-09,4.385595886446936e-09,0.0
1890,9.372772638016613e-07,7.865263995654459e-09,3.9326319978272295e-09,0.0,1.3108772956016423e-09
1891,9.523084827378625e-07,4.461953806433883e-09,6.3742202627281586e-09,0.0,0.0
1892,8.481297300022561e-07,1.8805537127519756e-09,5.641661360300532e-09,0.0,0.0
1893,8.985129511529522e-07,7.390100087434348e-09,7.390100087434348e-09,0.0,0.0
1894,9.118327284340921e-07,4.4110775032635274e-09,6.9316934414587195e-09,0.0,0.0
1895,1.1561758128664223e-06,6.018614495673091e-10,5.416753268150387e-09,1.2037228991346183e-09,0.0
1896,9.983669997382094e-07,1.1794057674929803e-08,1.8280790214930676e-08,5.89702897624278e-10,0.0
1897,8.37881430015841e-07,4.661370844871726e-09,1.631479840114025e-08,5.826713556089658e-10,5.826713556089658e-10
1898,9.37589391014626e-07,6.2241901632731356e-09,5.092519295146758e-09,0.0,0.0
1899,8.750156439418788e-07,7.738609753005221e-09,7.738609753005221e-09,5.527578395003729e-10,0.0
1900,7.324575790335075e-07,4.671947717582725e-09,9.863001082521805e-09,1.5573159428683425e-09,5.191053142894475e-10
1901,7.54479742681724e-07,3.353243460679778e-09,2.235495566438317e-09,0.0,0.0
1902,6.412830657609447e-07,3.928227132465878e-09,3.437198747846537e-09,9.820567692386817e-10,0.0
1903,6.960884206819173e-07,3.2401321625741275e-09,1.5120615870500842e-08,7.020286574288548e-09,0.0
1904,6.417302529371227e-07,3.7622376325430196e-09,1.3436562973367927e-08,1.6123875568041512e-09,0.0
1905,6.817362532274274e-07,2.580379465655369e-09,4.64468330463319e-09,0.0,0.0
1906,6.54854716231057e-07,4.629766070518571e-09,2.0576738091193647e-09,0.0,0.0
1907,6.500554263766389e-07,4.6285588695127444e-09,6.1714118260169926e-09,1.028568674676933e-09,0.0
1908,7.165716624513152e-07,4.911388851169818e-09,4.4202499438483756e-09,4.911389073214423e-10,0.0
1909,6.843223445684998e-07,1.1001966782053785e-08,1.2102163715610459e-08,0.0,0.0
1910,7.871934144532133e-07,4.809735609789811e-09,1.336037680488289e-08,5.344150677544235e-10,0.0
1911,7.389999723272922e-07,4.25629931299909e-09,7.980561100850991e-09,5.320374141248863e-10,0.0
1912,6.636802822868049e-07,3.125652625612929e-09,1.3023552902780011e-08,0.0,0.0
1913,6.48025320515444e-07,6.363587878865928e-09,1.8030165804816534e-08,0.0,5.30298971401777e-10
1914,7.49365597130236e-07,2.6786975415582504e-09,7.366418142140674e-09,0.0,0.0
1915,1.0638027561071794e-06,5.890380960771324e-09,1.767114277129167e-08,0.0,0.0
1916,1.0361176236983738e-06,8.789969641043172e-09,1.3184954461564757e-08,0.0,0.0
1917,1.0396170182502829e-06,2.1932848870420685e-09,2.0836205649743533e-08,0.0,2.1932848870420685e-09
1918,8.626268481748411e-07,5.743188147278033e-09,6.89182577673364e-09,0.0,0.0
1919,8.701416618350777e-07,7.366278753639932e-09,3.4069039145379065e-08,9.207848372660976e-10,0.0
1920,7.625237117281358e-07,3.786115865267448e-09,2.8017257847068322e-08,2.2716695191604686e-09,0.0
1921,7.209255272755399e-07,7.572747429129834e-10,1.060184651180407e-08,0.0,0.0
1922,7.62878528348665e-07,4.426761346376651e-09,8.853522359686394e-09,0.0,0.0
1923,6.507576131298265e-07,1.0615948120573648e-09,8.492758496458919e-09,1.0615948120573648e-09,0.0
1924,8.134614972732379e-07,1.289162443462999e-09,1.675911143195208e-08,2.578324886925998e-09,0.0
1925,6.620903150178492e-07,2.1996355847875293e-09,8.798542339150117e-09,1.0998177923937646e-09,0.0
