year,ces_DET êtres_NOUN,ces_DET etres_NOUN,ces_DET lettres_NOUN
1800,5.266475412213367e-06,1.0061326083388167e-07,5.904740682183274e-06
1801,4.1504013523763206e-06,1.4287095506659853e-08,7.181646502374406e-06
1802,3.5827819431233365e-06,2.2378401354217203e-09,7.391586024141361e-06
1803,5.221057989501787e-06,5.070882092006457e-08,6.980263933087372e-06
1804,3.450703914609221e-06,7.4155528384522995e-09,6.288388803454836e-06
1805,3.820827629397172e-06,3.9800287288116465e-08,7.272080949860538e-06
1806,3.2534043441501126e-06,1.6425514193230129e-07,1.0319257199853382e-05
1807,2.436993689514111e-06,2.5053206309522125e-07,9.26968601788758e-06
1808,2.5765260431853676e-06,6.571614363792833e-08,1.0188268788624555e-05
1809,2.512042016178384e-06,4.518061036407062e-09,1.0007505096609748e-05
1810,2.295664259577279e-06,7.020380277111826e-09,9.69514539406191e-06
1811,1.7699961460948543e-06,5.264861302478607e-08,1.1066236737633517e-05
1812,2.8379095624586625e-06,2.6672082320544632e-09,1.1533008404285283e-05
1813,2.7089486991371814e-06,1.7254449868886468e-08,9.665367542766035e-06
1814,2.2121140972330977e-06,1.5733385705374303e-08,1.1847238944540095e-05
1815,3.3715294591729617e-06,5.394447111228828e-09,7.088303370039739e-06
1816,4.934178747362239e-06,1.1588019432906549e-08,6.079074793774453e-06
1817,4.1350557182795455e-06,1.401186056071424e-08,8.713820506045522e-06
1818,3.6264221421333787e-06,8.344824387052086e-09,8.185080389466748e-06
1819,3.0908236396953725e-06,6.210630232317271e-09,9.833497344402531e-06
1820,3.434159694393202e-06,2.610625760013363e-08,1.0577781281995158e-05
1821,3.010712447348851e-06,3.94459531705138e-09,1.0392036685402672e-05
1822,3.512975752073544e-06,1.0025615893027862e-08,8.820536919529331e-06
1823,2.5882757199724438e-06,4.941343556552624e-09,7.624492880609068e-06
1824,3.3650766084747374e-06,5.89477879842093e-08,1.0893551753099473e-05
1825,3.0871882614746937e-06,7.044354211060977e-09,9.629632614860384e-06
1826,3.0237810477729e-06,1.7615968683770689e-09,1.0404871460423237e-05
1827,2.9808661423658123e-06,1.8434546111834038e-09,9.589651085661899e-06
1828,3.5799492934529553e-06,7.3378408349533686e-09,9.423622110205088e-06
1829,3.274095831784507e-06,2.571952817387313e-09,8.831228399230895e-06
1830,3.513038905111898e-06,1.9829988096020656e-08,8.748156005822239e-06
1831,3.115122908070589e-06,7.795602829929749e-09,7.596035629831022e-06
1832,3.2458397214440993e-06,2.705993873419743e-09,9.50615648420694e-06
1833,3.879357223013358e-06,1.1583628389821854e-08,1.0403256879953915e-05
1834,3.847693633929339e-06,1.213489042584115e-08,7.929684173291207e-06
1835,3.860956297785378e-06,1.0588323107185715e-08,8.728559784287881e-06
1836,3.229992415754168e-06,9.4090498725663e-09,7.819592699576106e-06
1837,3.394755012209316e-06,1.0436836284100082e-08,8.06558737309615e-06
1838,2.868877587047791e-06,5.049729523420865e-09,8.834501873167255e-06
1839,2.7854036375174474e-06,2.5169311190786914e-08,8.803665636492042e-06
1840,3.0472590708541247e-06,3.43963188487173e-08,8.711822987450546e-06
1841,3.5377222786792117e-06,9.630822805917205e-09,8.082828644617734e-06
1842,2.744351121464206e-06,1.34165305532008e-08,8.072055539543044e-06
1843,3.6593315257960057e-06,1.2995204579091535e-08,8.297438011339864e-06
1844,3.0395652999004596e-06,1.0428266250528395e-08,9.26414237412132e-06
1845,2.8799556304193175e-06,7.2542965523503256e-09,8.395452951504012e-06
1846,2.8306512973585995e-06,2.4003455889598513e-08,9.466728567275595e-06
1847,2.5563879688661473e-06,8.629157832729106e-09,1.0028699250597128e-05
1848,2.662163794298067e-06,9.654266053260585e-09,7.381490885194353e-06
1849,2.4090816879152044e-06,1.005529792763582e-08,7.871622530686295e-06
1850,2.6823323366897966e-06,2.0366988096043315e-09,9.325364750623066e-06
1851,2.6339507854800104e-06,7.739326512989919e-09,8.231418597404172e-06
1852,3.0827432482283257e-06,1.2370036328590572e-08,9.361513335193195e-06
1853,3.0588235091499882e-06,1.3138249821409431e-08,8.880262591048904e-06
1854,2.5401603238606185e-06,3.688921862421424e-08,8.653379026668517e-06
1855,2.9172233553254046e-06,7.960405667972736e-09,8.160477204199879e-06
1856,2.4467396144700615e-06,1.346069211649592e-08,8.857135163964358e-06
1857,2.811749212128234e-06,8.2985656679746e-09,9.342720289851059e-06
1858,2.5510732228894994e-06,2.1532174265814774e-08,9.119365408594149e-06
1859,2.7095455124026557e-06,4.582956014687056e-09,8.993796576817203e-06
1860,2.947706320810539e-06,6.408057445783655e-09,8.564368751962093e-06
1861,2.7786457792444708e-06,8.017138619642594e-09,7.88037545618181e-06
1862,2.6882018886453807e-06,4.9697850279528666e-09,9.10283881339069e-06
1863,2.9498230276203685e-06,6.99246927027275e-09,8.694136390374751e-06
1864,3.083969033923495e-06,5.2742009648554244e-09,7.866230472330926e-06
1865,2.7610348496409642e-06,7.530951140477526e-09,1.0130540815111999e-05
1866,2.927639243921476e-06,5.838735717134114e-09,8.547908780798252e-06
