year,un_DET an_NOUN,un_DET champ_NOUN
1867,2.4310645130753983e-05,7.298143252398859e-06
1868,2.4710238449188182e-05,7.106502792453284e-06
1869,2.4774581220299297e-05,6.974641905799217e-06
1870,2.4546889108023606e-05,6.829252093609739e-06
1871,2.594647332898603e-05,7.5219175244001235e-06
1872,2.82942912690487e-05,6.996166803219239e-06
1873,2.694480235732044e-05,6.870735994368715e-06
1874,2.7689326543622883e-05,6.8373428305790185e-06
1875,2.7299123075863463e-05,7.186238150325153e-06
1876,2.7892685466213152e-05,6.9547308783057815e-06
1877,2.7294210667605512e-05,7.661131405711785e-06
1878,2.6071350475831423e-05,8.348436324467912e-06
1879,2.6424664724800095e-05,7.454598765832543e-06
1880,2.8336716695775976e-05,7.12445105932602e-06
1881,2.9624092121594003e-05,7.3148576262838105e-06
1882,2.9720954216827522e-05,8.747172316247998e-06
1883,2.915806226155837e-05,8.402193117262868e-06
1884,2.921515010712028e-05,8.055390736672052e-06
1885,2.9382429829638568e-05,8.335496445965873e-06
1886,2.9132226245565107e-05,8.776710416213973e-06
1887,2.9009317131567514e-05,9.192725414663983e-06
1888,2.9781233479297953e-05,8.662547585913671e-06
1889,2.880459328480356e-05,9.497946891201536e-06
1890,2.985785295095411e-05,9.118462401147553e-06
1891,2.969302931887796e-05,9.41408535481969e-06
1892,2.9892654538343777e-05,9.030418667066442e-06
1893,3.0445980200966005e-05,9.759242871609786e-06
1894,2.9272540132296854e-05,9.451048470054957e-06
1895,2.9982932119310135e-05,9.35954754766044e-06
1896,3.035790450667264e-05,1.0543887796643503e-05
1897,3.0130519007798284e-05,9.531338157842129e-06
1898,3.161209656354913e-05,1.0548304828716937e-05
1899,3.211246598766593e-05,9.935821822182334e-06
1900,3.072947743021359e-05,1.1664296351909798e-05
1901,3.1280170787795214e-05,1.0673932550275822e-05
1902,2.9502948791559902e-05,9.965912184384251e-06
1903,3.097296303167241e-05,1.2280641243478385e-05
1904,3.318723611300811e-05,1.1547381973286974e-05
1905,3.277701262049959e-05,1.1610675258566516e-05
1906,3.453342469583731e-05,1.0900012881620569e-05
1907,3.137237240480317e-05,1.0911056293139154e-05
1908,3.263274311393616e-05,1.127409370837995e-05
1909,3.1107511176742264e-05,1.0938156123074805e-05
1910,3.1720206834506826e-05,1.1971432115842617e-05
1911,3.060332437598845e-05,1.0982316382524004e-05
1912,3.375548612893908e-05,1.0720988669277176e-05
1913,3.281596059423464e-05,1.2849674106973907e-05
1914,3.254952207498718e-05,1.1761490810613395e-05
1915,3.528573711264471e-05,1.1757200098827525e-05
1916,3.7198051359155215e-05,1.1762077832599971e-05
1917,3.3523263709867024e-05,1.16924013013886e-05
1918,3.312326248305908e-05,1.0590438762392296e-05
1919,3.3388580504833953e-05,1.2296161131075678e-05
1920,3.45490661857184e-05,9.857531409807052e-06
1921,3.5154208262611064e-05,1.1679448462587061e-05
1922,3.6175492368784035e-05,1.2439936853070321e-05
1923,3.416636832298536e-05,1.1219995741384992e-05
1924,3.598696980589011e-05,1.0925652048854317e-05
1925,3.3587336702112225e-05,1.0361383516510614e-05
1926,3.462659469732898e-05,9.85875978187778e-06
1927,3.3354021525155986e-05,9.775639924214374e-06
1928,3.851947030852898e-05,9.965792813204644e-06
1929,3.498310411487182e-05,9.500538311613127e-06
1930,3.4511691865191096e-05,1.1066596897535419e-05
1931,3.524483372530085e-05,1.1476070255866944e-05
1932,3.519326310197357e-05,1.0892683491192656e-05
1933,3.501763762869814e-05,1.1976518294432026e-05
1934,3.4222988006149535e-05,1.2396142977877389e-05
1935,3.49174683833553e-05,1.2360843939518418e-05
1936,3.470093247415207e-05,1.1809472425738932e-05
1937,3.752027441805694e-05,1.2311595185110491e-05
1938,3.602903279897873e-05,1.2078394092895905e-05
1939,3.392985172467888e-05,1.1692301598031918e-05
1940,3.413924628148379e-05,1.5194411275842867e-05
1941,3.2215650207945146e-05,1.3839596050502223e-05
1942,2.9865746682844474e-05,1.3374805462262884e-05
1943,2.9853967589588137e-05,1.4246175055632193e-05
1944,2.7986850682282238e-05,1.3325083187964992e-05
1945,3.248585267101589e-05,1.4458731669719782e-05
1946,3.4439420687704114e-05,1.2260316481160771e-05
1947,3.399951697247161e-05,1.2146175336624765e-05
1948,3.223406042707211e-05,1.1955815153896765e-05
1949,3.7681603089367854e-05,1.171267285826616e-05
1950,3.373749405000126e-05,1.2769878310336935e-05
1951,3.472205412435869e-05,1.2932280242239358e-05
1952,3.4287483686057385e-05,1.2595768708933974e-05
1953,3.339670911373105e-05,1.2249841716993615e-05
1954,3.455275441410777e-05,1.23886442793264e-05
1955,3.4060369443977834e-05,1.3397955456184718e-05
1956,3.4037741670545074e-05,1.4176215955785665e-05
1957,3.2210781228059204e-05,1.4634356489295897e-05
1958,3.4995727673958754e-05,1.4690677517137374e-05
1959,3.4730324614429264e-05,1.4871359809376372e-05
1960,3.3031753218892845e-05,1.4626489530655817e-05
1961,3.346511289237242e-05,1.2974992785075301e-05
1962,3.380896851012949e-05,1.3781071629637154e-05
1963,3.2984630479404586e-05,1.3106043155630687e-05
1964,3.346000085002743e-05,1.2601723597072123e-05
1965,3.155125500597933e-05,1.1521934510483334e-05
1966,3.1017710170999635e-05,1.3322028962647892e-05
1967,3.258557444496546e-05,1.1950640157465386e-05
1968,3.295037345196761e-05,1.2883177390676792e-05
1969,3.405546226531442e-05,1.1462942524076425e-05
1970,3.4959509093823726e-05,1.1450824871417353e-05
1971,3.5074702282145154e-05,1.227049324370455e-05
1972,3.7289497413439676e-05,1.1567455032945873e-05
1973,3.58964714450849e-05,1.2412427338404086e-05
1974,3.6983632071496686e-05,1.1466039964602714e-05
1975,3.883178214891814e-05,1.2171164485152985e-05
1976,3.787497053053812e-05,1.1726442380677327e-05
1977,3.567441490304191e-05,1.1666587255376726e-05
1978,3.426236071391031e-05,1.0561183486856862e-05
1979,3.388175377949665e-05,1.0676925825237049e-05
1980,3.336160034450586e-05,1.1071262520090386e-05
1981,3.475003813946387e-05,1.1452407392198438e-05
1982,3.5889295759261586e-05,1.1033835136231573e-05
1983,3.4388789117656415e-05,1.1649231851151853e-05
1984,3.530842423060676e-05,1.1252395793803771e-05
1985,3.640435079432791e-05,1.116307144855e-05
1986,3.707829205268354e-05,1.1029853084210117e-05
1987,3.676084224935039e-05,1.095486169333526e-05
1988,3.607107009884203e-05,1.093411636077235e-05
1989,3.7536011177508044e-05,1.049493603488827e-05
1990,3.68007331417175e-05,1.1392584269742656e-05
1991,3.602749620768009e-05,1.071534454410994e-05
1992,3.53181894752197e-05,1.126177491528324e-05
1993,3.5620427297544666e-05,1.118642938990888e-05
1994,3.597605473260046e-05,1.1671830009163386e-05
1995,3.59530176865519e-05,1.1537348285628468e-05
1996,3.502535923871619e-05,1.093828512921391e-05
1997,3.434247196310025e-05,1.1594533958714237e-05
1998,3.603132336138515e-05,1.2097221002704828e-05
1999,3.485235288280819e-05,1.2355082048998156e-05
2000,3.479111410342739e-05,1.2054598755639745e-05
2001,3.466677685537434e-05,1.220123627376779e-05
2002,3.388305344742548e-05,1.2003232598090108e-05
2003,3.433836036492721e-05,1.2228669021396854e-05
2004,3.465205395514204e-05,1.2416665668979476e-05
2005,3.312913099762227e-05,1.2606896120814781e-05
2006,3.3422030128349434e-05,1.2399378363170399e-05
2007,3.3511286574139376e-05,1.2464773590181721e-05
2008,3.3643991400822415e-05,1.1805454590785303e-05
2009,3.152204362777411e-05,1.2245195534887898e-05
2010,3.162768462061649e-05,1.290965440148284e-05
2011,3.0130988079690724e-05,1.237246135588066e-05
2012,3.136644363621599e-05,1.2730543176076026e-05
2013,3.1708446840639226e-05,1.1379909210518235e-05
2014,3.334828943479806e-05,1.0779153285511711e-05
2015,3.197853266101447e-05,1.0607199726564431e-05
2016,3.05854066482425e-05,1.0598632940173047e-05
2017,3.302997720311396e-05,1.1399240747778094e-05
2018,3.129615288344212e-05,1.0797242737226043e-05
2019,3.147714801343682e-05,9.920536172103311e-06
