year,ces_DET îles_NOUN,ces_DET iles_NOUN,ces_DET gilles_NOUN
1800,6.310338108050928e-06,2.2952400957620966e-07,0.0
1801,6.2291737208397535e-06,2.5954890969792643e-07,0.0
1802,5.20745413723489e-06,2.551137754380761e-07,0.0
1803,4.2985477648471715e-06,2.125869797975355e-07,0.0
1804,7.190614383034699e-06,4.770672230591799e-07,0.0
1805,2.9196354205396347e-06,1.4498676925711607e-07,0.0
1806,4.841204315653158e-06,1.7578181132904547e-07,0.0
1807,5.2099276786066184e-06,3.3024679613191665e-07,0.0
1808,6.78009337207186e-06,2.5606635878361317e-07,0.0
1809,5.877997409697855e-06,2.50752382413566e-07,0.0
1810,3.531251195454388e-06,5.07807524030568e-07,0.0
1811,4.294622499401157e-06,4.838658114181271e-07,0.0
1812,2.957933915581634e-06,1.653669094991983e-07,0.0
1813,5.440903123599128e-06,2.041776518968419e-07,0.0
1814,2.2121139693354053e-06,1.44747149377622e-07,0.0
1815,4.4746936964656925e-06,1.0249449222676787e-07,0.0
1816,5.2146089046800626e-06,1.0197456745686395e-07,9.270415546325239e-09
1817,3.7380529533947993e-06,1.0431052022141785e-07,4.670620334934483e-09
1818,2.7251812184658775e-06,1.0133000749590337e-07,4.768470951432846e-09
1819,2.6695357462358515e-06,1.0972113195784061e-07,8.280840013696888e-09
1820,4.897296832950815e-06,1.530776057023786e-07,0.0
1821,2.814468757605937e-06,1.2819934880337058e-07,0.0
1822,3.527011699588911e-06,2.0552512580707116e-07,6.015369535816717e-09
1823,2.9074865608436085e-06,1.9567720066504535e-07,9.882686891060644e-10
1824,2.665282266889335e-06,1.8021180814287163e-07,8.421112696055388e-10
1825,3.2333587114408147e-06,2.2101662167095526e-07,8.805443041381977e-10
1826,3.7935989496418188e-06,3.0387546656740483e-07,0.0
1827,3.0214220885227405e-06,2.442577334837992e-07,5.530363722527909e-09
1828,4.253196152603778e-06,2.2380415504175133e-07,0.0
1829,3.4584191723752156e-06,4.466624755616877e-07,3.429270478694235e-09
1830,3.493208936333758e-06,1.9203777990028925e-07,0.0
1831,2.9373832148849033e-06,1.5747117698694524e-07,0.0
1832,3.2160737077902013e-06,2.55716420038965e-07,3.247192648103692e-08
1833,9.480041967435682e-06,8.201208896441159e-07,0.0
1834,5.450432809084305e-06,2.9310427596129784e-07,9.334530925997342e-10
1835,3.634063801882803e-06,3.7512914730086777e-07,7.563087933704082e-10
1836,3.679610756535112e-06,2.574047193171225e-07,2.6882999715205358e-09
1837,3.7015979046373104e-06,3.833797962426999e-07,0.0
1838,2.483835771727172e-06,4.248085065938767e-07,6.312161904276081e-10
1839,3.138473175567924e-06,3.3139591604225416e-07,4.194884994923598e-09
1840,3.367017455957466e-06,4.5989152175351933e-07,1.2739377330817092e-09
1841,3.1826659210310027e-06,3.338685270470876e-07,0.0
