year,étaient_VERB en_PRON,étaient_VERB lents_ADJ,etaient_VERB en_PRON
1800,7.545995117652637e-08,2.2009151834367913e-08,3.144164484325529e-09
1801,6.191074675143682e-08,1.6668277424969347e-08,0.0
1802,3.1329761895904085e-08,1.7902721083373763e-08,0.0
1803,4.4857802805609026e-08,1.950339223455444e-09,3.900678446910888e-09
1804,6.673997887673977e-08,1.730295728918918e-08,2.4718509461507665e-09
1805,4.264316544322355e-08,1.9900143755080535e-08,0.0
1806,1.729001475325731e-08,3.458002950651462e-08,0.0
1807,1.195721210933698e-07,1.7081731584767113e-08,2.8469551160981155e-09
1808,4.305540457494317e-08,1.1330369531492579e-08,0.0
1809,8.810219043198231e-08,9.036122072814123e-09,0.0
1810,3.978215445954447e-08,1.1700633351097167e-08,0.0
1811,1.2033967777824728e-07,2.5070767684098882e-09,0.0
1812,6.401299401659344e-08,1.2002436733382638e-07,0.0
1813,1.121539270343419e-07,8.627225156487839e-09,2.8757416448144113e-09
1814,1.4160046646338742e-07,9.440030979135372e-09,0.0
1815,8.631115377966125e-08,3.776112933451259e-08,0.0
1816,6.952811304472561e-08,1.1588019432906549e-08,2.3176038865813098e-09
1817,1.9460917144442647e-07,2.490997452753163e-08,3.113746815941454e-09
1818,8.821671571013212e-08,1.4305412854298538e-08,3.5763532135746345e-09
1819,1.583710655950199e-07,4.45095160728215e-08,2.070210003424222e-09
1820,1.2341141086835705e-07,1.898636980968149e-08,5.933240565525466e-09
1821,1.370746929296729e-07,1.8736827200882544e-08,9.86148829262845e-10
1822,1.2933044502005941e-07,1.4035862250239006e-08,0.0
1823,1.5515819029587874e-07,2.174191138237802e-08,0.0
1824,5.642145595174952e-08,2.947389532437228e-08,8.421112696055388e-10
1825,9.15766094067294e-08,4.226612659863349e-08,0.0
1826,1.083382059618998e-07,4.4039921931471326e-08,0.0
1827,1.1705936486805513e-07,4.3321183085254233e-08,8.295545583791863e-09
1828,1.192399139426925e-07,5.870272801189458e-08,9.172301251858528e-10
1829,1.4402935732960032e-07,4.200856196234781e-08,1.714635211591542e-09
1830,1.1897992635567789e-07,6.366470017837855e-08,1.0436835840010872e-09
1831,9.042899762334855e-08,5.456922025359745e-08,0.0
1832,1.1906372776593344e-07,1.2176972319366541e-08,0.0
1833,1.6796261093077192e-07,2.20088942626262e-08,5.791814139399776e-09
1834,1.6428774074483954e-07,8.027696907220161e-08,1.8669061851994684e-09
1835,1.4823652350060001e-07,4.159698363537245e-08,7.563087933704082e-10
1836,1.3911952123635274e-07,4.9061476659062464e-08,6.720750067579218e-10
1837,1.1341361982886156e-07,5.287997240088771e-08,2.7831563720326358e-09
1838,1.1993107307262107e-07,4.607878167917079e-08,4.418513555037862e-09
1839,1.510158682549445e-07,2.6567605004856887e-08,0.0
1840,1.707076506818339e-07,4.968357103507515e-08,1.2739377330817092e-09
1841,1.3226329542703752e-07,3.531301828729738e-08,1.2841097074556274e-09
1842,1.2410289684794407e-07,4.092041550052272e-08,2.0124795163667386e-09
1843,1.0691508833815533e-07,4.666459574309556e-08,1.1813822142769936e-09
1844,1.333720405227723e-07,4.171306500211358e-08,2.195424508855126e-09
1845,1.3001931620237883e-07,2.4553003186156275e-08,1.1160455892778032e-09
1846,1.1240642550092161e-07,3.33706573485415e-08,5.854501328173001e-10
1847,1.1919023990003552e-07,5.716817241818717e-08,1.6179670936367074e-09
1848,1.0539240236084879e-07,2.735375304041554e-08,0.0
1849,1.3239476004400785e-07,1.4245005175439474e-08,0.0
1850,1.6293590476834652e-07,7.603675555856171e-08,2.0366988096043315e-09
1851,9.287191460316535e-08,2.5152811389261842e-08,0.0
1852,1.2500247237312578e-07,3.7761164861649377e-08,6.510545436100301e-10
1853,1.2720214215278247e-07,9.256494593046227e-08,0.0
1854,1.3456771341679996e-07,3.117398605922972e-08,5.195664454227256e-10
1855,1.1569122904120377e-07,3.92713346286655e-08,2.1227748447927297e-09
1856,9.474256046360097e-08,5.0736453260924463e-08,0.0
1857,1.0836949826398268e-07,3.368241152656992e-08,4.881509085841174e-10
1858,9.249047394632726e-08,7.438387683578185e-08,0.0
1859,1.211937217249215e-07,6.670747154657874e-08,1.5276520048956854e-09
1860,1.1397187904549355e-07,4.485640303641958e-08,2.746310290291376e-09
1861,1.028080092169148e-07,5.32903889904901e-08,1.4147891747029462e-09
1862,1.2605181609615101e-07,2.6656119089807362e-08,9.035972525772706e-10
1863,1.1337789374010754e-07,5.793760138317339e-08,9.989241656072068e-10
1864,9.157930236369793e-08,4.650886253898534e-08,0.0
1865,1.049626305871243e-07,3.435996376310868e-08,4.706844358715045e-10
1866,1.1385534293140154e-07,4.525020003143254e-08,9.731225825149181e-10
1867,1.1937916610804677e-07,4.755755256269367e-08,1.455843445796745e-09
1868,1.1015919199053315e-07,3.507310708528166e-08,0.0
1869,1.1769281371698526e-07,3.41846337903462e-08,4.883519144627257e-10
1870,1.1066714478147333e-07,5.6193677266946906e-08,1.1468097582678638e-09
1871,1.370131883504655e-07,3.611200227737754e-08,0.0
1872,1.1671365029997105e-07,3.084143074261192e-08,1.2094678591978436e-09
1873,7.48250528204153e-08,4.2500630570430076e-08,0.0
1874,9.61912078878413e-08,4.301718448118663e-08,0.0
1875,8.982797794487851e-08,4.806082642971887e-08,0.0
1876,8.403960549685507e-08,2.8416270225761764e-08,1.209202959984168e-09
1877,9.091679231687522e-08,2.5976227391311113e-08,6.184815992682502e-10
1878,1.1836613822424624e-07,2.4760263173106978e-08,6.039088673581716e-10
1879,1.2707396024325135e-07,3.665595116331133e-08,0.0
1880,9.370055664703614e-08,3.786529134686134e-08,6.417846254436199e-10
1881,8.018383823582553e-08,3.137628468152798e-08,0.0
1882,1.0382400716935081e-07,3.128031167420886e-08,0.0
1883,1.086926317839243e-07,5.1186646032874705e-08,0.0
1884,9.440426396167823e-08,3.6969503014461225e-08,0.0
1885,9.926279176397657e-08,5.414333870135124e-08,6.445635691854079e-10
1886,9.099384357114104e-08,4.904632433522238e-08,0.0
1887,9.66280850889234e-08,4.1785117588233334e-08,0.0
1888,9.257297506337636e-08,3.297119732792453e-08,0.0
1889,8.019375030698939e-08,4.322944491264025e-08,6.265136742733546e-10
1890,9.176140736144589e-08,3.0150179242127706e-08,6.554386478008212e-10
1891,9.178877036220001e-08,2.8683990294098294e-08,0.0
1892,7.647584965297938e-08,2.0686091062316336e-08,0.0
1893,1.1947328459882556e-07,1.847524977449666e-08,1.847525021858587e-09
1894,8.192001388351855e-08,1.1972924873759894e-08,6.301539290376468e-10
1895,7.342709551494409e-08,4.513960760732516e-08,6.018614495673091e-10
1896,1.0673622341528244e-07,3.3023361822870356e-08,1.179405795248556e-09
1897,7.574727334258569e-08,2.9133568446582103e-08,5.826713556089658e-10
1898,1.0637707248406514e-07,3.225262190653666e-08,0.0
1899,8.45719512199139e-08,4.366786754417262e-08,1.1055156790007459e-09
1900,8.098042769688618e-08,4.360484595622438e-08,0.0
1901,8.383108252019156e-08,2.6825947685438223e-08,2.235495566438317e-09
1902,6.923499995536986e-08,2.1114219705964388e-08,0.0
1903,8.316339261682515e-08,4.1581696308412575e-08,1.6200660812870638e-09
1904,1.0158041874319679e-07,4.03096898082822e-08,0.0
1905,8.618467717269596e-08,2.7868098939620722e-08,0.0
1906,9.105206544290922e-08,3.549487459508782e-08,0.0
1907,1.1314255488059644e-07,5.142843306771283e-08,0.0
1908,8.693158548567226e-08,2.6521501439447093e-08,4.911389073214423e-10
1909,1.0066799660535253e-07,3.4656196135074424e-08,5.500983557560346e-10
1910,1.2184663944481144e-07,2.8323999146095957e-08,0.0
1911,8.140172269577306e-08,2.606983251496331e-08,0.0
1912,1.1512820918824218e-07,4.115442919783163e-08,5.209421227725386e-10
1913,7.742364971363713e-08,3.4999732889673396e-08,0.0
1914,8.036092680185902e-08,2.5447626228469744e-08,6.696743715117748e-10
1915,9.660224975505116e-08,9.424609537234119e-09,0.0
1916,9.119593613604593e-08,3.955486249651585e-08,1.0987462051303964e-09
1917,4.7155623406069935e-08,3.728584374584898e-08,0.0
1918,8.499918635607173e-08,5.743188324913717e-08,0.0
1919,1.0681104356535798e-07,6.537572261322566e-08,9.207848372660976e-10
1920,8.480899538199083e-08,5.83061847692079e-08,7.572231730534895e-10
1921,5.83101567031008e-08,4.316466117870732e-08,7.572747429129834e-10
1922,9.00108148016443e-08,5.5334517412575224e-08,0.0
1923,1.0191310195750702e-07,1.2739137744688378e-08,0.0
1924,8.637388049237416e-08,4.2542360745301266e-08,2.578324886925998e-09
1925,8.688560626524122e-08,4.2892892793133797e-08,1.0998177923937646e-09
1926,6.799144358637932e-08,4.458455293843144e-08,0.0
1927,7.469980545238286e-08,3.9022285847067906e-08,0.0
1928,9.369353648480683e-08,2.2852082892654835e-08,1.1426041224282812e-09
1929,1.1140406286358484e-07,3.5649300400564243e-08,0.0
1930,9.138135226294253e-08,4.3064773080914165e-08,1.0503603542488804e-09
1931,7.983749839013399e-08,3.307553342324354e-08,0.0
1932,9.973178549671502e-08,3.9454331357546835e-08,2.1919073223131136e-09
1933,6.997103696448903e-08,4.01473165823063e-08,1.1470662197865522e-09
1934,9.824896096688462e-08,2.6359476379411717e-08,0.0
1935,9.335261808018913e-08,4.4282650435434334e-08,0.0
1936,9.578524640119213e-08,4.607391446143083e-08,0.0
1937,7.680581859403901e-08,3.399602022113868e-08,1.2591118148108649e-09
1938,9.07565009811151e-08,4.6674770715071645e-08,2.5930428915188486e-09
1939,7.494084997006212e-08,4.8940961505650193e-08,0.0
1940,1.0650288118085882e-07,2.028626333583361e-08,2.5357829169792012e-09
1941,9.739958528598436e-08,2.3612020783048138e-08,5.9030051957620344e-09
1942,1.061974117533282e-07,4.8547388331598995e-08,3.034211770724937e-09
1943,1.1612940653549231e-07,4.3548528338988035e-08,0.0
1944,1.317406344014671e-07,5.7837350908584995e-08,0.0
1945,1.2199622290154366e-07,5.010559434026618e-08,0.0
1946,1.0162406027802717e-07,9.32713959400644e-08,2.7842208538686464e-09
1947,1.1801662225252585e-07,4.0530959921625254e-08,2.3841741914054637e-09
1948,1.2502671609126992e-07,3.8051606310318675e-08,0.0
1949,1.1191389148734743e-07,3.5341230386620737e-08,2.945102384188658e-09
1950,1.254972659125997e-07,4.4668517773516214e-08,1.0635361480382244e-09
1951,1.0021717855579482e-07,2.7719645245838365e-08,2.1322803522849654e-09
1952,1.3075556637431873e-07,2.741649041126948e-08,2.1089607837865287e-09
