year,en_ADP épi_NOUN,en_ADP epi_NOUN,en_ADP képi_NOUN
1800,1.3834323908668011e-06,0.0,0.0
1801,5.5481552863057e-07,0.0,0.0
1802,1.9200668077701266e-06,8.951360541686881e-09,2.2378401354217203e-09
1803,3.0113237805551307e-06,3.900678446910888e-09,0.0
1804,1.3669335465760213e-06,1.9774807125116922e-08,0.0
1805,3.2465664427938634e-06,1.7057265822018053e-08,0.0
1806,1.1526676644280087e-06,8.645007376628655e-09,0.0
1807,9.053317171492381e-07,0.0,0.0
1808,8.225848624476839e-07,2.2660739951163578e-09,0.0
1809,1.0481902075198946e-06,4.518061036407062e-09,0.0
1810,3.369782461959403e-07,1.4040760554223652e-08,0.0
1811,2.409300805084058e-06,3.008492122091866e-08,0.0
1812,5.467777000056628e-07,4.800974906515876e-08,0.0
1813,2.415623043816595e-07,2.8757416448144113e-09,0.0
1814,2.4229413497778296e-07,3.1466771410748606e-09,0.0
1815,1.53472024067014e-06,5.394447111228828e-09,0.0
1816,1.483266480306611e-06,2.7811246638975717e-08,0.0
1817,1.3700485865797418e-06,4.670620223912181e-09,0.0
1818,8.070637029788941e-07,3.0995060518179685e-08,2.384235475716423e-09
1819,1.0723688088631889e-06,0.0,0.0
1820,3.2514159720165026e-07,0.0,0.0
1821,4.861713898129949e-07,4.930744035291923e-09,0.0
1822,3.779657191671504e-07,1.0025615893027862e-09,0.0
1823,8.775826003670772e-07,7.906149512848515e-09,0.0
1824,3.8063430807255827e-07,1.6842225392110777e-09,0.0
1825,7.053160082648446e-07,2.641632912414593e-09,0.0
1826,4.298296261140422e-07,2.6423953025656033e-09,0.0
1827,1.0876382674496199e-06,1.8434546111834038e-09,0.0
1828,4.888836806493657e-07,2.7516903755575584e-09,0.0
1829,3.6178803419772976e-07,3.429270478694235e-09,0.0
1830,2.2439196722956467e-07,0.0,0.0
1831,6.220891473063261e-07,4.677361831184612e-09,0.0
1832,2.1242052339331963e-07,1.3529969367098715e-09,0.0
1833,3.011743334724315e-07,1.1583628500844156e-09,0.0
1834,3.8551612768777943e-07,1.8669061851994684e-09,0.0
1835,4.946259366533923e-07,0.0,0.0
1836,3.864431397104795e-07,4.032449929525228e-09,0.0
1837,3.353703368347283e-07,2.7831563720326358e-09,0.0
1838,2.7962876014697713e-07,6.312161904276081e-10,0.0
1839,2.202314695054497e-07,6.9914751765765e-10,0.0
1840,1.2675680238771747e-07,2.547875410652267e-09,0.0
1841,6.11878291589818e-07,3.852329122366882e-09,0.0
1842,1.5496092764522018e-07,0.0,0.0
1843,1.459007022419634e-07,5.906911071384968e-10,0.0
1844,2.1076075995551946e-07,5.488561272137815e-10,0.0
1845,2.1204865863211353e-07,0.0,0.0
1846,3.085322275442337e-07,5.854501328173001e-10,0.0
1847,1.537068783363793e-07,5.393223645455691e-10,1.6179670936367074e-09
1848,1.520546919486776e-07,4.022610855525244e-09,1.126331028444838e-08
1849,1.9943007445455407e-07,8.379414939696517e-10,1.4245005175439474e-08
1850,1.8262399237300997e-07,0.0,7.467895635215882e-09
1851,3.4762475209504373e-07,6.449438760824933e-10,5.804494884742439e-09
1852,2.981829776427247e-07,6.510545436100301e-10,3.2552727180501506e-09
1853,2.9441624183057513e-07,1.1943863675867306e-09,1.1943863675867306e-09
1854,2.66018009231761e-07,5.195664454227256e-10,5.195664454227256e-10
1855,2.441190964930229e-07,5.306937111981824e-10,5.306937111981824e-10
1856,1.4289042837845045e-07,5.177189232874468e-10,3.106313539724681e-09
1857,2.3333613796694408e-07,9.763018171682347e-10,4.881509085841174e-10
1858,1.5561889460391498e-07,9.787352039936081e-10,1.468102750479261e-09
1859,1.3137807286511816e-07,1.018434669930457e-09,3.3099126994784456e-08
1860,1.3960411235358627e-07,4.577183909670879e-10,1.830873586072812e-08
1861,1.4100731360322527e-07,1.4147891747029462e-09,0.0
1862,1.9698420317126875e-07,4.517986262886353e-10,9.035972525772706e-10
1863,9.689564706150122e-08,0.0,6.493007020935693e-09
1864,1.668565374757236e-07,4.794727948009836e-10,0.0
1865,1.19553844823983e-07,2.8241067262513297e-09,4.23615986733239e-09
