year,on_PRON aille_VERB,on_PRON caille_VERB
1800,1.8550569791386806e-07,0.0
1801,1.619204113012529e-07,0.0
1802,8.056224487518193e-08,1.3427040812530322e-08
1803,7.411288915903924e-08,2.7304748684287006e-08
1804,1.3347994887169534e-07,0.0
1805,3.980028751016107e-08,1.1371510844071508e-08
1806,6.916005901302924e-08,0.0
1807,1.508886242618246e-07,0.0
1808,1.2463406706686442e-07,2.2660739951163578e-09
1809,6.325285539787728e-08,0.0
1810,1.6848912842704067e-07,0.0
1811,1.178326058948187e-07,0.0
1812,9.868670503010435e-08,0.0
1813,7.764502640839055e-08,0.0
1814,1.730672369859576e-07,0.0
1815,4.5852800667489646e-08,0.0
1816,8.575134202715162e-08,0.0
1817,1.0898113700363865e-07,0.0
1818,1.4663047842589094e-07,0.0
1819,1.1696686696982539e-07,1.2421260464634543e-08
1820,1.2934463988756306e-07,0.0
1821,8.776724591541551e-08,0.0
1822,9.323822780515911e-08,1.0025615893027862e-09
1823,9.487379382111527e-08,1.581229902569703e-08
1824,8.75795747035113e-08,0.0
1825,1.153513036200593e-07,0.0
1826,9.160303537925074e-08,0.0
1827,9.770309317147507e-08,0.0
1828,1.6234973065909486e-07,0.0
1829,1.11451291973097e-07,1.714635211591542e-09
1830,1.1689256229630018e-07,1.0436835840010872e-09
1831,1.2161141227373662e-07,0.0
1832,1.420646782435142e-07,4.058990921151917e-09
1833,1.01935931695607e-07,5.791814139399776e-09
1834,2.277625532620675e-07,0.0
1835,1.0815215745196838e-07,5.294161553592858e-09
1836,1.1425275053822403e-07,2.016224964762614e-09
1837,1.4402833992122055e-07,0.0
1838,9.278878110308142e-08,2.5248647617104325e-09
1839,9.927894817352012e-08,6.292327547896548e-09
1840,1.8790581046701504e-07,2.5478754661634184e-09
1841,1.2391658676946804e-07,0.0
1842,1.4758183253249513e-07,2.683306021822318e-09
1843,1.1223130891302446e-07,0.0
1844,9.934296230085238e-08,0.0
1845,8.649353394618586e-08,1.674068439427856e-09
1846,1.0245376991235844e-07,0.0
1847,1.445383963627478e-07,5.393223645455691e-10
1848,4.98803736093123e-08,0.0
1849,8.798385664476882e-08,5.02764896381791e-09
1850,1.0455054155755761e-07,6.788996032014438e-09
1851,8.964719699910972e-08,0.0
1852,8.203286938623933e-08,0.0
1853,9.19677523025797e-08,5.971931837933653e-10
1854,9.404152445657843e-08,0.0
1855,1.0401596384213008e-07,0.0
1856,1.4858533220474257e-07,0.0
1857,1.0446429521415723e-07,0.0
1858,1.4338470388786106e-07,0.0
1859,1.4156242134077957e-07,0.0
1860,1.3868866621802312e-07,9.154367819341758e-10
1861,1.8203619611689703e-07,0.0
1862,1.314734064949974e-07,0.0
1863,9.739510942186058e-08,0.0
1864,1.1938872856998017e-07,0.0
1865,1.1955384326967078e-07,0.0
1866,9.731226180420549e-08,0.0
1867,7.715970440358433e-08,9.7056229719783e-10
1868,8.545982410623765e-08,0.0
1869,1.1866951865613373e-07,3.4184632902167778e-09
1870,1.0607989997524214e-07,0.0
1871,1.391374269132939e-07,0.0
1872,1.0099056690915376e-07,0.0
1873,7.961386216948085e-08,1.7958012854535355e-09
1874,9.380136556380592e-08,0.0
1875,1.069925564811669e-07,0.0
1876,1.1487428452916504e-07,1.813804439976252e-09
