year,mon_DET art_NOUN
1800,4.62192190298083e-07
1801,4.857612598829775e-07
1802,5.616978739908518e-07
1803,8.132914706138195e-07
1804,9.318878211317383e-07
1805,5.628897792320231e-07
1806,6.570205428602094e-07
1807,4.5551283189837477e-07
1808,4.6454516855476413e-07
1809,5.512034491061968e-07
1810,7.511806749960215e-07
1811,6.317833203262069e-07
1812,6.267939367532449e-07
1813,8.109591576044295e-07
1814,8.05549368543268e-07
1815,3.452446240004292e-07
1816,2.294427776661223e-07
1817,6.414318249881035e-07
1818,3.385614242290558e-07
1819,4.771834039019041e-07
1820,6.312968103827643e-07
1821,6.95234909642295e-07
1822,5.81485721795616e-07
1823,5.761606370890959e-07
1824,5.709514461216258e-07
1825,5.529818380978213e-07
1826,4.6065758851909777e-07
1827,4.027948388163338e-07
1828,4.29263693035864e-07
1829,4.115124605519327e-07
1830,5.458465146546132e-07
1831,4.646179385670024e-07
1832,4.0995807548682706e-07
1833,6.150906965984859e-07
1834,3.957841023805031e-07
1835,5.279035306671176e-07
1836,5.094328638932666e-07
1837,3.3954507294708947e-07
1838,4.267021349591005e-07
1839,2.684726539969873e-07
1840,3.78996487526706e-07
1841,3.781703159511096e-07
1842,4.5414954419342735e-07
1843,3.6091227784140756e-07
1844,2.755257848541248e-07
1845,3.4430005602104075e-07
1846,2.968232255540215e-07
1847,2.3891980394097345e-07
1848,2.308978608311918e-07
1849,1.6172270367320607e-07
1850,2.600185489143314e-07
1851,2.405640655567254e-07
1852,3.05995646820989e-07
1853,2.4425201505806626e-07
1854,3.0394637207109554e-07
1855,4.0279652679942046e-07
1856,2.842276991543713e-07
1857,3.3194262449853795e-07
1858,3.513659239118283e-07
1859,3.8293143322931655e-07
1860,3.240646293534155e-07
1861,3.070092322587925e-07
1862,3.406561730479041e-07
1863,3.4313044583456076e-07
1864,2.881631520068595e-07
1865,2.913536594206789e-07
1866,2.6031029065620714e-07
1867,2.5234619549507897e-07
1868,2.2772820074123956e-07
1869,3.7944943098722206e-07
1870,2.4713749802174334e-07
1871,2.1985836617943733e-07
1872,2.2435628199701796e-07
1873,2.5859539132255804e-07
1874,2.437640485020154e-07
1875,3.2212196821035377e-07
1876,3.343446195458455e-07
1877,2.4677415888518794e-07
1878,2.451869975939047e-07
1879,2.5170419426512325e-07
1880,3.2281767747832646e-07
1881,2.3776251412144234e-07
1882,3.281104981045502e-07
1883,3.2797369975412494e-07
1884,2.0531277389324032e-07
1885,1.8756799446961736e-07
1886,2.749175616045818e-07
1887,2.141487260853836e-07
1888,2.098743472345177e-07
1889,1.7918291117524632e-07
1890,2.038414184113435e-07
1891,2.473197344698974e-07
1892,2.59516411027505e-07
1893,1.601188315270008e-07
