year,aient_VERB ôté_VERB,aient_VERB noté_VERB
1800,0.0,3.144164484325529e-09
1801,1.1905912700171939e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,0.0
1804,9.887403784603066e-09,0.0
1805,2.842877711017877e-09,2.842877711017877e-09
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,0.0,0.0
1810,1.6380887757350138e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,1.1502966579257645e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,0.0,8.091670444798638e-09
1816,4.6352077731626196e-09,0.0
1817,1.2454987263765815e-08,0.0
1818,1.668964877410417e-08,0.0
1819,6.210630232317271e-09,6.210630232317271e-09
1820,7.119888678630559e-09,0.0
1821,1.8736827200882544e-08,9.861488514673056e-09
1822,2.0051231786055723e-09,3.0076847679083585e-09
1823,2.9648061783404955e-09,1.9765373782121287e-09
1824,2.5263338088166165e-09,0.0
1825,9.68598712347557e-09,2.641632912414593e-09
1826,1.7615968683770689e-09,7.0463874735082754e-09
1827,4.608636583469661e-09,0.0
1828,3.668920500743411e-09,0.0
1829,4.286587973467704e-09,2.571952872898464e-09
1830,4.174734336004349e-09,0.0
1831,3.1182412207897414e-09,0.0
1832,1.6235963684607668e-08,1.3529969367098715e-09
1833,0.0,0.0
1834,7.467624740797874e-09,0.0
1835,4.5378527602224494e-09,7.563087933704082e-10
1836,8.064899859050456e-09,1.3441500135158435e-09
1837,2.0873671680021744e-09,4.87052354003481e-09
1838,1.8936485712828244e-09,3.1560809521380406e-09
1839,9.788065469251706e-09,0.0
1840,5.095750932326837e-09,2.5478754661634184e-09
1841,5.778493683550323e-09,1.926164561183441e-09
1842,1.341653010911159e-09,6.708265054555795e-10
1843,2.1855571574747046e-08,4.134837805480629e-09
1844,2.7442805805577564e-09,5.488561272137815e-10
1845,5.022205318283568e-09,2.7901139176833567e-09
1846,3.5127007969038004e-09,3.5127007969038004e-09
1847,9.168480197274675e-09,3.235934187273415e-09
1848,0.0,1.126331028444838e-08
1849,5.865590679832167e-09,8.379414939696517e-10
1850,8.82569484161877e-09,4.752297222410107e-09
1851,1.5478653025979838e-08,6.449438760824933e-10
1852,8.463708844885787e-09,5.859490670445666e-09
1853,1.2541057081705276e-08,4.180352064508952e-09
1854,2.5978321716024766e-09,5.195664454227256e-10
1855,3.714855978387277e-09,1.5920811335945473e-09
1856,4.659470143053568e-09,2.5885946719483854e-09
1857,5.369659827891837e-09,3.4170564155999728e-09
1858,9.787352039936081e-10,1.468102750479261e-09
1859,1.5276520048956854e-09,6.110608019582742e-09
1860,6.865775947773045e-09,4.577183909670879e-10
1861,9.903524222920623e-09,1.8863854922557266e-09
1862,1.400575744270327e-08,0.0
1863,5.9935452156878455e-09,0.0
1864,9.589455896019672e-10,4.794728170054441e-09
1865,8.47231973466478e-09,9.41368871743009e-10
1866,6.811858188626729e-09,4.865612912574591e-10
1867,3.88224918879132e-09,0.0
1868,1.975949626142892e-09,3.951899252285784e-09
1869,1.5627261262807224e-08,5.860222973552709e-09
1870,4.013834153937523e-09,6.307453670473251e-09
1871,0.0,2.1242354542039266e-09
1872,4.23313739617015e-09,1.269941218851045e-08
1873,2.3944017879529156e-09,2.9930022904522957e-09
1874,5.377148060148329e-09,7.766991494406739e-09
1875,1.4303817685856757e-08,1.0298748520654044e-08
1876,6.04601479992084e-10,6.04601479992084e-09
1877,2.4739263970730008e-09,1.2369631985365004e-09
1878,6.039088673581716e-10,3.0195443923020093e-09
1879,6.109325489944695e-09,5.498392852132383e-09
1880,7.701415505323439e-09,1.9253538763308597e-09
1881,1.1156012114099667e-08,2.091752326904839e-09
1882,4.6587693702804245e-09,2.6621540527571597e-09
1883,1.8958017378167824e-09,1.2638677882037541e-09
1884,1.3203393933736152e-09,5.281357573494461e-09
1885,2.5782542767416317e-09,9.023890079618013e-09
1886,0.0,1.936039106809062e-09
1887,6.528924623161458e-10,6.528924623161458e-10
1888,3.804368819970705e-09,0.0
1889,3.132568426877924e-09,5.012109394186837e-09
1890,1.3108772956016423e-09,6.554386478008212e-10
1891,1.9122659011827636e-09,2.5496880162734215e-09
1892,3.1342561879199593e-09,0.0
1893,0.0,6.774258043407144e-09
1894,5.671385139294216e-09,1.2603078580752936e-09
1895,3.0093072478365457e-09,6.018614495673091e-09
1896,1.7691086373616827e-09,1.0024948871034667e-08
1897,2.330685422435863e-09,3.4960281336537946e-09
1898,3.960848538042683e-09,1.6975064687230201e-09
1899,1.6582735185011188e-09,8.291367592505594e-09
1900,1.038210628578895e-09,5.191053142894475e-10
1901,2.794369402536745e-09,4.470991132876634e-09
1902,0.0,3.928227076954727e-09
1903,1.6200660812870638e-09,1.6200660812870638e-09
1904,5.374625189347171e-10,8.599400302955473e-09
1905,5.160759042333041e-10,4.64468330463319e-09
