year,pouvaient_VERB ôter_VERB,pouvaient_VERB noter_VERB
1800,6.288328791015374e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,2.757784400841956e-08,0.0
1812,1.600324850414836e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,1.5733386149463513e-08,0.0
1815,0.0,8.091670444798638e-09
1816,1.622322720606917e-08,0.0
1817,1.71256075987003e-08,0.0
1818,9.536941902865692e-09,0.0
1819,7.24573512300708e-09,0.0
1820,1.542642635854463e-08,0.0
1821,1.3806083387635226e-08,0.0
1822,1.2030739071633434e-08,0.0
1823,2.7671523739059012e-08,0.0
1824,3.3684450784221553e-09,0.0
1825,2.641632912414593e-09,0.0
1826,3.5231937367541377e-09,0.0
1827,4.608636583469661e-09,0.0
1828,6.420610709767516e-09,0.0
1829,1.714635211591542e-09,0.0
1830,3.1310507520032616e-09,0.0
1831,3.1182412207897414e-09,0.0
1832,1.352996914505411e-08,0.0
1833,0.0,0.0
1834,9.334530925997342e-10,3.733812370398937e-09
1835,3.025235173481633e-09,0.0
1836,1.008112526790228e-08,0.0
1837,4.87052354003481e-09,0.0
1838,1.5780404538645598e-08,0.0
1839,1.8876983531868063e-08,0.0
1840,1.3376346252869098e-08,0.0
1841,9.630822361827995e-09,0.0
1842,1.475818312002275e-08,0.0
1843,1.5357969118667825e-08,4.7255288571079745e-09
1844,3.841992946007622e-09,0.0
1845,2.2320911785556063e-09,0.0
1846,1.2879903366069811e-08,0.0
1847,3.775256551818984e-09,0.0
1848,8.045221711050488e-10,0.0
1849,5.02764896381791e-09,0.0
1850,6.788996032014438e-10,0.0
1851,3.2247193804124663e-09,0.0
1852,6.510545436100301e-10,0.0
1853,8.360704129017904e-09,0.0
1854,3.63696517347023e-09,0.0
1855,2.653468555990912e-09,0.0
1856,5.694908100650764e-09,0.0
1857,6.345961978126979e-09,4.881509085841174e-10
1858,2.495774786837046e-08,5.3830437884982985e-09
1859,1.476730293603623e-08,0.0
1860,7.323494255473406e-09,0.0
1861,4.715963619617014e-09,4.715963730639317e-10
1862,3.6143890103090826e-09,0.0
1863,0.0,0.0
1864,3.3563094525845827e-09,2.3973640850272204e-09
1865,7.0602665935837194e-09,0.0
1866,4.865612801552288e-09,0.0
1867,4.85281148598915e-09,0.0
1868,2.9639244392143382e-09,1.4819622196071691e-09
1869,1.953407657850903e-09,0.0
1870,4.013834153937523e-09,5.734048791339319e-10
1871,4.248470908407853e-09,4.248470908407853e-09
1872,4.23313739617015e-09,2.4189357183956872e-09
1873,1.1972008939764578e-09,0.0
1874,5.974609140757536e-10,5.974609251779839e-09
1875,1.1443054281912168e-09,2.1741803024610817e-08
1876,6.650616057868319e-09,7.255217759905008e-09
1877,1.1132669008873108e-08,1.8554447978047506e-09
1878,0.0,6.039088673581716e-10
1879,8.55305515301552e-09,0.0
1880,3.8507077526617195e-09,4.492492600149944e-09
1881,0.0,6.972507571312292e-10
1882,0.0,2.6621540527571597e-09
1883,0.0,1.0110942305630033e-08
1884,6.601696966868076e-10,2.6406787867472303e-09
1885,1.933690763067375e-09,1.2891271383708158e-09
1886,1.2906927748801422e-09,0.0
1887,6.528924623161458e-10,0.0
1888,0.0,6.340614699951175e-10
1889,0.0,6.265136742733546e-10
1890,6.554386478008212e-10,0.0
1891,6.374220040683554e-10,6.374220040683554e-10
1892,0.0,0.0
1893,6.158416554491453e-10,0.0
1894,6.301539290376468e-10,1.2603078580752936e-09
1895,0.0,2.4074457982692365e-09
1896,5.89702897624278e-10,0.0
1897,2.330685422435863e-09,0.0
1898,0.0,2.8291773368493978e-09
1899,0.0,2.2110313580014918e-09
1900,4.15284251431558e-09,2.595526460424935e-09
1901,0.0,5.029864968975062e-09
1902,1.4730852093691738e-09,3.437198747846537e-09
1903,3.7801539676252105e-09,4.860198465905796e-09
1904,7.524475265086039e-09,5.374625189347171e-10
1905,5.160759042333041e-10,5.160759042333041e-10
1906,3.600929110447737e-09,3.0865106026567446e-09
1907,5.142843373384665e-10,1.5428529565042481e-09
1908,4.911389073214423e-10,4.911389073214423e-10
1909,6.0510818578052294e-09,4.400786846048277e-09
1910,0.0,0.0
1911,0.0,5.320374141248863e-10
1912,3.125652625612929e-09,0.0
1913,1.060597942803554e-09,2.121195885607108e-09
