year,voulait_VERB ôter_VERB,voulait_VERB oter_VERB,voulait_VERB noter_VERB
1800,9.432493897065797e-09,0.0,0.0
1801,3.5717739876872656e-08,0.0,0.0
1802,4.475680270843441e-09,0.0,2.2378401354217203e-09
1803,1.1702034896643454e-08,0.0,0.0
1804,2.2246657849223084e-08,0.0,0.0
1805,4.8328921309348516e-08,0.0,0.0
1806,5.187004603612877e-08,0.0,0.0
1807,1.4234775136401367e-08,0.0,0.0
1808,1.5862518409903714e-08,0.0,0.0
1809,2.0331274441787173e-08,0.0,0.0
1810,3.978215445954447e-08,0.0,0.0
1811,9.27618373225414e-08,0.0,2.5070767684098882e-09
1812,5.867858021701977e-08,0.0,0.0
1813,4.601186631703058e-08,0.0,1.1502966579257645e-08
1814,6.293354282149721e-09,0.0,9.440030979135372e-09
1815,3.506390555685357e-08,0.0,0.0
1816,2.7811246638975717e-08,1.1588019432906549e-08,6.952811659743929e-09
1817,3.42512151974006e-08,0.0,1.401186100480345e-08
1818,5.2453181353939726e-08,0.0,1.1921177378582115e-09
1819,4.0369094733705424e-08,0.0,1.035105001712111e-09
1820,6.645229433388522e-08,3.5599443393152796e-09,1.6613073583471305e-08
1821,9.565643921405353e-08,0.0,1.1833785507064931e-08
1822,4.3110148340019805e-08,1.0025615893027862e-09,4.010246357211145e-09
1823,4.4472091786929013e-08,0.0,9.882686669016039e-09
1824,4.6316120716483056e-08,0.0,1.0947446504872005e-08
1825,2.6416328680056722e-08,8.805443041381977e-10,3.522177216552791e-09
1826,2.3781558056157337e-08,8.807984341885344e-10,7.927186018719112e-09
1827,2.8573547083965423e-08,0.0,2.7651818612639545e-09
1828,2.8434133270138773e-08,0.0,3.668920500743411e-09
1829,2.914879893012312e-08,0.0,1.3717081692732336e-08
1830,6.366470017837855e-08,1.0436835840010872e-09,4.174734336004349e-09
1831,4.8332740476553226e-08,1.5591206103948707e-09,1.5591206103948707e-09
1832,9.606278439378002e-08,1.3529969367098715e-09,5.411987746839486e-09
1833,3.938433579264711e-08,0.0,3.4750886612755494e-09
1834,4.667265329771908e-08,0.0,5.600718555598405e-09
1835,4.764745398233572e-08,0.0,2.2689263801112247e-09
1836,4.838939915430274e-08,6.720750067579218e-10,1.8818100855355624e-08
1837,3.061472142462662e-08,0.0,0.0
1838,3.787297231383491e-08,6.312161904276081e-10,8.2058102535143e-09
1839,4.6842885126352485e-08,6.9914751765765e-10,0.0
1840,5.223144583510475e-08,0.0,0.0
1841,3.78812359258518e-08,6.420548537278137e-10,7.0626033910059505e-09
1842,7.982835370512475e-08,0.0,6.708265054555795e-10
1843,2.7171790151214736e-08,5.906911071384968e-10,1.1813822142769936e-09
1844,3.1833653935109396e-08,5.488561272137815e-10,2.195424508855126e-09
1845,5.412821124650691e-08,5.580227946389016e-10,5.580227946389016e-10
1846,4.390875929516369e-08,0.0,1.1709002656346001e-09
1847,3.343798482546845e-08,0.0,7.011190739092399e-09
1848,3.539897619475596e-08,0.0,2.413566457803995e-09
1849,3.100383594301093e-08,0.0,8.379414939696517e-10
1850,2.2403686017469226e-08,0.0,0.0
1851,2.257303499675345e-08,6.449438760824933e-10,1.2253933867611977e-08
1852,2.799534470909748e-08,0.0,1.3021090872200602e-09
1853,4.478948767427937e-08,5.971931837933653e-10,1.7915795513800958e-09
1854,3.065441944727354e-08,0.0,2.0782657816909023e-09
1855,4.404757802944914e-08,5.306937111981824e-10,2.653468555990912e-09
1856,4.0899795550330964e-08,0.0,1.1389816201301528e-08
1857,1.757343248698362e-08,0.0,9.763018171682347e-10
1858,4.257498176230001e-08,0.0,3.9149408159744326e-09
1859,4.3283474582267445e-08,1.018434669930457e-09,5.601390462572908e-09
1860,4.165237399433863e-08,0.0,1.373155145145688e-09
1861,3.159695793897299e-08,0.0,9.431927461278633e-10
1862,2.1234535907410645e-08,0.0,2.710791813242963e-09
1863,2.3474717281146695e-08,0.0,1.0988165932701577e-08
1864,3.9796240969280916e-08,0.0,6.233146443435089e-09
1865,3.435996376310868e-08,0.0,3.765475486972036e-09
1866,6.033359767343427e-08,9.731225825149181e-10,2.432806400776144e-09
1867,2.135237053835226e-08,0.0,9.7056229719783e-10
1868,3.062721987134864e-08,1.975949626142892e-09,9.87974857480367e-09
1869,1.7580669364747337e-08,0.0,1.12320943657096e-08
1870,2.2936195165357276e-08,0.0,8.601073631098188e-09
1871,2.549082545044712e-08,1.0621177271019633e-09,0.0
1872,4.112190765681589e-08,0.0,0.0
1873,1.5563610844537834e-08,5.986004469882289e-10,0.0
1874,1.9118749250424116e-08,0.0,5.974609140757536e-10
1875,1.6592428764283795e-08,0.0,1.716458086775674e-09
1876,1.5115036333668286e-08,2.418405919968336e-09,4.836811839936672e-09
1877,1.4225077116236662e-08,0.0,5.566334504436554e-09
1878,2.113680963589104e-08,0.0,7.2469061862534545e-09
1879,1.9549840857280287e-08,0.0,7.331190321480108e-09
1880,2.8238524407697696e-08,0.0,1.0268554007097919e-08
1881,2.2312024228199334e-08,0.0,7.669758161910067e-09
1882,2.1297232422057277e-08,0.0,3.9932310791357395e-09
1883,1.9589950994713945e-08,6.319338941018771e-10,5.0554711528150165e-09
1884,1.0562715146988921e-08,0.0,5.941527270181268e-09
1885,1.2246707647989297e-08,6.445635691854079e-10,7.090199094506033e-09
1886,2.1296431285122708e-08,0.0,7.744156427236248e-09
1887,7.834709769838355e-09,0.0,4.570247291724172e-09
1888,1.9021843655764314e-08,0.0,3.804368819970705e-09
1889,1.50363277384713e-08,6.265136742733546e-10,6.265136853755848e-09
