year,en_ADP ère_NOUN,en_ADP ere_NOUN,en_ADP cerfs_NOUN
1800,1.8864987794131594e-08,1.0690159246706799e-07,6.288328968651058e-09
1801,3.333655484993869e-08,7.1435474868764e-08,0.0
1802,2.2378401354217203e-09,2.2378401354217203e-09,1.5664880947952042e-08
1803,1.950339267864365e-08,5.0708818033484704e-08,1.1702034896643454e-08
1804,4.943701892301533e-09,4.943701892301533e-09,5.19088700912107e-08
1805,5.685755422035754e-09,2.842877711017877e-09,8.528632911009026e-09
1806,0.0,3.1698359492793315e-08,0.0
1807,2.8469551160981155e-09,0.0,0.0
1808,1.1330369531492579e-08,6.118399653587403e-08,1.1330369531492579e-08
1809,9.036122072814123e-09,9.036122072814123e-09,2.25903047379461e-08
1810,4.212228077449254e-08,7.020380277111826e-09,1.4040760554223652e-08
1811,5.0141535368197765e-09,2.5070767684098882e-09,2.0056614147279106e-08
1812,8.00162425207418e-09,1.8670457180292033e-08,2.6672083208723052e-08
1813,0.0,0.0,4.026038169513413e-08
1814,1.2586708564299443e-08,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,3.506390644503199e-08,5.394447111228828e-09
1816,0.0,1.4832664874120383e-07,2.3176038865813098e-09
1817,1.556873407970727e-09,6.227493631882908e-09,6.227493631882908e-09
1818,7.152706427149269e-09,2.384235475716423e-09,2.384235475716423e-09
1819,1.7596784473994376e-08,3.933399084221634e-08,3.3123360054787554e-08
1820,1.1866481131050932e-09,2.3732962262101864e-08,5.933240565525466e-09
1821,7.88919063410276e-09,1.7750678149575094e-08,1.3806083387635226e-08
1822,5.012807946513931e-09,1.2030739071633434e-08,5.012807946513931e-09
1823,2.8659792761231984e-08,1.4824030780680175e-08,0.0
1824,1.0105335235266466e-08,0.0,5.894778887238772e-09
1825,1.584979791857677e-08,0.0,1.7610886082763955e-09
1826,2.642395191543301e-09,1.1450379977517855e-08,4.403992281964975e-09
1827,1.8434546111834038e-09,2.21214555007343e-08,2.2121454890111636e-08
1828,8.255071293206129e-09,4.5861504760491556e-08,1.3758452155343548e-08
1829,1.0287811491593857e-08,2.8291481157793896e-08,1.3717081692732336e-08
1830,4.174734336004349e-09,1.0436835840010872e-09,9.39315247805439e-09
1831,0.0,9.35472388441383e-09,4.677361609140007e-09
