year,aucun_DET âge_NOUN,aucun_DET age_NOUN,aucun_DET sage_ADJ
1800,1.760732057931591e-07,4.0874140072588716e-08,0.0
1801,7.381665767525192e-08,0.0,0.0
1802,9.622712582313397e-08,0.0,4.475680270843441e-09
1803,6.046051614916337e-08,9.751696339321825e-09,0.0
1804,8.157108188910911e-08,0.0,2.4718509461507665e-09
1805,7.391482248486625e-08,0.0,8.528632911009026e-09
1806,1.296751053203593e-07,0.0,0.0
1807,1.3095993800504857e-07,8.540865792383556e-09,0.0
1808,9.064295714011905e-08,0.0,0.0
1809,6.777091243748146e-08,0.0,0.0
1810,7.722418304823009e-08,0.0,1.8721014072298203e-08
1811,1.9304490450622325e-07,2.5070767684098882e-09,2.5070767684098882e-09
1812,1.7603573709834563e-07,0.0,1.600324983641599e-08
1813,1.8404746526812232e-07,0.0,8.627224934443234e-09
1814,5.349351184236184e-08,9.440031423224582e-09,0.0
1815,7.821948599939788e-08,0.0,2.697223555614414e-09
1816,1.0197457278593447e-07,0.0,4.6352077731626196e-09
1817,1.2922049208441422e-07,0.0,9.341240669868967e-09
1818,7.748765362691756e-08,0.0,4.172412104708201e-08
1819,1.159317584153996e-07,0.0,3.8298885840504227e-08
1820,1.293446416639199e-07,7.119888678630559e-09,8.306536791735653e-09
1821,1.2622704836928733e-07,9.86148829262845e-10,1.3806083387635226e-08
1822,1.012587205195814e-07,0.0,1.2030739071633434e-08
1823,9.981514015322546e-08,0.0,1.4824030225568663e-08
1824,1.0694813035172501e-07,8.421112696055388e-10,2.3579115548955087e-08
1825,1.3032055790063168e-07,8.805443041381977e-10,1.4088708866211164e-08
1826,1.1274220312884609e-07,1.7615968683770689e-09,2.6423952803611428e-08
1827,1.723630104200069e-07,9.217273055917019e-10,2.949527377893446e-08
1828,1.1373653308055509e-07,1.8344602503717056e-09,1.8344602503717056e-09
1829,1.0459274868424018e-07,1.714635211591542e-09,2.1432940089383123e-08
1830,1.2315466069168224e-07,1.0436835840010872e-09,8.349468894053302e-09
1831,1.1693404822210596e-07,0.0,1.7150327380477393e-08
1832,1.6235963506971984e-07,6.764984572527055e-09,2.705993873419743e-09
1833,9.961920177659067e-08,2.3167257001688313e-09,6.950177322551099e-09
1834,1.0454674370663497e-07,9.334530925997342e-10,7.467624740797874e-09
1835,1.3613558280667348e-07,1.5126175867408165e-09,9.075705520444899e-09
1836,1.760836516595532e-07,6.720750067579218e-10,1.2769425516978572e-08
1837,1.1689256851354912e-07,6.957890930081589e-10,1.0436836284100082e-08
1838,1.1235648011975741e-07,1.2624323808552163e-09,1.4517972601879592e-08
1839,8.3897702118918e-08,1.3982950353153e-09,6.292327547896548e-09
1840,7.134051571711097e-08,6.369688665408546e-10,3.1848443882154243e-09
1841,1.2263247839428004e-07,6.420548537278137e-10,7.0626033910059505e-09
1842,1.1068637739697351e-07,0.0,1.0733224087289273e-08
1843,1.0927785254466471e-07,1.7720733214154905e-09,5.906910960362666e-09
1844,9.220782892782609e-08,5.488561272137815e-10,1.2074834687680891e-08
1845,7.92392356174787e-08,1.1160455892778032e-09,5.580227835366713e-09
1846,1.1591912318920095e-07,1.7563503984519002e-09,9.367202125076801e-09
1847,6.903326266183285e-08,0.0,9.707802561820245e-09
1848,8.688839781001434e-08,2.4135665133151463e-09,8.849743549088629e-09
1849,1.2485328149125507e-07,8.379414939696517e-10,1.5920888385423382e-08
1850,8.011015051323511e-08,2.0366988096043315e-09,4.073397619208663e-09
1851,7.029888315912558e-08,6.449438760824933e-10,1.2898877521649865e-09
1852,4.817803578305302e-08,0.0,6.510545436100301e-09
1853,9.49537124483868e-08,1.1943863675867306e-09,3.5831591027601917e-09
1854,9.040456294684418e-08,5.195664454227256e-10,6.754364012540037e-09
1855,8.597238121410555e-08,2.1227748447927297e-09,7.960405667972736e-09
1856,8.335274870319154e-08,2.0708756931497874e-09,1.2942972638096961e-08
1857,1.4156376426655015e-07,1.464452725752352e-09,3.90520732418409e-09
1858,9.34692154785921e-08,1.468102750479261e-09,4.893676130990343e-09
1859,7.587338313186365e-08,1.5276520048956854e-09,9.675129142294736e-09
1860,1.2083765721371265e-07,9.154367819341758e-10,7.323494255473406e-09
1861,1.1978547931335015e-07,4.715963730639317e-10,8.960331143725853e-09
1862,9.035972858839614e-08,3.614389038064658e-09,2.710791813242963e-09
1863,9.190102590039828e-08,1.9978483867255648e-09,5.494082799817335e-09
1864,8.486668523488561e-08,4.794727948009836e-10,6.233146554457392e-09
1865,9.413688850656854e-08,1.4120533631256649e-09,1.3179163982357522e-08
1866,8.855415600805827e-08,4.865612912574591e-10,1.702964580463373e-08
1867,1.0239432590708475e-07,9.7056229719783e-10,7.279217228983725e-09
1868,6.718228462432307e-08,1.975949626142892e-09,1.8277534152844055e-08
1869,1.1476270067589667e-07,9.767038289254515e-10,2.0510780629479086e-08
1870,9.231818687283067e-08,5.734048791339319e-10,1.77755516972411e-08
1871,9.346635820861593e-08,1.0621177271019633e-09,1.4869648179427486e-08
1872,9.131482592295015e-08,6.047339295989218e-10,9.675742540515841e-09
1873,1.1313548320401878e-07,1.1972008939764578e-09,9.57760748487857e-09
1874,7.348769237580655e-08,5.974609140757536e-10,1.613144390288923e-08
1875,9.211658635877029e-08,2.860763514966891e-09,1.4303817685856757e-08
1876,7.738899210352201e-08,6.04601479992084e-10,1.9951849061783378e-08
1877,1.0328642652268627e-07,1.8554447978047506e-09,3.0924081073635534e-09
1878,7.850814975896014e-08,1.2078177347163432e-09,1.69094480639842e-08
1879,8.614148949703804e-08,2.443730107160036e-09,7.94212251520321e-09
1880,5.840240246968165e-08,6.417846254436199e-10,1.2835692064783188e-08
1881,8.367009174392592e-08,6.972507571312292e-10,2.091752326904839e-09
1882,6.921600537168615e-08,6.655385131892899e-10,9.317538740560849e-09
1883,7.140853242049161e-08,2.5277355764075082e-09,0.0
1884,5.743476183539542e-08,0.0,5.941527270181268e-09
1885,8.057044853515549e-08,3.86738152613475e-09,5.156508553483263e-09
1886,8.71217644693445e-08,3.2267319372003556e-09,5.162771099520569e-09
1887,7.704131199659514e-08,0.0,0.0
1888,6.404021091199752e-08,0.0,0.0
1889,5.137412006916975e-08,1.8795410228200637e-09,3.759081934617825e-09
1890,3.998175790442815e-08,6.554386478008212e-10,5.898947996740844e-09
1891,7.521579981073501e-08,0.0,2.5496880162734215e-09
1892,5.57897612551983e-08,6.268512375839919e-10,3.1342561879199593e-09
1893,7.328515794213786e-08,3.0792083327568776e-09,6.158416554491453e-10
1894,7.372800814309244e-08,1.8904617871129403e-09,9.452308935564702e-09
1895,6.078800485198599e-08,1.2037228991346183e-09,1.2037228991346183e-09
1896,5.838058658724776e-08,2.358811590497112e-09,5.89702897624278e-10
1897,6.642453698191275e-08,0.0,0.0
1898,5.03593602374508e-08,1.6975064687230201e-09,1.13167097914868e-09
1899,5.5828543565894506e-08,0.0,6.633094074004475e-09
1900,6.125442553184257e-08,1.5573159428683425e-09,2.5955265714472375e-09
1901,4.079779380994353e-08,5.588738916095792e-10,1.1177477832191585e-09
1902,3.7809184783021976e-08,1.4730852093691738e-09,4.910283846193408e-10
1903,3.942160820002982e-08,5.400220270956879e-10,5.940242298052567e-09
