year,telles_ADJ âmes_NOUN,telles_ADJ ames_NOUN,telles_ADJ rames_NOUN
1800,3.144164484325529e-09,4.7162465932615305e-08,0.0
1801,0.0,1.6668277424969347e-08,0.0
1802,0.0,2.9091921760482364e-08,0.0
1803,7.801356893821776e-09,1.5602713787643552e-08,0.0
1804,2.4718509461507665e-09,9.887403784603066e-09,0.0
1805,0.0,8.528632911009026e-09,0.0
1806,0.0,8.645007376628655e-09,0.0
1807,0.0,1.1387820464392462e-08,0.0
1808,4.5321479902327155e-09,2.2660739062985158e-08,0.0
1809,0.0,6.7770917766551975e-09,0.0
1810,2.3401267590372754e-09,3.042164919975221e-08,0.0
1811,2.5070767684098882e-09,7.521229861140455e-09,0.0
1812,2.6672083208723052e-08,0.0,0.0
1813,0.0,2.8757416448144113e-09,0.0
1814,9.440030979135372e-09,1.2586708564299443e-08,0.0
1815,2.966945977789237e-08,2.6972236000233352e-08,0.0
1816,0.0,2.3176038865813098e-09,0.0
1817,6.227493631882908e-09,4.981994905506326e-08,0.0
1818,3.5763532135746345e-09,8.225612191381515e-08,0.0
1819,2.794783426907088e-08,7.24573512300708e-09,0.0
1820,4.746592452420373e-09,2.966620371580575e-08,0.0
1821,5.9168927535324656e-09,3.747365440176509e-08,0.0
1822,1.4035862250239006e-08,1.804610860745015e-08,0.0
1823,1.087095569118901e-08,3.4589405117912975e-08,0.0
1824,2.6105450245950124e-08,1.0947446504872005e-08,0.0
1825,1.3208164340028361e-08,7.924898959288385e-09,0.0
1826,1.9377566218281572e-08,1.4092774947016551e-08,0.0
1827,1.3825909306319772e-08,2.027800150017356e-08,0.0
1828,2.2013523448549677e-08,1.834460228167245e-08,0.0
1829,2.571952872898464e-09,5.143905745796928e-09,0.0
1830,3.5485243188304594e-08,1.3567886369969528e-08,0.0
1831,1.5591206548037917e-08,2.494592976631793e-08,0.0
1832,2.0294953273491956e-08,8.117981842303834e-09,0.0
1833,5.791814139399776e-09,1.1583628500844156e-08,0.0
1834,9.334531370086552e-09,1.0267983796552471e-08,0.0
1835,2.949604294144592e-08,4.4622218808854086e-08,0.0
1836,3.2259599436201825e-08,7.66165517696038e-08,0.0
1837,2.5744196108234974e-08,1.6698937344017395e-08,0.0
1838,1.5149188570262595e-08,1.7674054220151447e-08,0.0
1839,2.7965899818127582e-08,1.8177835681143506e-08,0.0
1840,3.184844388215424e-08,6.369688498875092e-09,0.0
1841,2.8892468861840825e-08,1.2841097074556274e-09,0.0
1842,3.085801836277824e-08,1.341653010911159e-08,0.0
1843,2.0674189471492355e-08,5.316219964246471e-09,0.0
1844,2.8540519281250454e-08,1.2074834465636286e-08,0.0
1845,6.082448322786149e-08,2.2320911785556063e-09,0.0
1846,2.2832555401919308e-08,8.196302303531411e-09,5.854501328173001e-10
1847,1.833696039454935e-08,1.0786447290911383e-09,0.0
1848,1.769948809737798e-08,1.769948809737798e-08,0.0
1849,2.513824526317876e-08,1.0893239199560867e-08,0.0
1850,1.9009188889640427e-08,1.0183494048021657e-08,0.0
1851,2.644269869733762e-08,6.449438760824933e-09,0.0
1852,2.408901877970493e-08,4.557382027314816e-09,6.510545436100301e-10
1853,6.688563303214323e-08,7.1663179834757784e-09,0.0
1854,4.416314780542052e-08,2.286092382064453e-08,0.0
1855,3.767925349507095e-08,7.429711956774554e-09,0.0
1856,7.248065259091163e-08,6.730345780692204e-09,0.0
1857,6.297146626366157e-08,3.4170564155999728e-09,0.0
1858,4.061751113226819e-08,7.829881520926563e-09,0.0
1859,4.1755821911237945e-08,1.018434669930457e-08,0.0
1860,6.224970405810382e-08,2.7463103458025273e-09,0.0
1861,7.356903353183952e-08,5.659156365744877e-09,0.0
1862,6.189641510445654e-08,6.325180934574348e-09,0.0
1863,6.093437576737415e-08,1.9978483312144135e-09,0.0
1864,6.13725177345259e-08,3.739887965981126e-08,0.0
1865,6.919061235066692e-08,5.17752879458655e-09,0.0
1866,4.4277076227672296e-08,5.352174259343201e-09,0.0
1867,6.017486242626546e-08,2.91168689159349e-09,0.0
1868,5.680855252876427e-08,4.445886658821507e-09,0.0
