year,aux_ADP aides_NOUN,aux_ADP raids_NOUN
1800,1.603523891446912e-07,0.0
1801,1.4048977448055666e-07,0.0
1802,1.3874608839614666e-07,0.0
1803,1.7553053055507917e-07,0.0
1804,1.1864884319479074e-07,0.0
1805,7.107194099909009e-08,0.0
1806,5.187004337159351e-08,0.0
1807,1.9359295322374237e-07,0.0
1808,1.2010192129707775e-07,0.0
1809,1.0843346398559106e-07,0.0
1810,1.1232608132516475e-07,0.0
1811,1.2033968488367464e-07,0.0
1812,2.000406196245308e-07,0.0
1813,1.9555043628827207e-07,0.0
1814,3.115210227555565e-07,0.0
1815,1.7801675666895278e-07,0.0
1816,1.0892737911660788e-07,0.0
1817,1.401186097149676e-07,0.0
1818,1.978915480371768e-07,0.0
1819,7.763287190876156e-08,0.0
1820,1.269713489904234e-07,0.0
1821,9.861488492468595e-08,0.0
1822,7.519211919770896e-08,0.0
1823,1.4231069411785313e-07,0.0
1824,1.0021123841852386e-07,0.0
1825,8.629334047327575e-08,0.0
1826,1.7175569666516566e-07,0.0
1827,1.594588292519461e-07,0.0
1828,2.4765213402222486e-07,0.0
1829,9.344762086360703e-08,0.0
1830,2.4213458860167236e-07,0.0
1831,1.4187997576797784e-07,0.0
1832,9.335679018729337e-08,1.3529969367098715e-09
1833,1.1236119856761206e-07,0.0
1834,2.2496219109768845e-07,0.0
1835,2.01934447829899e-07,0.0
1836,1.1425274903942295e-07,0.0
1837,1.071515214334795e-07,0.0
1838,1.6727229557034207e-07,0.0
1839,1.9296471576168983e-07,0.0
1840,1.2548286010272136e-07,0.0
1841,1.791333077427737e-07,0.0
1842,1.8514811461756153e-07,0.0
1843,2.203277849055496e-07,0.0
1844,1.8551336578020994e-07,0.0
1845,1.5010813309013216e-07,0.0
1846,1.9729669054058263e-07,0.0
1847,1.8660553458005325e-07,0.0
1848,3.885841985962202e-07,0.0
1849,2.0529566002736033e-07,0.0
1850,1.4324782071639675e-07,0.0
1851,1.2447417097050106e-07,6.449438760824933e-10
1852,1.8099315801656246e-07,0.0
1853,1.8990743333446858e-07,0.0
1854,1.0287415941334643e-07,0.0
1855,1.401031326508928e-07,0.0
1856,1.630814647768375e-07,0.0
1857,1.0495244273656112e-07,0.0
1858,1.3408672794312793e-07,4.893676019968041e-10
1859,6.370308929248836e-07,0.0
1860,2.0734642913744494e-07,0.0
1861,1.1742749705945243e-07,0.0
1862,1.4728635089333864e-07,0.0
1863,2.472337377601441e-07,0.0
1864,1.5486971660649829e-07,0.0
1865,2.0568910441554067e-07,0.0
1866,9.633913333750854e-08,1.4596839292835284e-09
1867,1.5820165089053262e-07,4.85281148598915e-10
1868,2.277281975215928e-07,0.0
1869,1.4601722142515428e-07,0.0
1870,2.075725644701265e-07,1.1468097582678638e-09
1871,1.678146048789131e-07,0.0
1872,1.0582844067741348e-07,0.0
1873,1.658123309766779e-07,5.986004469882289e-10
1874,1.451830069498783e-07,0.0
1875,1.9910913806597819e-07,2.2886108563824337e-09
1876,1.48731970073257e-07,0.0
1877,1.966771456807237e-07,6.184815992682502e-10
1878,3.4241631441389586e-07,1.2078177347163432e-09
1879,3.5189714386874016e-07,6.10932526790009e-10
