year,voulons_VERB ouvrir_VERB,voulons_VERB rouvrir_VERB
1800,0.0,0.0
1801,1.1905912700171939e-08,0.0
1802,4.475680270843441e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,9.064295980465431e-09,0.0
1809,1.129515236897305e-08,0.0
1810,2.3401266702194334e-08,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.0130190847567064e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,9.270415546325239e-09,0.0
1817,9.341240669868967e-09,0.0
1818,3.5763532135746345e-09,0.0
1819,1.0351049795076506e-08,0.0
1820,7.119888678630559e-09,0.0
1821,1.2819934447350079e-08,0.0
1822,9.023054303725075e-09,0.0
1823,5.929612356680991e-09,0.0
1824,1.0947446504872005e-08,0.0
1825,1.1447076175841175e-08,0.0
1826,5.284790383086602e-09,0.0
1827,3.6869092223668076e-09,0.0
1828,1.0089530988466322e-08,0.0
1829,4.286587973467704e-09,0.0
1830,1.0436835395921662e-08,0.0
1831,6.236482441579483e-09,0.0
1832,4.058990921151917e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,3.733812370398937e-09,0.0
1835,7.563087933704082e-09,0.0
1836,6.720750067579218e-10,2.016224964762614e-09
1837,1.3915781860163179e-09,0.0
1838,6.312161904276081e-09,0.0
1839,6.9914751765765e-10,0.0
1840,3.1848443882154243e-09,0.0
1841,8.346713542550788e-09,0.0
1842,6.708265054555795e-09,0.0
1843,5.906910960362666e-09,0.0
1844,4.9397050894128824e-09,0.0
1845,1.897277535078956e-08,0.0
1846,4.6836010625384006e-09,0.0
1847,7.550513103637968e-09,0.0
1848,8.045221711050488e-10,0.0
1849,5.02764896381791e-09,0.0
1850,1.6972489191857676e-08,0.0
1851,9.029214709244116e-09,0.0
1852,1.9531636308300904e-09,0.0
1853,3.5831591027601917e-09,0.0
1854,8.313063126763609e-09,0.0
1855,9.552486801567284e-09,0.0
1856,1.501384794266869e-08,0.0
1857,6.345961978126979e-09,0.0
1858,5.872411001917044e-09,0.0
1859,6.619825576592575e-09,0.0
1860,2.746310290291376e-09,0.0
1861,1.0846716413936974e-08,0.0
1862,4.9697850279528666e-09,0.0
1863,3.496234635136375e-09,0.0
1864,2.3973640850272204e-09,0.0
1865,1.97687466396701e-08,0.0
1866,1.216403244796993e-08,0.0
1867,1.3102591012170706e-08,0.0
1868,6.915823469455518e-09,0.0
1869,1.0743741896135361e-08,3.4184632902167778e-09
1870,8.601073631098188e-09,0.0
1871,2.1242354542039266e-09,0.0
1872,7.861540751719076e-09,0.0
1873,5.9860045809045914e-09,0.0
1874,5.377148060148329e-09,0.0
1875,0.0,0.0
1876,1.209202959984168e-09,0.0
1877,3.030559980743419e-08,0.0
1878,9.058632954861423e-09,0.0
1879,1.1607718342077078e-08,0.0
1880,7.059631101924424e-09,0.0
1881,3.4862537301449947e-09,0.0
1882,5.989846840748214e-09,0.0
1883,6.951272890631799e-09,0.0
1884,7.2618666635548834e-09,0.0
1885,1.0313017106966527e-08,0.0
1886,3.2267319927115068e-09,0.0
1887,9.140494583448344e-09,0.0
1888,1.014498351992188e-08,0.0
1889,6.891650361495749e-09,0.0
1890,6.554386366985909e-09,0.0
1891,1.211101796627645e-08,6.374220040683554e-10
1892,7.522214851007902e-09,1.8805537127519756e-09
1893,9.23762488724833e-09,0.0
1894,7.561847148451761e-09,0.0
1895,4.814891596538473e-09,0.0
1896,4.1279202278587945e-09,1.179405795248556e-09
1897,1.7480140002135158e-08,0.0
1898,6.224190496340043e-09,0.0
1899,1.492446166651007e-08,0.0
1900,9.863001082521805e-09,0.0
1901,3.912117296778206e-09,0.0
1902,7.365425602756659e-09,0.0
1903,1.4580594509538969e-08,0.0
1904,6.987012746151322e-09,0.0
1905,8.257214467732865e-09,0.0
1906,5.144184633820714e-09,0.0
1907,1.131425531042396e-08,0.0
1908,6.875944702500192e-09,0.0
1909,5.5009836685826485e-09,0.0
1910,1.1222716089775986e-08,0.0
1911,3.1922244847493175e-09,0.0
1912,6.251305251225858e-09,5.209421227725386e-10
1913,9.015082902408267e-09,5.30298971401777e-10
1914,6.696743604095445e-09,0.0
1915,1.295883844676382e-08,0.0
1916,9.888715624128963e-09,0.0
1917,1.5352993543160665e-08,0.0
1918,3.44591288836682e-09,0.0
1919,9.207848372660976e-10,0.0
1920,4.543339038320937e-09,0.0
1921,1.1359120755116692e-08,0.0
1922,1.4755870969551665e-09,0.0
1923,4.246379248229459e-09,0.0
1924,9.02413699321869e-09,0.0
1925,4.399271169575059e-09,0.0
1926,0.0,0.0
1927,4.4596899506643695e-09,0.0
1928,2.2852082448565625e-09,0.0
1929,4.4561625500705304e-09,0.0
