year,mêmes_ADJ ondes_NOUN,mêmes_ADJ rondes_NOUN
1800,1.2576657937302116e-08,0.0
1801,1.904946067554647e-08,0.0
1802,0.0,0.0
1803,7.801356893821776e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,1.1921177378582115e-09,0.0
1819,0.0,0.0
1820,1.1866481131050932e-09,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,1.9765373782121287e-09,0.0
1824,0.0,0.0
1825,1.7610886082763955e-09,0.0
1826,3.5231937367541377e-09,0.0
1827,2.3043183361437514e-08,0.0
1828,9.172301251858528e-10,0.0
1829,7.715858174606183e-09,0.0
1830,3.1310507520032616e-09,0.0
1831,3.897801548191637e-08,0.0
1832,0.0,0.0
1833,1.1583628500844156e-09,0.0
1834,0.0,0.0
1835,6.050470346963266e-09,0.0
1836,6.72075017860152e-09,0.0
1837,6.262101948095733e-09,0.0
1838,6.312161904276081e-09,0.0
1839,6.9914749545318955e-09,0.0
1840,3.184844388215424e-08,0.0
1841,1.0914932957462042e-08,0.0
1842,1.609983613093391e-08,0.0
1843,6.497602011990011e-09,0.0
1844,5.488561161115513e-09,0.0
1845,1.4508592549589139e-08,0.0
1846,4.0981511517657054e-09,0.0
1847,1.9954928376364478e-08,0.0
1848,4.82713291560799e-09,0.0
1849,1.4245005175439474e-08,0.0
1850,2.7155984128057753e-08,0.0
1851,1.2898877521649865e-08,0.0
1852,5.208436348880241e-09,0.0
1853,1.3735443005202796e-08,0.0
1854,1.4028294081924741e-08,1.0391328908454511e-09
1855,1.1675261646360013e-08,0.0
1856,1.1907535402144731e-08,0.0
1857,1.9526036343364694e-09,0.0
1858,7.34051397444091e-09,0.0
1859,1.1202780925145817e-08,0.0
1860,9.612086238064421e-09,0.0
1861,6.13075279431996e-09,0.0
1862,4.9697850279528666e-09,0.0
1863,4.994620717013731e-09,0.0
1864,4.315255264231155e-09,0.0
1865,5.6482134525026595e-09,0.0
1866,2.3354942868536455e-08,0.0
1867,1.1161466417775046e-08,0.0
1868,1.8277534152844055e-08,0.0
1869,2.0510780629479086e-08,0.0
1870,6.880858549607183e-09,0.0
1871,1.0621177271019633e-09,0.0
1872,2.4189357183956872e-09,0.0
1873,6.584604861359367e-09,0.0
1874,6.572069999322139e-09,0.0
1875,5.149374260327022e-09,0.0
1876,4.836811839936672e-09,0.0
1877,1.0514186854493346e-08,0.0
1878,4.22736201599605e-09,0.0
1879,1.4662380642960215e-08,0.0
1880,1.2835692508872398e-08,0.0
1881,1.1156012114099667e-08,0.0
1882,8.652000893505374e-09,5.989846840748214e-09
1883,3.159669414998234e-09,1.2638677882037541e-09
1884,3.9610181801208455e-09,0.0
1885,5.156508553483263e-09,0.0
1886,8.38950331427668e-09,0.0
1887,2.6115698492645834e-09,0.0
1888,6.340614699951175e-09,0.0
1889,6.265136853755848e-09,1.2530273485467092e-09
1890,1.4419650362640368e-08,0.0
1891,1.1473596295275001e-08,0.0
1892,1.191017329205124e-08,0.0
1893,1.6627724974682678e-08,0.0
1894,1.2603078580752936e-09,0.0
1895,1.0833506536300774e-08,0.0
1896,5.89702897624278e-10,0.0
1897,2.330685422435863e-09,0.0
1898,6.7900258748920805e-09,1.13167097914868e-09
1899,1.1055156790007459e-08,2.7637891975018647e-09
1900,7.26747462209687e-09,0.0
1901,1.5089595351014395e-08,0.0
1902,1.4730851205513318e-08,0.0
1903,1.7280704867062013e-08,0.0
1904,6.987012746151322e-09,2.1498500757388683e-09
1905,5.676835002077496e-09,0.0
1906,1.6461390472954918e-08,0.0
1907,1.2342823652033985e-08,0.0
1908,1.0313916831705683e-08,0.0
1909,7.701377313651392e-09,0.0
1910,1.8170112525695004e-08,0.0
1911,2.553779587799454e-08,0.0
1912,1.82329742415277e-08,0.0
1913,1.9090762748419365e-08,0.0
1914,8.036092680185902e-09,0.0
1915,9.424609537234119e-09,0.0
1916,1.2086208478478966e-08,0.0
1917,0.0,0.0
1918,4.594550517822427e-09,0.0
1919,2.2098836538475553e-08,0.0
1920,1.741613253614105e-08,0.0
1921,1.6660044011018726e-08,0.0
1922,1.2542490601674672e-08,0.0
1923,8.492758496458919e-09,0.0
1924,2.836157442231979e-08,2.578324886925998e-09
1925,1.9796720707176974e-08,0.0
1926,1.4489979882625903e-08,0.0
1927,2.7873062080630007e-08,0.0
1928,1.7139061725401916e-08,1.1426041224282812e-09
1929,1.1140405931087116e-08,1.1140406375176326e-09
1930,2.4158287814657342e-08,0.0
1931,1.710803587684495e-08,0.0
1932,2.082311922890767e-08,0.0
1933,3.211785326584504e-08,0.0
1934,1.5576054224197833e-08,2.3963160344919743e-09
1935,2.752705441366743e-08,0.0
1936,2.66743711563322e-08,0.0
1937,5.162358363008934e-08,0.0
1938,2.074434313215079e-08,0.0
1939,9.176430282309411e-09,0.0
1940,1.7750480196809804e-08,0.0
1941,3.836953510472085e-08,0.0
1942,9.102635090130207e-09,0.0
1943,8.709705845433291e-09,0.0
