year,grand_ADJ os_NOUN,grand_ADJ gosse_NOUN
1800,1.5720821977538435e-07,0.0
1801,3.309843918941624e-07,0.0
1802,6.937304419807333e-08,0.0
1803,4.914854798698798e-07,0.0
1804,2.8920655514852456e-07,0.0
1805,9.55206928665575e-07,0.0
1806,1.3832011802605848e-07,0.0
1807,7.402083657126468e-08,0.0
1808,7.251436784372345e-08,0.0
1809,1.0165637576164954e-07,0.0
1810,1.4040760731859336e-07,0.0
1811,2.0056614147279106e-08,0.0
1812,6.721364851358658e-07,0.0
1813,3.4796474324139126e-07,0.0
1814,2.2026739543434815e-08,0.0
1815,1.2407228666688752e-07,0.0
1816,7.184571693130692e-08,0.0
1817,5.916118794857539e-08,0.0
1818,1.4424624339426373e-07,0.0
1819,2.0391568966715568e-07,0.0
1820,3.085285271708926e-08,0.0
1821,2.3864802756179415e-07,0.0
1822,4.130553747927479e-07,0.0
1823,2.0951296164639643e-07,0.0
1824,1.1284290657442853e-07,0.0
1825,5.274460121995617e-07,0.0
1826,1.3916614705067332e-07,0.0
1827,1.3365045958835253e-07,0.0
1828,1.8252878908331382e-07,0.0
1829,2.520513698311966e-07,0.0
1830,5.0096812032052185e-08,0.0
1831,1.1849316705614399e-07,0.0
1832,1.5965363786563103e-07,0.0
1833,1.2857828224355217e-07,0.0
1834,5.012643287116703e-07,0.0
1835,4.946259721805291e-07,0.0
1836,3.2797260018924135e-07,0.0
1837,3.179756049576099e-07,0.0
1838,2.0198918271319144e-07,0.0
1839,1.3982950974877895e-07,0.0
1840,1.2166105561872698e-07,0.0
1841,1.0401288363937056e-07,0.0
1842,8.049917710195587e-08,0.0
1843,2.539971799553342e-07,0.0
1844,9.604981887623154e-08,0.0
1845,1.2276501637487058e-07,0.0
1846,2.1837290620219107e-07,0.0
1847,8.089835201730011e-08,0.0
1848,6.597081725345788e-08,0.0
1849,7.29009101974043e-08,0.0
1850,9.911933940287554e-08,0.0
1851,1.30923609731326e-07,0.0
1852,1.1133032673527055e-07,0.0
1853,2.3111376212803236e-07,0.0
1854,1.1794158183420222e-07,0.0
1855,1.6292296223241465e-07,0.0
1856,7.092749471082627e-08,0.0
1857,6.98055828696198e-08,0.0
1858,1.0276719297763748e-07,0.0
1859,4.277425613707919e-08,0.0
1860,8.925508865331722e-08,0.0
1861,8.205776680370036e-08,0.0
1862,7.725756767662517e-08,0.0
1863,5.194405616748554e-08,0.0
1864,1.3185501757106977e-07,0.0
1865,7.389745904085032e-08,0.0
1866,1.576458608099074e-07,0.0
1867,3.450348984301854e-07,0.0
1868,1.8129337320260674e-07,0.0
1869,1.4113370827573135e-07,0.0
1870,1.6743422648346495e-07,0.0
1871,4.0041839599602724e-07,0.0
1872,4.051717183983783e-08,0.0
1873,2.633841951205085e-07,0.0
1874,1.7087382664371376e-07,0.0
1875,1.3617234156937386e-07,0.0
1876,1.0943286432585353e-07,0.0
1877,1.6204218233895062e-07,0.0
1878,7.126124823564339e-08,0.0
1879,1.124115871498077e-07,0.0
1880,1.0717803289317374e-07,0.0
1881,1.4990890839783333e-07,0.0
1882,2.1297231711514542e-07,0.0
1883,6.572112154490384e-08,0.0
1884,2.7529075374843615e-07,0.0
1885,8.572695631148264e-08,0.0
1886,1.1745304195898143e-07,0.0
1887,3.7214870074464557e-08,1.9586774424595887e-09
1888,1.794393895693247e-07,0.0
1889,6.515742123625046e-08,0.0
1890,9.766036068725725e-08,0.0
1891,8.860166067492514e-08,0.0
1892,5.077495024430334e-08,0.0
1893,1.1393070353804546e-07,0.0
1894,2.1551264595132125e-07,0.0
1895,1.0051086341000826e-07,6.018614495673091e-10
1896,9.14039496868746e-08,1.179405795248556e-09
1897,1.3110105856473098e-07,5.826713556089658e-10
1898,1.1599627591785122e-07,0.0
1899,1.1773741981357944e-07,0.0
