year,sauvant_VERB en_ADP,sauvant_VERB sans_ADP
1800,6.288328791015374e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,3.1205427575287104e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,3.1271653710973624e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,0.0,0.0
1809,9.036122072814123e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,0.0,0.0
1812,1.3336041604361526e-08,0.0
1813,5.751483289628823e-09,0.0
1814,4.72001566720337e-08,0.0
1815,4.045835311217161e-08,0.0
1816,3.244645441213834e-08,0.0
1817,2.6466848268569265e-08,0.0
1818,9.536941902865692e-09,0.0
1819,8.280840013696888e-09,0.0
1820,1.0679833017945839e-08,0.0
1821,5.9168927535324656e-09,0.0
1822,9.023054303725075e-09,0.0
1823,2.075364236020505e-08,2.569498569471307e-08
1824,1.6842225392110777e-08,0.0
1825,8.805443485471187e-09,0.0
1826,1.9377566218281572e-08,0.0
1827,5.530363722527909e-09,0.0
1828,1.3758452155343548e-08,0.0
1829,2.914879893012312e-08,0.0
1830,1.982998831806526e-08,0.0
1831,1.091384405071949e-08,1.5591206103948707e-09
1832,6.764984572527055e-09,0.0
1833,1.0425265983826648e-08,0.0
1834,2.8003592333902816e-08,0.0
1835,1.1344631900556124e-08,0.0
1836,6.048674894287842e-09,4.032449929525228e-09
1837,3.061472142462662e-08,0.0
1838,1.3255539776935166e-08,5.049729523420865e-09
1839,6.292327547896548e-09,1.3982950353153e-09
1840,7.64362617644565e-09,0.0
1841,1.8619591202195807e-08,6.420548537278137e-10
1842,2.683306021822318e-08,0.0
1843,1.063243981747064e-08,0.0
1844,1.5916826967554698e-08,0.0
1845,1.0044410636567136e-08,2.2320911785556063e-09
1846,7.025401593807601e-09,0.0
1847,1.0786447290911383e-08,1.0786447290911383e-09
1848,1.126331028444838e-08,0.0
1849,2.513824481908955e-09,0.0
1850,2.647708541303473e-08,2.0366988096043315e-09
1851,1.4188765717904062e-08,5.8044946626978344e-09
1852,1.3021090872200602e-08,0.0
1853,8.360704129017904e-09,5.971931837933653e-10
1854,7.27393034694046e-09,3.117398783558656e-09
1855,1.2205955357558196e-08,0.0
1856,2.847454005916461e-08,0.0
1857,3.4170564155999728e-09,3.905207268672939e-09
1858,2.936205500958522e-09,4.893676019968041e-10
1859,1.9350258284589472e-08,2.036869339860914e-09
1860,9.612086238064421e-09,2.746310290291376e-09
1861,1.3204698667834691e-08,9.431927461278633e-10
1862,4.517986429419807e-09,4.066187830886747e-09
1863,1.3485475847119233e-08,0.0
1864,5.753673537611803e-09,4.794727948009836e-10
1865,6.118897832863013e-09,4.706844358715045e-10
1866,8.75810357570117e-09,9.731225825149181e-10
1867,1.164674756637396e-08,0.0
1868,2.9639244392143382e-09,9.87974813071446e-10
1869,1.8069020057964735e-08,0.0
1870,1.2614907340946502e-08,5.734048791339319e-10
1871,1.4869648623516696e-08,1.0621177271019633e-09
1872,9.675742873582749e-09,1.2094678591978436e-09
1873,4.788803575905831e-09,0.0
1874,1.1351757756017378e-08,0.0
1875,2.460256709468922e-08,5.721527140956084e-10
1876,1.269663130187837e-08,6.04601479992084e-10
1877,1.4843558382438005e-08,0.0
1878,2.536417298415472e-08,1.2078177347163432e-09
1879,1.2829582729523281e-08,1.221865053580018e-09
1880,4.492492600149944e-09,6.417846254436199e-09
1881,1.673401861523871e-08,6.972507571312292e-10
1882,7.986462158271479e-09,0.0
1883,5.0554711528150165e-09,6.319338941018771e-10
1884,5.941527270181268e-09,6.601696966868076e-10
1885,9.66845359329227e-09,6.445635691854079e-10
1886,1.2906927970846027e-08,3.872078213618124e-09
1887,3.9173548849191775e-09,1.9586774424595887e-09
1888,8.242799331981132e-09,1.268122939990235e-09
1889,6.891650361495749e-09,6.265136742733546e-10
1890,6.554386478008212e-10,3.2771931834929546e-09
1891,3.824531802365527e-09,2.5496880162734215e-09
1892,3.1342561879199593e-09,0.0
1893,3.695050043717174e-09,0.0
1894,5.671385139294216e-09,5.041231432301174e-09
1895,7.22233739480771e-09,1.2037228991346183e-09
1896,5.307326134129653e-09,0.0
1897,4.661370844871726e-09,0.0
1898,2.26334195829736e-09,1.0750873968845553e-08
1899,8.844125432005967e-09,4.4220627160029835e-09
1900,3.114631885736685e-09,0.0
1901,6.147612641171918e-09,5.588738916095792e-10
1902,9.820567470342212e-09,2.455141867585553e-09
1903,2.7001101354784396e-09,0.0
1904,6.987012746151322e-09,1.0749250378694342e-09
1905,4.64468330463319e-09,5.160759042333041e-10
1906,2.0576738091193647e-09,0.0
1907,3.599990305858114e-09,0.0
1908,9.822778146428846e-09,4.911389073214423e-10
1909,3.300590023513905e-09,5.5009836685826485e-09
1910,6.412980813053082e-09,0.0
1911,1.0640748726586935e-08,2.6601871816467337e-09
1912,8.335073964360618e-09,0.0
1913,1.3787773589513108e-08,3.181793939432964e-09
1914,6.696743604095445e-09,4.68772043404897e-09
1915,4.712304768617059e-09,0.0
1916,2.197492410260793e-09,0.0
1917,1.5352993543160665e-08,0.0
1918,2.6418664589300533e-08,3.44591288836682e-09
1919,9.207848372660976e-10,9.207848372660976e-10
1920,6.057785384427916e-09,0.0
1921,7.572747762196741e-09,0.0
1922,1.1066902949607993e-08,7.377935484775833e-10
1923,1.1677542488541803e-08,0.0
1924,3.867487219366694e-09,0.0
1925,1.2097995494286806e-08,1.0998177923937646e-09
1926,5.57306911730393e-09,0.0
1927,1.1149224654616319e-08,0.0
1928,4.570416489713125e-09,0.0
1929,8.912325100141061e-09,5.570202965543558e-09
1930,1.05036033204442e-08,1.0503603542488804e-09
1931,1.1405356659111021e-08,0.0
1932,7.6716757391182e-09,0.0
1933,6.882397318719313e-09,0.0
1934,1.0783422155213884e-08,0.0
1935,3.590485242455088e-09,2.393656828303392e-09
1936,8.487299751891442e-09,1.2124714565686645e-09
1937,1.3850230295986421e-08,0.0
1938,7.779128452511941e-09,1.2965214457594243e-09
1939,2.141167065872196e-08,1.5294050470515685e-09
1940,1.7750480196809804e-08,0.0
1941,0.0,0.0
1942,3.034211770724937e-09,0.0
1943,0.0,0.0
1944,6.4263723231761105e-09,0.0
1945,6.535512131478072e-09,0.0
1946,9.744772988540262e-09,0.0
1947,1.3112957830685446e-08,1.1920870957027319e-09
1948,4.348755133776194e-09,0.0
1949,1.3743811422273211e-08,0.0
1950,7.444753258312176e-09,0.0
1951,9.595261474260042e-09,2.1322803522849654e-09
1952,3.1634410646574906e-09,0.0
1953,3.232148326759443e-09,0.0
1954,4.886268278880834e-09,9.772536113672459e-10
1955,6.569925492527773e-09,0.0
1956,5.232684952005684e-09,0.0
1957,5.301022731885041e-09,8.835037701437898e-10
1958,8.272243445794913e-10,3.3088973783179654e-09
1959,2.325224457422337e-09,7.750747821333448e-10
1960,8.305000243069571e-09,1.3841666701708277e-09
1961,9.03260666262895e-09,6.948159270159238e-10
1962,1.0147130247162295e-08,1.9025869768540815e-09
1963,1.6165133231993423e-08,6.466053248388448e-10
1964,6.6923653285755336e-09,6.083968329129164e-10
1965,1.1491291473930687e-08,5.472043373977442e-10
1966,4.985167390003653e-09,0.0
1967,4.930335695263466e-09,4.930335584241163e-10
1968,8.533690198930799e-09,1.7965663401398047e-09
1969,4.087581828571274e-09,9.083515606356229e-10
1970,5.518470125309705e-09,0.0
1971,1.0276794970565106e-09,0.0
1972,1.5390440033513642e-09,1.0260293725750103e-09
1973,3.859242703185828e-09,5.513203782392395e-10
1974,5.625571564138454e-09,2.812785782069227e-09
1975,5.140332159925265e-09,2.2845920710778955e-09
1976,6.8562320265641574e-09,3.9994687561772935e-09
1977,3.526069214387917e-09,1.1753563677885381e-09
1978,7.128709622605811e-09,0.0
1979,4.096381456264453e-09,5.851973350345929e-10
1980,7.390696055153967e-09,1.1370301367108482e-09
1981,4.427884725544118e-09,0.0
1982,9.932003663948308e-09,6.207502289967692e-10
1983,5.052252838311233e-09,6.315316047889041e-10
1984,3.479405208395292e-09,0.0
1985,6.015557829641693e-09,0.0
1986,3.5966913891627428e-09,0.0
1987,3.0554083707556856e-09,1.8332451112712533e-09
1988,7.195864348830128e-09,1.1993107618124554e-09
1989,6.036934507847036e-09,1.6464366536794728e-09
1990,2.179460389939436e-09,0.0
1991,8.20605094986604e-09,5.861465202094962e-10
1992,2.2039776670368383e-09,1.1019888335184191e-09
1993,8.862731881720265e-09,2.2156829704300662e-09
1994,1.5824779264761446e-09,5.274926606624319e-10
1995,5.4224509327127635e-09,5.422450821690461e-10
1996,2.6690460952494277e-09,5.338092190498855e-10
1997,2.3974471297094624e-09,1.438468344439059e-09
1998,2.86087753487152e-09,4.768129224785866e-10
1999,4.113180906983871e-09,0.0
2000,5.3016377954406835e-09,1.3254094488601709e-09
2001,4.381211837767296e-09,4.3812117822561447e-10
2002,7.448076377869484e-09,4.38122149670761e-10
2003,2.5001538617175356e-09,2.083461403401543e-09
2004,5.285749615779878e-09,1.3214374039449694e-09
2005,1.3511248786457486e-09,4.5037495954858286e-10
2006,9.882935358973555e-09,4.1178899179428186e-10
2007,3.1955835755326234e-09,3.1955835755326234e-09
2008,3.405951742863067e-09,1.7029758714315335e-09
2009,1.907277002999308e-09,3.337734755248789e-09
2010,3.3066551718974324e-09,2.3618964561933353e-09
2011,3.059177577924288e-09,1.1471915639660324e-09
2012,6.468080293586809e-09,3.744677901096338e-09
2013,6.693900100884775e-09,2.7891249310130206e-09
2014,4.330890313042346e-09,5.197068553286499e-09
2015,6.64972610309178e-09,3.546520632724537e-09
2016,6.214019965256057e-09,2.899876117012923e-09
2017,4.779661555431858e-09,1.0062445321423752e-09
2018,5.421080029321956e-09,2.8396134332808742e-09
2019,9.94885240857002e-09,4.846876677788714e-09
