year,mourant_VERB en_ADP,mourant_VERB sans_ADP
1800,6.602745239447927e-08,1.8864987794131594e-08
1801,4.0480102825313224e-08,6.905429472681135e-08
1802,6.713520406265161e-08,5.147032311469957e-08
1803,6.046051481689574e-08,7.216255148989603e-08
1804,1.9774807569206132e-08,2.2246657849223084e-08
1805,5.970043304159844e-08,4.8328921309348516e-08
1806,1.0085842205853623e-07,4.034336598124355e-08
1807,1.7081731584767113e-08,4.555128185756985e-08
1808,1.1330369531492579e-08,4.985362878073829e-08
1809,3.388545621874073e-08,4.743963999409573e-08
1810,2.8081521108447305e-08,5.3822916346035754e-08
1811,9.526891631139733e-08,9.27618373225414e-08
1812,3.7340914360584065e-08,7.734903562095496e-08
1813,1.4378708002027452e-08,2.8757417114277928e-08
1814,3.1466771410748606e-09,2.8320092937406116e-08
1815,5.3944472000466703e-08,2.6972236000233352e-08
1816,7.648093003354006e-08,3.244645441213834e-08
1817,2.6466848268569265e-08,5.29336952048709e-08
1818,9.536941902865692e-09,5.48374146092101e-08
1819,6.417651121637391e-08,9.833497394140522e-08
1820,2.966620193944891e-08,5.458581409101271e-08
1821,2.2681422962023134e-08,7.100271659510327e-08
1822,8.72228582693424e-08,1.0526896687679255e-07
1823,3.2612866740500124e-08,5.336650943377208e-08
1824,5.4737231636181605e-08,6.568468080558887e-08
1825,7.220463649204589e-08,9.157660629810493e-08
1826,4.4039921931471326e-08,9.68878284268726e-08
1827,3.410391025138182e-08,6.544263564389752e-08
1828,4.1275356466030644e-08,7.796455747666187e-08
1829,3.3435387791769244e-08,6.858540757548326e-08
1830,1.5133412034629146e-07,5.114049628218709e-08
1831,2.182768810143898e-08,6.860130952190957e-08
1832,3.3824925083081325e-08,7.306183391619925e-08
1833,2.6642345218874652e-08,6.602667923516492e-08
1834,2.520323283405901e-08,5.1339920759119195e-08
1835,2.4958190181223472e-08,8.924443761770817e-08
1836,5.2421849972006385e-08,5.914260120531978e-08
1837,7.027470161347082e-08,8.140732177253085e-08
1838,2.5248647617104325e-08,7.827080850120183e-08
1839,2.9364196407755117e-08,6.292327459078706e-08
1840,3.567025785855549e-08,4.968357031343018e-08
1841,6.163726862240537e-08,3.2102743574569104e-08
1842,4.561620414733625e-08,8.586579181013576e-08
1843,5.847841949568888e-08,4.666459846314197e-08
1844,6.256959972361642e-08,3.67733621886579e-08
1845,5.022205229465726e-08,5.245414280707905e-08
1846,3.39561074813588e-08,4.039605983052752e-08
1847,2.534815113364175e-08,4.1527823846365663e-08
1848,6.757986170669028e-08,2.494018808141263e-08
1849,1.5920887719289567e-08,3.435559947639888e-08
1850,4.5486274302675156e-08,6.313766220955586e-08
1851,5.159551008659946e-08,4.70809027319774e-08
1852,2.929745512858517e-08,9.114763344086896e-08
1853,4.717826085354204e-08,5.01642283268211e-08
1854,7.014146774508845e-08,4.052618135519381e-08
1855,5.519214596461097e-08,5.943769565419643e-08
1856,4.245295315286057e-08,4.0382076071932005e-08
1857,3.905207179855097e-08,4.002837528105374e-08
1858,4.697928801533635e-08,6.85114613929727e-08
1859,3.208069188076479e-08,5.397703883858185e-08
1860,5.996110985506675e-08,3.753290753194527e-08
1861,4.480165571862926e-08,3.395493886060308e-08
1862,5.69266269678792e-08,5.376403680590336e-08
1863,5.943598679891693e-08,2.8469339163894603e-08
1864,3.835782536043553e-08,5.6098315326380543e-08
1865,3.718406915709238e-08,3.577201745930125e-08
1866,4.2330832172865485e-08,2.7733993435141713e-08
1867,5.143980175148499e-08,3.34843974769683e-08
1868,4.9398739321304674e-08,4.100095551962113e-08
1869,4.6393431318847433e-08,3.271957993433716e-08
1870,6.250112960515253e-08,3.2110674119678606e-08
1871,6.372706451429622e-08,3.080141297573391e-08
1872,6.22875973022019e-08,3.507456725060365e-08
1873,7.90152583363124e-08,6.943765046285577e-08
1874,4.8394334928314464e-08,3.644511537004291e-08
1875,5.89317288302027e-08,4.748867610260277e-08
1876,4.232210315535667e-08,7.13429741949767e-08
1877,2.535774612510977e-08,4.2675230016442356e-08
1878,3.38188961279684e-08,5.254007007238215e-08
1879,4.276527654223372e-08,5.1318330918093125e-08
1880,5.134277114571262e-08,2.3104245627791897e-08
1881,4.113779539238749e-08,2.3009274985330563e-08
1882,6.78849252366831e-08,3.8601235097246445e-08
1883,3.854796659652493e-08,3.4124429504345244e-08
1884,3.6969503014461225e-08,2.706695667598069e-08
1885,5.414333870135124e-08,4.898683259035863e-08
1886,5.033701921952627e-08,3.355801325710672e-08
1887,3.068594583988116e-08,2.154545164501087e-08
1888,6.023583920544695e-08,4.1848055687410124e-08
1889,3.5084767091575486e-08,5.388017765284303e-08
1890,3.867087983167039e-08,3.0150179242127706e-08
1891,3.1233678754460925e-08,4.3344694944380535e-08
1892,4.826754462783356e-08,3.19694137829174e-08
1893,4.741980685896152e-08,2.6481190684712885e-08
1894,3.7809237074526436e-08,2.3315696040526745e-08
1895,3.912099577618733e-08,1.3842813118003505e-08
1896,3.715128193970685e-08,2.3588116737638387e-08
1897,3.787363667129284e-08,1.981082675683865e-08
1898,2.6028432742464247e-08,3.22526237939158e-08
1899,3.0954439012020885e-08,2.5426860617017155e-08
1900,4.464305813911551e-08,1.4534948911126833e-08
1901,3.576792906301307e-08,3.5209055282425794e-08
1902,2.2096277918493e-08,2.3078333910575566e-08
1903,3.186130115295782e-08,3.078125643263263e-08
1904,4.08471514390385e-08,1.6123874679863093e-08
1905,3.8705692873008957e-08,2.9416325819653366e-08
1906,2.777859720026754e-08,2.1091157265118454e-08
1907,3.754275823553144e-08,2.5714216533856415e-08
1908,4.862275204686739e-08,1.3751889627044989e-08
1909,5.170924666231258e-08,2.0903737407707013e-08
1910,5.344150855179919e-08,2.244543206852967e-08
1911,3.405039328274739e-08,3.4582431918117607e-08
1912,2.81308754068732e-08,3.438217843765301e-08
1913,4.242391643538568e-08,2.0151361468379037e-08
1914,4.08501362736402e-08,1.5402511266415786e-08
1915,2.238344798399794e-08,3.180805796532127e-08
1916,3.186363883855847e-08,1.9777432136436346e-08
1917,4.1672411299487067e-08,1.0966424213165737e-08
1918,2.1824115847834946e-08,2.6418664589300533e-08
1919,3.775218004875569e-08,1.012863304339362e-08
1920,3.634671053021066e-08,2.0445025228355007e-08
1921,2.1960967766521122e-08,2.499006651612845e-08
1922,3.762747063928984e-08,2.2133805899215986e-08
1923,3.290944050604594e-08,3.078624999375279e-08
1924,2.5783249313349188e-08,9.02413699321869e-09
1925,7.148815361901484e-08,1.8696903136827814e-08
1926,4.681378040771733e-08,1.3375366592072169e-08
1927,3.1217830098739796e-08,1.4493992006592293e-08
1928,3.999114284169991e-08,1.2568645679778001e-08
1929,3.4535258208734376e-08,1.893869061575515e-08
1930,3.7812974085227324e-08,1.1553964007759987e-08
1931,4.904303185782055e-08,9.124285327288817e-09
1932,4.60300545457315e-08,5.4797684168050864e-09
1933,4.588265056781893e-08,2.064719240024715e-08
1934,2.516131836216573e-08,2.875579241390369e-08
1935,3.710167995052416e-08,1.555876938397205e-08
1936,4.00115567344983e-08,1.576212937948185e-08
1937,3.651424407280501e-08,1.1332006444320086e-08
1938,3.1116513810047763e-08,2.2040865133021725e-08
1939,4.282334131744392e-08,1.070583532936098e-08
1940,4.81798743123818e-08,1.0143131667916805e-08
1941,4.132103725851266e-08,8.854508237732261e-09
1942,1.8205270180260413e-08,2.4273693721710288e-08
1943,2.322588166236983e-08,1.7419411690866582e-08
1944,4.4984606262232774e-08,1.2852744646352221e-08
1945,3.485606470121638e-08,1.3071024262956144e-08
1946,5.568441885372977e-08,2.645009899993056e-08
1947,4.649139517809431e-08,1.5497132244135514e-08
1948,3.8051606310318675e-08,1.9569398101992874e-08
1949,1.570721330779179e-08,7.853606653895895e-09
1950,2.0207186368637053e-08,1.808011518278363e-08
1951,1.8124382994422206e-08,1.5992101864981123e-08
1952,3.1634410646574906e-08,1.7926167217297007e-08
1953,2.908933460776808e-08,6.464296653518886e-09
1954,3.909014423264523e-08,2.834035384147171e-08
1955,5.255940527248981e-08,3.754243138587299e-09
1956,3.4884565680570745e-08,1.3953826538681824e-08
1957,2.6505113492891752e-08,1.236905244894615e-08
1958,2.0680609225109947e-08,1.2408365002158916e-08
1959,2.1702094343822864e-08,1.8601795659378695e-08
1960,3.737249842927781e-08,1.522583353841256e-08
1961,2.709782087606527e-08,1.250668635321972e-08
1962,2.917300001570311e-08,8.244543714397423e-09
1963,2.2631185814248056e-08,1.1638896069143811e-08
1964,3.5895414529640846e-08,1.6426714100070683e-08
1965,3.283226135408768e-08,1.5868925118400767e-08
1966,3.988133978616304e-08,1.8278946356531378e-08
1967,3.204718268534634e-08,2.3665610304757223e-08
1968,4.446501561394811e-08,2.20079384716243e-08
1969,3.088395306161118e-08,2.4525491804094912e-08
1970,2.575285940054073e-08,1.517579290011284e-08
1971,2.7747345754391972e-08,1.7470551227916076e-08
1972,2.7189778595282377e-08,1.9494558856081312e-08
1973,2.921997932503473e-08,1.598829119098255e-08
1974,3.03780877120019e-08,7.875800511758513e-09
1975,3.3126585918807905e-08,2.1132476657470534e-08
1976,3.6566571992580066e-08,1.8854638628162945e-08
1977,2.9971587545141176e-08,1.2928920156696222e-08
1978,2.0792070287711795e-08,5.346532105932056e-09
1979,2.457828751634139e-08,1.404473604083023e-08
1980,2.672020760208227e-08,2.21720881654619e-08
1981,3.352541355639005e-08,1.0120879245789638e-08
1982,2.6071509395819703e-08,5.586751949948621e-09
1983,2.652432762317858e-08,1.0736036948344463e-08
1984,3.305434709277577e-08,1.6237223121606803e-08
1985,2.0452897042666507e-08,2.4663787123735403e-08
1986,2.6975184752586756e-08,1.1389522214244607e-08
1987,2.1387858262222892e-08,7.332980445085013e-09
1988,3.478001170398315e-08,1.4391728697660255e-08
1989,3.0733485090195245e-08,1.4817930216182162e-08
1990,2.0160008384895178e-08,4.90378582185258e-09
1991,2.344586091940215e-08,1.523980996953611e-08
1992,3.305966445044106e-08,1.2121876835635703e-08
1993,2.8803877782923593e-08,1.1632335983335906e-08
1994,2.6902124916627912e-08,1.002236071911966e-08
1995,2.8738989854559804e-08,1.518286268931135e-08
1996,3.096093292853652e-08,9.60856638698715e-09
1997,2.7330897989230607e-08,1.0548768192286673e-08
1998,3.099283996110813e-08,1.621164003040576e-08
1999,2.1479945738756e-08,1.0511462811280126e-08
2000,2.562458345511942e-08,1.2370488633450805e-08
2001,2.9354119801539014e-08,1.2267392601739147e-08
2002,2.7163573945720998e-08,1.4458030939135114e-08
2003,3.0001844397720134e-08,1.0000615446870142e-08
2004,1.9381081628466745e-08,7.928624201625212e-09
2005,2.7472872976552765e-08,9.457873928475635e-09
2006,2.4707339729701516e-08,7.000412693969338e-09
2007,2.7961355897332396e-08,8.787854888225866e-09
2008,2.7247613942904536e-08,7.237647536850744e-09
2009,2.86091541568112e-08,7.629107789952627e-09
2010,2.6453241042112552e-08,1.1337103367203838e-08
2011,1.9502257586623273e-08,1.3383901986685487e-08
2012,2.417019506761875e-08,1.05531832161887e-08
2013,2.2034088331679413e-08,1.2829975415407091e-08
2014,2.100481873157367e-08,1.6024294294259e-08
2015,2.2830725934785967e-08,1.440773989003219e-08
2016,2.5891751104234473e-08,2.050626690675017e-08
2017,1.3835862511246688e-08,7.798394818792076e-09
2018,2.6330960967158035e-08,1.1358453733123497e-08
2019,1.93875064335991e-08,1.3265136544760026e-08
