year,voyant_VERB en_ADP
1800,5.376521432509662e-07
1801,5.429096194831118e-07
1802,4.3414098627181374e-07
1803,4.778331179622342e-07
1804,5.660538704432838e-07
1805,4.434889344651083e-07
1806,3.602086451337527e-07
1807,3.957267722398683e-07
1808,4.3282012063272646e-07
1809,4.5632417844387874e-07
1810,4.493043346265324e-07
1811,5.891630188159525e-07
1812,4.294205169230736e-07
1813,4.68745876336385e-07
1814,4.4368147200657404e-07
1815,4.531335662250058e-07
1816,5.608601458817475e-07
1817,5.978393744499044e-07
1818,6.747386480654427e-07
1819,6.748884544549583e-07
1820,8.401468782892607e-07
1821,7.751130066679934e-07
1822,8.271133111747986e-07
1823,1.1295910589126379e-06
1824,9.726385172825758e-07
1825,7.035548765799149e-07
1826,9.477390907619565e-07
1827,6.074183138693456e-07
1828,6.090408053438523e-07
1829,4.852417525569308e-07
1830,5.625454393420881e-07
1831,4.271990521331759e-07
1832,4.6407795828429244e-07
1833,5.316885580697317e-07
1834,5.152661088914101e-07
1835,6.776526930707405e-07
1836,9.328401215924487e-07
1837,7.444943079804034e-07
1838,8.767592820646541e-07
1839,7.061390157048208e-07
1840,6.255034348257027e-07
1841,4.99518693075629e-07
1842,6.755222692333973e-07
1843,5.788772590165081e-07
1844,6.108768451085211e-07
1845,5.278895525151484e-07
1846,4.5430931283618747e-07
1847,4.7136775727096847e-07
1848,5.148941752963765e-07
1849,3.745598560200847e-07
1850,5.268260885316067e-07
1851,5.462674721457006e-07
1852,4.524829151364429e-07
1853,4.640191155758089e-07
1854,6.484189132294205e-07
1855,5.853551634515952e-07
1856,4.763014000985777e-07
1857,7.663969050497599e-07
1858,6.802209462364317e-07
1859,5.693049889288204e-07
1860,5.433117369335605e-07
1861,5.753475713632383e-07
1862,5.96826001952877e-07
1863,5.569002219374397e-07
1864,5.792031307905177e-07
1865,5.558783389147948e-07
1866,5.561395752806675e-07
1867,4.663551855799142e-07
1868,4.989272888167307e-07
1869,4.947005010080829e-07
1870,4.805132860496997e-07
1871,4.652075684674628e-07
1872,4.940676063824867e-07
1873,5.052187823650911e-07
1874,4.445109116346657e-07
1875,4.4227404316643515e-07
