year,dansant_VERB en_ADP
1800,2.2009151834367913e-08
1801,3.095537337571841e-08
1802,2.4616241489638924e-08
1803,1.755305234496518e-08
1804,1.2359254952798437e-08
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,1.7081731584767113e-08
1808,2.2660739951163578e-09
1809,2.4849335034105025e-08
1810,4.680253518074551e-09
1811,1.0028307073639553e-08
1812,2.6672082320544632e-09
1813,4.601186631703058e-08
1814,2.5173417128598885e-08
1815,2.4275012222574333e-08
1816,9.270415546325239e-09
1817,1.401186100480345e-08
1818,5.960588467246453e-09
1819,2.4842520929269085e-08
1820,3.559944161679596e-08
1821,1.972297702934611e-08
1822,2.105379337535851e-08
1823,3.063632902922109e-08
1824,2.863178316658832e-08
1825,2.4655239627691117e-08
1826,2.290075862276808e-08
1827,9.217273166939322e-09
1828,3.118582370120748e-08
1829,1.2002446148073886e-08
1830,4.174734336004349e-09
1831,4.677361609140007e-09
1832,2.705993829010822e-08
1833,3.70676112027013e-08
1834,2.0535967593104942e-08
1835,2.7983425354705105e-08
1836,4.166864897570122e-08
1837,2.7831564608504777e-08
1838,7.574594285131298e-09
1839,2.3771015378315496e-08
1840,1.592422194107712e-08
1841,1.3483152372373297e-08
1842,1.8783142152756227e-08
1843,2.5990408047960045e-08
1844,1.2074834465636286e-08
1845,1.0602432709561072e-08
1846,3.7468808500307205e-08
1847,1.240441438454809e-08
1848,1.206783295515379e-08
1849,1.5920887719289567e-08
1850,1.5614691761811628e-08
1851,2.0638204034639784e-08
1852,1.6927417689771573e-08
1853,1.4929829816878737e-08
1854,1.7145692865483397e-08
1855,2.5473298137512757e-08
1856,1.0872097000458325e-08
1857,1.4644527368545823e-08
1858,2.5936483183386372e-08
1859,2.8516170758052795e-08
1860,2.4716793944890014e-08
1861,1.650587222457034e-08
1862,2.0330938710344526e-08
1863,1.3485475847119233e-08
1864,1.4863656971897399e-08
1865,5.177528628053096e-09
1866,1.3137154475373336e-08
1867,3.542552207136396e-08
1868,2.222943251695142e-08
1869,1.2697149998075474e-08
1870,1.7202147262196377e-08
1871,2.973929724703339e-08
1872,9.071008832961525e-09
1873,5.387403856360606e-09
1874,1.4339061493728877e-08
1875,1.602027666081085e-08
1876,2.418405919968336e-08
1877,2.1646856751544874e-08
1878,1.69094480639842e-08
1879,2.932476128592043e-08
1880,2.1178893305773272e-08
1881,2.5798277292210514e-08
1882,1.3976308999019693e-08
1883,4.107570461542309e-08
1884,2.706695667598069e-08
1885,3.0939052209078e-08
1886,2.3232470169887165e-08
1887,1.7628096316002484e-08
1888,1.014498351992188e-08
1889,3.257871128425904e-08
1890,1.1142456735058204e-08
1891,1.2748440525456317e-08
1892,1.9432388143059143e-08
1893,2.4017824173938607e-08
1894,1.5123694296903523e-08
1895,1.8657704714541978e-08
1896,2.299841384001411e-08
1897,2.3889525024856084e-08
1898,3.1120951149432585e-08
1899,1.2713430308508578e-08
1900,2.076421168339948e-08
1901,1.2854099118442264e-08
1902,2.1605249145295602e-08
1903,2.4841012802312434e-08
1904,2.956043942958786e-08
1905,1.5482276793932215e-08
1906,1.4403716441790948e-08
1907,2.468564730406797e-08
1908,2.4065807124884486e-08
1909,1.265226234892225e-08
1910,1.7101282168141552e-08
1911,1.4365010514438836e-08
1912,1.719108944087111e-08
1913,8.484783542428431e-09
1914,1.6741859454327823e-08
1915,2.1205371680821372e-08
1916,1.538244731591476e-08
1917,2.1932848426331475e-08
1918,3.44591288836682e-09
1919,7.366278698128781e-09
1920,1.665890891899835e-08
1921,1.1359120755116692e-08
1922,1.9920426197472807e-08
1923,1.6985516992917837e-08
1924,2.1915761649893284e-08
1925,7.698724324711748e-09
1926,1.114613823460786e-08
1927,3.7907366134959375e-08
1928,1.1426041446327417e-08
1929,1.893869061575515e-08
1930,7.352522590764465e-09
1931,1.3686427990933225e-08
1932,1.4247397928102146e-08
1933,6.882397318719313e-09
1934,1.1981580172459871e-08
1935,2.5133395809007197e-08
1936,1.576212937948185e-08
1937,1.888667711114067e-08
1938,1.2965214679638848e-08
1939,1.5294050470515685e-08
1940,1.5214697057785997e-08
1941,1.7709016475464523e-08
1942,6.068423541449874e-09
1943,4.064529335323641e-08
1944,1.2852744646352221e-08
1945,8.714016175304096e-09
1946,1.3921104269343232e-08
1947,2.3841741914054637e-09
1948,1.7395020535104777e-08
1949,9.817008539414473e-09
1950,1.3825969702452312e-08
1951,1.8124383771578323e-08
1952,1.0544804140977249e-08
1953,4.3095309543161875e-09
1954,1.9545073115523337e-08
1955,8.447047505910632e-09
1956,1.831439710997529e-08
1957,8.835037590415595e-09
1958,1.3235589513271862e-08
1959,1.6276571201956358e-08
1960,9.689166802218097e-09
1961,1.528595028332802e-08
1962,1.8391673961559718e-08
1963,2.198458126656533e-08
1964,1.3384730657151067e-08
1965,1.586892572902343e-08
1966,1.0524241922382771e-08
1967,1.429797347185513e-08
1968,1.2126823101255013e-08
1969,1.2716921737876419e-08
1970,1.5175793066646293e-08
1971,1.849823050292798e-08
1972,1.7442499000708267e-08
1973,1.1026407342740185e-08
1974,1.0688586016271984e-08
1975,1.3707552426467373e-08
1976,1.085570122683066e-08
1977,2.291944944943225e-08
1978,1.3663360221016774e-08
1979,7.607565244427406e-09
1980,1.3075846183596695e-08
1981,1.8976647808699454e-08
1982,9.311253101884631e-09
1983,1.5788289786655696e-08
1984,1.275781880138993e-08
1985,1.3835783185811579e-08
1986,1.8582904104391673e-08
1987,1.2832715334809564e-08
1988,2.0388283061834045e-08
1989,6.585746614717891e-09
1990,1.5256222951620657e-08
1991,1.817054240405014e-08
1992,1.0468894195980738e-08
1993,8.308811416668505e-09
1994,7.384897138251745e-09
1995,1.2471637056421514e-08
1996,1.975094043871195e-08
1997,1.6782131240233866e-08
1998,1.0966696883940585e-08
1999,1.3710603319339043e-08
2000,1.4579503826439577e-08
2001,1.3143635513301888e-08
2002,2.1906107150471144e-08
2003,1.5000923170305214e-08
2004,1.0571499231559756e-08
2005,1.5763124139311913e-08
2006,2.0589450144825605e-08
2007,1.8774054311165855e-08
2008,1.0217855006544596e-08
2009,2.1933685090402832e-08
2010,1.5116137674908714e-08
2011,1.911985947344874e-08
2012,1.9404239992582006e-08
2013,2.342865101923053e-08
