year,achetant_VERB en_ADP,achetant_VERB cent_DET
1800,1.5720821977538435e-08,0.0
1801,7.143547975374531e-09,0.0
1802,0.0,0.0
1803,5.851017448321727e-09,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,2.2660739062985158e-08,0.0
1809,2.710836710662079e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,0.0,0.0
1812,1.600324850414836e-08,0.0
1813,4.601186631703058e-08,0.0
1814,0.0,0.0
1815,1.3486118000116676e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,0.0,0.0
1818,1.5497530370112145e-08,0.0
1819,3.1053151161586356e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,8.875339574387908e-09,0.0
1822,4.010246357211145e-09,0.0
1823,9.882686891060644e-10,0.0
1824,1.8526447931321854e-08,0.0
1825,1.4088708866211164e-08,0.0
1826,1.4092774947016551e-08,0.0
1827,2.7651818612639545e-09,0.0
1828,6.420610709767516e-09,0.0
1829,2.914879893012312e-08,0.0
1830,5.218417697960831e-09,0.0
1831,9.354723218280014e-09,0.0
1832,8.117981842303834e-09,0.0
1833,5.791814139399776e-09,0.0
1834,1.4001796166951408e-08,1.0267983796552471e-08
1835,7.563087933704082e-10,0.0
1836,1.4113575197427508e-08,0.0
1837,2.7831563720326358e-09,5.5663127440652715e-09
1838,6.312161904276081e-09,0.0
1839,2.9364196407755117e-08,0.0
1840,2.3567848783656586e-08,0.0
1841,1.0272878103734229e-08,1.2841097074556274e-09
1842,2.4820581145945653e-08,0.0
1843,1.5357969118667825e-08,0.0
1844,2.030767731753258e-08,0.0
1845,1.8414752389617206e-08,2.2320911785556063e-09
1846,3.5127008857216424e-08,0.0
1847,2.8584085320915165e-08,0.0
1848,2.735375304041554e-08,0.0
1849,1.256912263158938e-08,0.0
1850,1.1541293254424545e-08,0.0
1851,3.9341575330809064e-08,0.0
1852,3.320378283433456e-08,0.0
1853,1.3735443005202796e-08,0.0
1854,9.352196350675968e-09,0.0
1855,4.2455496895854594e-09,0.0
1856,3.572260709461261e-08,0.0
1857,2.147863942258965e-08,0.0
1858,1.4191660291373864e-08,0.0
1859,1.323965115318515e-08,0.0
1860,8.238931314963338e-09,0.0
1861,2.0750240636857598e-08,0.0
1862,1.626475137905814e-08,0.0
1863,1.897955925755923e-08,4.994620828036034e-10
1864,2.4932585773740357e-08,2.3973640850272204e-09
1865,1.929806248135435e-08,1.4120533631256649e-09
1866,2.578774882522339e-08,0.0
1867,2.7661025470138156e-08,0.0
1868,2.5687345583946808e-08,1.4819622196071691e-09
1869,2.539429955206174e-08,0.0
1870,1.9495766778732104e-08,4.587239033071455e-09
1871,1.805600113868877e-08,0.0
1872,2.4189358072135292e-08,0.0
1873,1.616221290134945e-08,0.0
1874,2.0911132381229436e-08,0.0
1875,1.94531928343622e-08,0.0
1876,1.269663130187837e-08,0.0
1877,3.7727378554563984e-08,0.0
1878,9.662541877730746e-09,0.0
1879,1.588424503040642e-08,0.0
1880,1.5402831232691483e-08,0.0
1881,1.1853263259808955e-08,0.0
1882,2.462492565413754e-08,0.0
1883,1.9589950994713945e-08,0.0
1884,2.442627788923346e-08,0.0
1885,8.379326621454908e-09,1.2891271383708158e-09
1886,2.0005737511041843e-08,0.0
1887,1.0446279397058333e-08,0.0
1888,1.1413106904001324e-08,0.0
1889,2.0048437021635834e-08,0.0
1890,2.4906668727453507e-08,0.0
1891,1.9760081571007504e-08,6.374220040683554e-10
1892,1.3163876211308434e-08,0.0
1893,2.894455702895371e-08,0.0
1894,2.6466464575491955e-08,6.301539290376468e-10
1895,2.166701307260155e-08,0.0
1896,2.1229303870384797e-08,0.0
1897,1.981082675683865e-08,0.0
1898,2.2067583316243145e-08,0.0
1899,1.1607914629507832e-08,0.0
1900,3.114631752509922e-08,0.0
1901,3.576792906301307e-08,0.0
1902,2.356936334990678e-08,0.0
1903,3.4021385708626894e-08,0.0
1904,4.192207647690793e-08,0.0
1905,3.4577084306874895e-08,0.0
1906,1.6975809202790515e-08,0.0
1907,2.982849167665336e-08,0.0
1908,2.603036119985802e-08,0.0
1909,2.585462333115629e-08,0.0
1910,2.6720753498743477e-08,5.344150677544235e-10
1911,2.4473720827700163e-08,0.0
1912,2.8651816363911564e-08,0.0
1913,2.9166443482608884e-08,0.0
1914,2.5447626228469744e-08,1.3393487430235496e-09
1915,1.6493066468115103e-08,4.712304768617059e-09
1916,2.8567400889301098e-08,0.0
1917,2.52227767560953e-08,0.0
1918,3.216185273657857e-08,0.0
1919,3.4069038756801007e-08,0.0
1920,3.256059599721084e-08,0.0
1921,2.4232791773215467e-08,0.0
1922,1.992042591991705e-08,0.0
1923,3.078624999375279e-08,0.0
1924,1.933743654092268e-08,0.0
1925,1.9796720707176974e-08,0.0
1926,3.3438414370756675e-08,1.1146138456652466e-09
1927,4.9056588125040435e-08,0.0
1928,2.6279895593006586e-08,0.0
1929,2.33948540540041e-08,0.0
1930,1.785612657734248e-08,0.0
1931,3.9918749195066994e-08,4.5621426636444085e-09
1932,1.9727165678773417e-08,0.0
1933,3.4411986149507356e-08,0.0
1934,2.7557634396657704e-08,1.1981580172459871e-09
1935,4.188899271895252e-08,0.0
1936,2.7886842612900864e-08,0.0
1937,4.65871372590243e-08,0.0
1938,3.241303758727554e-08,0.0
1939,3.976452944698394e-08,0.0
1940,4.057252667166722e-08,0.0
1941,2.6563522936839945e-08,0.0
1942,3.944475324146879e-08,0.0
1943,2.9032351633873077e-08,0.0
1944,2.8918675454292497e-08,0.0
1945,6.099811145077183e-08,0.0
1946,3.48027615615365e-08,0.0
1947,2.9802176726434482e-08,0.0
1948,1.522064252412747e-08,0.0
1949,2.4542519905246252e-08,0.0
1950,2.6588404367089424e-08,2.1270722960764488e-09
1951,4.157946797977985e-08,0.0
1952,2.319856839960721e-08,0.0
1953,2.693456835345387e-08,0.0
1954,1.172704333640695e-08,0.0
1955,1.8771216581114913e-08,0.0
1956,2.0058626093444332e-08,0.0
1957,8.835037590415595e-09,0.0
1958,3.391619751713648e-08,0.0
1959,2.4802393028267034e-08,0.0
1960,1.314958364417862e-08,0.0
1961,1.528595028332802e-08,0.0
1962,1.9025868547295488e-08,0.0
1963,6.466053470433053e-09,0.0
1964,2.3119079872735426e-08,6.083968329129164e-10
