year,causant_VERB en_ADP
1800,1.2576657937302116e-08
1801,1.6668277424969347e-08
1802,6.713520406265161e-09
1803,5.851017448321727e-09
1804,4.943701892301533e-09
1805,1.421438877713399e-08
1806,1.152667650217154e-08
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,5.0141535368197765e-09
1812,5.3344164641089264e-09
1813,1.4378708002027452e-08
1814,0.0
1815,0.0
1816,1.3905623319487859e-08
1817,2.80237220096069e-08
1818,1.9073883805731384e-08
1819,1.1386155129855524e-08
1820,7.119888678630559e-09
1821,2.1695274909916407e-08
1822,8.02049271442229e-09
1823,7.90614973489312e-09
1824,1.431589158329416e-08
1825,4.4027217427355936e-09
1826,8.80798456392995e-09
1827,1.1060727445055818e-08
1828,6.420610709767516e-09
1829,4.286588028978855e-09
1830,1.1480519646056564e-08
1831,1.091384405071949e-08
1832,1.2176972319366541e-08
1833,1.1583628500844156e-09
1834,1.213489042584115e-08
1835,9.075705520444899e-09
1836,5.376600054063374e-09
1837,1.2524203452102256e-08
1838,1.1361890983607736e-08
1839,1.8876983531868063e-08
1840,3.821813088222825e-09
1841,1.2841097074556274e-08
1842,1.408735705865638e-08
1843,6.4976020675011625e-09
1844,1.5367971784030487e-08
1845,1.674068350610014e-08
1846,1.4636253098387897e-08
1847,1.0786447290911383e-08
1848,1.206783295515379e-08
1849,0.0
1850,6.788996032014438e-09
1851,3.8696632564949596e-09
1852,9.114764054629632e-09
1853,1.1943863675867306e-08
1854,2.0263090760863633e-08
1855,7.429711956774554e-09
1856,1.3978411317339123e-08
1857,9.274867096564776e-09
1858,6.361778659424999e-09
1859,8.656694916453489e-09
1860,1.5562426014525954e-08
1861,5.187560159214399e-09
1862,1.445755648532554e-08
1863,8.490855130105501e-09
1864,6.712618905169165e-09
1865,1.5061901947888146e-08
1866,3.8924903300596725e-09
1867,6.308654931785895e-09
1868,1.0373735648272486e-08
1869,1.3673853160867111e-08
1870,1.6055337059839303e-08
1871,9.559059321873065e-09
1872,2.4794090336399677e-08
1873,1.2570609442263958e-08
1874,1.971621016449987e-08
1875,1.0298748520654044e-08
1876,2.2974855795609983e-08
1877,1.5462040536817767e-08
1878,1.3889904226793703e-08
1879,3.665595160740054e-09
1880,9.626769603698904e-09
1881,1.324776466304911e-08
1882,9.983077253750139e-09
1883,1.9589950994713945e-08
1884,1.1883054540362536e-08
1885,1.2246707647989297e-08
1886,2.1296431285122708e-08
1887,1.1752064210668323e-08
1888,1.268122939990235e-08
1889,6.265136853755848e-09
1890,1.4419650362640368e-08
1891,7.649063604731055e-09
1892,2.4447198043731078e-08
1893,1.970693297437265e-08
1894,2.079507943619774e-08
1895,1.2037228991346183e-08
1896,1.7101383420481397e-08
1897,2.2724182757727363e-08
1898,1.0750873968845553e-08
1899,9.39688327150634e-09
1900,1.142031713641245e-08
1901,1.397184767881754e-08
1902,1.3257766440233354e-08
1903,1.1340462791054051e-08
1904,2.0961039126632386e-08
1905,6.192910739777346e-09
1906,1.8519063615940468e-08
1907,1.131425531042396e-08
1908,1.5225305460830896e-08
1909,2.6954818821423032e-08
1910,2.137660359835536e-08
1911,1.755723522123276e-08
1912,1.0939784189645252e-08
1913,1.2727175757731857e-08
1914,1.4732836284281348e-08
