year,petit_ADJ ados_NOUN,petit_ADJ radeau_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,2.1430643926123594e-08
1802,0.0,1.7902721083373763e-08
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,1.1371510844071508e-08
1806,8.645007376628655e-09,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,3.172503681980743e-08
1809,0.0,4.0662548883574345e-08
1810,0.0,0.0
1811,2.0056614147279106e-08,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,6.952811659743929e-09
1817,0.0,0.0
1818,0.0,7.152706427149269e-09
1819,1.035105001712111e-09,0.0
1820,0.0,1.898636980968149e-08
1821,1.97229765852569e-09,2.9584463767662328e-09
1822,0.0,0.0
1823,0.0,1.1859224713361982e-08
1824,0.0,2.3579115548955087e-08
1825,0.0,2.641632912414593e-09
1826,8.807984341885344e-10,2.6423952803611428e-08
1827,0.0,1.935627302884768e-08
1828,0.0,1.559291185060374e-08
1829,0.0,1.0287811491593857e-08
1830,0.0,1.461157062010443e-08
1831,0.0,1.4032085715598441e-08
1832,0.0,5.411987746839486e-09
1833,0.0,6.370995464521911e-08
1834,9.334530925997342e-10,4.667265329771908e-08
1835,0.0,2.0420337421001022e-08
1836,0.0,3.36037508930076e-09
1837,0.0,9.045257876039159e-09
1838,6.312161904276081e-10,8.2058102535143e-09
1839,0.0,9.088918062616358e-09
1840,6.369688665408546e-10,1.8472096741106725e-08
1841,0.0,9.630822361827995e-09
1842,1.341653010911159e-09,2.2808102073668124e-08
1843,0.0,4.134837805480629e-09
1844,0.0,8.781698035420504e-09
1845,0.0,1.0044410636567136e-08
1846,1.7563503984519002e-09,1.1709002656346001e-08
1847,0.0,9.168480197274675e-09
1848,0.0,2.011305433313737e-08
1849,6.703531951757213e-09,2.513824481908955e-09
1850,0.0,7.467895635215882e-09
1851,0.0,3.8696632564949596e-09
1852,0.0,5.208436348880241e-09
1853,0.0,1.5527023222716707e-08
1854,0.0,5.7152309551611324e-09
1855,1.5920811335945473e-09,1.6982198758341838e-08
1856,2.0708756931497874e-09,2.0708756931497874e-09
1857,5.369659827891837e-09,1.9526036343364694e-09
1858,0.0,2.936205500958522e-09
1859,1.5276520048956854e-09,1.018434669930457e-09
1860,0.0,3.661747127736703e-09
1861,0.0,1.226150558863992e-08
1862,0.0,1.8071945051545413e-09
1863,0.0,3.995696662428827e-09
1864,1.9178911792039344e-09,8.151037178549814e-09
1865,0.0,9.41368871743009e-10
1866,0.0,1.216403244796993e-08
1867,9.7056229719783e-10,5.82337378318698e-09
1868,0.0,6.915823469455518e-09
1869,4.883519144627257e-10,3.906815315701806e-09
1870,0.0,5.734048791339319e-10
1871,2.1242354542039266e-09,2.1242354542039266e-09
1872,6.047339295989218e-10,1.0885210954825197e-08
1873,1.1972008939764578e-09,2.095101514498765e-08
1874,0.0,2.9873046258899194e-09
1875,0.0,6.293679799540541e-09
1876,3.02300739996042e-09,9.069021977836655e-09
1877,3.0924081073635534e-09,6.184816214727107e-09
1878,1.8117265465633636e-09,4.831270938865373e-09
1879,6.10932526790009e-10,1.0385853066452455e-08
1880,0.0,7.059631101924424e-09
1881,0.0,6.9725074602899895e-09
