year,tes_DET égaux_NOUN,tes_DET mégots_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,2.0171682990621775e-08,0.0
1807,5.693910232196231e-09,0.0
1808,2.039466551195801e-08,0.0
1809,9.036122072814123e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,2.5881675469463516e-08,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,2.5493642752394408e-08,0.0
1817,3.113746815941454e-09,0.0
1818,5.960588467246453e-09,0.0
1819,9.315945348475907e-09,0.0
1820,1.3053129244156025e-08,0.0
1821,1.4792232327920374e-08,0.0
1822,7.017931125119503e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,1.7684335773537896e-08,0.0
1825,2.641632912414593e-09,0.0
1826,4.403992281964975e-09,0.0
1827,1.8434546111834038e-09,0.0
1828,5.503380751115117e-09,0.0
1829,3.429270423183084e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,0.0,0.0
1833,1.1583628500844156e-09,0.0
1834,8.401078055442213e-09,0.0
1835,7.563087933704082e-10,0.0
1836,5.376600054063374e-09,0.0
1837,2.0873671680021744e-09,0.0
1838,1.2624323808552163e-09,0.0
1839,2.7965900706306e-09,0.0
1840,4.458782232319436e-09,0.0
1841,4.494383976094696e-09,0.0
1842,2.0124795163667386e-09,0.0
1843,5.906910960362666e-09,0.0
1844,2.0856533611279815e-08,0.0
1845,3.9061593959388574e-09,0.0
1846,2.9272506640865004e-09,0.0
1847,2.6966118227278457e-09,0.0
1848,8.04522137798358e-09,0.0
1849,1.005529792763582e-08,0.0
1850,6.1100964288129944e-09,0.0
1851,7.739326512989919e-09,0.0
1852,3.906327261660181e-09,0.0
1853,1.7915795513800958e-09,0.0
1854,3.117398783558656e-09,0.0
1855,2.1227748447927297e-09,0.0
1856,5.694908267184218e-09,0.0
1857,9.763018171682347e-10,0.0
1858,6.8511463169329545e-09,0.0
1859,6.110608019582742e-09,0.0
1860,6.865775947773045e-09,0.0
1861,4.715963619617014e-09,0.0
1862,9.035972858839614e-09,0.0
1863,8.490855130105501e-09,0.0
1864,1.534312921158687e-08,0.0
1865,9.88437293125699e-09,0.0
1866,3.8924903300596725e-09,0.0
1867,9.7056229719783e-09,0.0
1868,4.939874176379533e-09,0.0
1869,9.767038178232212e-09,0.0
1870,1.1468097582678638e-09,0.0
1871,2.1242354542039266e-09,0.0
1872,9.071008721939222e-09,0.0
1873,2.9930022904522957e-09,0.0
1874,1.7923826867161097e-09,0.0
1875,1.716458086775674e-09,0.0
1876,2.418405919968336e-09,0.0
1877,1.8554447978047506e-09,0.0
1878,5.435179861734696e-09,0.0
1879,6.720257683667796e-09,0.0
1880,4.492492600149944e-09,0.0
1881,6.972507571312292e-09,0.0
1882,1.9966155395678697e-09,0.0
1883,6.319338829996468e-09,0.0
1884,1.3203393933736152e-09,0.0
1885,3.86738152613475e-09,0.0
1886,4.5174246565693466e-09,0.0
1887,1.9586773980506678e-08,0.0
1888,3.804368819970705e-09,0.0
1889,6.891650361495749e-09,0.0
1890,4.5880703680722945e-09,0.0
1891,2.5496880162734215e-09,0.0
1892,6.8953633913793055e-09,0.0
1893,2.463366621796581e-09,0.0
1894,6.301539290376468e-10,0.0
1895,1.2037228991346183e-09,0.0
1896,2.358811590497112e-09,0.0
1897,2.330685422435863e-09,0.0
1898,0.0,0.0
1899,7.738609753005221e-09,0.0
1900,3.633737311048435e-09,0.0
1901,6.147612696683069e-09,0.0
1902,9.820567692386817e-10,0.0
1903,1.6200660812870638e-09,0.0
1904,3.7622376325430196e-09,0.0
1905,5.160759042333041e-10,0.0
1906,1.18316245689698e-08,0.0
1907,1.5428529565042481e-09,0.0
1908,5.893666887857307e-09,0.0
1909,3.300590190047359e-09,0.0
