year,gros_ADJ yeux_NOUN,gros_ADJ mieux_NOUN
1800,2.986956246786576e-07,0.0
1801,1.7858869227893592e-07,0.0
1802,1.6336232988578558e-07,0.0
1803,2.7694815685208596e-07,0.0
1804,2.0021992952479195e-07,0.0
1805,2.245873389483677e-07,0.0
1806,6.916005901302924e-08,0.0
1807,6.263301344233696e-08,0.0
1808,1.8128591250388126e-07,0.0
1809,9.713831161661801e-08,0.0
1810,1.9891076874500868e-07,0.0
1811,1.353821517113829e-07,0.0
1812,1.0935553973467904e-07,0.0
1813,1.2940837734731758e-07,0.0
1814,6.608021863030444e-08,0.0
1815,8.90083740046066e-08,0.0
1816,1.4137383175238938e-07,0.0
1817,2.273035164535031e-07,0.0
1818,1.9193095113223535e-07,0.0
1819,2.0909121190015867e-07,0.0
1820,1.091716228529549e-07,0.0
1821,1.0354562363090736e-07,0.0
1822,2.2657891918242967e-07,0.0
1823,1.4329896202980308e-07,0.0
1824,6.82110155025839e-08,0.0
1825,1.4617035049013793e-07,0.0
1826,9.600702810530493e-08,0.0
1827,1.318069990929871e-07,0.0
1828,1.5317742452225502e-07,0.0
1829,2.8805871465920063e-07,0.0
1830,1.7429515253297723e-07,0.0
1831,2.0736304406909767e-07,0.0
1832,3.1930727573126205e-07,0.0
1833,1.957633202209763e-07,0.0
1834,2.4363126271964575e-07,0.0
1835,2.8739734148075513e-07,0.0
1836,1.4852857077585213e-07,0.0
1837,2.7135774871567264e-07,0.0
1838,1.754781067120348e-07,0.0
1839,1.5590990187774878e-07,0.0
1840,1.350373963759921e-07,0.0
1841,1.6821837789393612e-07,0.0
1842,1.9722298816304829e-07,0.0
1843,2.717179086175747e-07,0.0
1844,1.9429506892265636e-07,0.0
1845,2.884977732264815e-07,0.0
1846,2.4881632043616264e-07,0.0
1847,1.1757227724729091e-07,0.0
1848,1.7860392631519062e-07,0.0
1849,2.1283713635966706e-07,0.0
1850,1.9484419055970648e-07,0.0
1851,1.3543821353323438e-07,0.0
1852,2.298222483432255e-07,0.0
1853,2.7709762662198045e-07,0.0
1854,1.6366342947549128e-07,0.0
1855,2.3138245808240754e-07,0.0
1856,2.07605282298573e-07,0.0
1857,2.660422353528702e-07,0.0
1858,2.383220163437727e-07,0.0
1859,1.935025863986084e-07,0.0
1860,3.075867596180615e-07,0.0
1861,2.782418562219391e-07,0.0
1862,2.59332409768831e-07,0.0
1863,3.2564926755185297e-07,0.0
1864,2.5172320761157607e-07,0.0
1865,2.7911588063034287e-07,0.0
1866,3.036142572909739e-07,0.0
1867,3.1980027870304184e-07,0.0
1868,3.0874213052811683e-07,0.0
1869,3.9019317910060636e-07,0.0
1870,3.182396994816372e-07,0.0
1871,2.931444953446771e-07,0.0
1872,3.513504225338693e-07,0.0
1873,4.0585109672974795e-07,0.0
1874,4.1762518776522484e-07,0.0
1875,3.0781816917624383e-07,0.0
1876,3.748529309177684e-07,0.0
1877,4.4716219349538733e-07,0.0
1878,3.333576898967294e-07,0.0
1879,4.4842448687631986e-07,0.0
1880,3.8442900063273555e-07,0.0
1881,5.020205549044476e-07,0.0
1882,4.798532700078795e-07,0.0
1883,4.202360344152112e-07,0.0
1884,4.614586259776843e-07,0.0
1885,5.304758019519795e-07,0.0
1886,4.5625989741893136e-07,0.0
1887,4.1654539018054493e-07,0.0
1888,4.184805675322423e-07,0.0
1889,4.4169215129841177e-07,0.0
1890,4.883017936663236e-07,0.0
1891,3.473950016541494e-07,0.0
1892,4.3503476376827166e-07,0.0
1893,4.3047330677836726e-07,0.0
1894,4.7387575818902405e-07,6.301539290376468e-10
1895,3.8097829246908077e-07,0.0
1896,4.2812430933736323e-07,0.0
1897,5.541204473047401e-07,0.0
1898,3.9721652456137235e-07,0.0
1899,5.151703135197749e-07,0.0
1900,4.2047531678690575e-07,0.0
1901,4.515701164109487e-07,0.0
1902,3.6974438444303814e-07,0.0
1903,4.195971143872157e-07,0.0
1904,3.70311681763269e-07,0.0
1905,4.3195552734687226e-07,0.0
1906,4.5783241375829675e-07,0.0
1907,4.664559014599945e-07,0.0
1908,3.9684024955022323e-07,0.0
1909,4.367780945813138e-07,0.0
1910,5.835812544319197e-07,0.0
1911,4.719171897704655e-07,0.0
1912,4.3863326482096454e-07,0.0
1913,3.828758678992017e-07,0.0
1914,4.687720718266064e-07,0.0
1915,3.9818974073568825e-07,0.0
1916,4.889420779363718e-07,0.0
1917,3.662785843516758e-07,0.0
1918,6.271561687754001e-07,0.0
1919,4.410559313328122e-07,0.0
1920,5.300562406773679e-07,0.0
1921,4.672385216508701e-07,0.0
1922,5.289979867484362e-07,0.0
1923,9.501273439127544e-07,0.0
1924,5.6594228681206e-07,0.0
1925,5.180141897653812e-07,0.0
1926,4.346993875969929e-07,0.0
1927,8.239277349275653e-07,0.0
1928,5.8501331068328e-07,0.0
1929,5.291693128128827e-07,0.0
1930,5.03122635109321e-07,0.0
1931,4.45949439153992e-07,2.2810713318222042e-09
1932,4.208462200949725e-07,0.0
1933,4.932384740641282e-07,0.0
1934,4.4930925469088834e-07,0.0
1935,4.2966141222677834e-07,0.0
1936,6.207853857631562e-07,1.2124714565686645e-09
1937,6.799203902119189e-07,0.0
1938,5.186086013964086e-07,0.0
1939,5.215271130509791e-07,0.0
1940,4.20939954892674e-07,0.0
1941,5.873490067642706e-07,0.0
1942,6.675265922240214e-07,0.0
1943,5.864534955435374e-07,0.0
1944,6.522768103423005e-07,0.0
1945,7.276203746187093e-07,0.0
1946,6.26449718765798e-07,0.0
1947,6.115406563367287e-07,0.0
1948,7.012367859715596e-07,0.0
1949,6.361421469591733e-07,0.0
1950,5.370857820707897e-07,1.0635361480382244e-09
1951,7.825468628652743e-07,0.0
1952,5.124774702380819e-07,0.0
1953,4.4064952930966683e-07,0.0
1954,5.609435902442783e-07,0.0
1955,4.232909134316287e-07,0.0
1956,6.069914775252983e-07,8.72114158667614e-10
1957,4.6914050244595273e-07,0.0
1958,5.153607389729586e-07,0.0
1959,4.2474098904676794e-07,0.0
1960,4.7200083486131916e-07,0.0
1961,4.981829988537356e-07,1.3896318540318475e-09
1962,4.788176966030733e-07,0.0
1963,4.177070422883844e-07,0.0
1964,5.019273885409348e-07,0.0
1965,4.6731250336051744e-07,0.0
1966,5.832645797454461e-07,0.0
1967,5.290249873723951e-07,0.0
1968,4.635141124254005e-07,0.0
1969,4.251085385931219e-07,0.0
1970,3.651387601166789e-07,0.0
1971,3.6996462426941434e-07,0.0
1972,3.4782397051458247e-07,0.0
1973,3.7930843177491624e-07,0.0
1974,3.639744932115718e-07,5.625571675160757e-10
1975,2.7757792508964485e-07,0.0
1976,3.176720895226026e-07,0.0
1977,3.0794336680628476e-07,0.0
1978,3.2792064530440257e-07,0.0
1979,3.481924011339288e-07,0.0
1980,3.6953480275769834e-07,0.0
1981,3.314588070679747e-07,0.0
1982,3.532068717504444e-07,0.0
1983,3.4923698422062444e-07,0.0
1984,3.201052720669395e-07,0.0
1985,3.4769925605360186e-07,6.015558051686298e-10
1986,3.806498227731936e-07,0.0
1987,2.9820785130141303e-07,0.0
1988,3.837794508854131e-07,0.0
1989,3.4575168683659285e-07,0.0
1990,3.650596056559152e-07,5.44865097484859e-10
1991,3.0421003316405404e-07,1.1722930404189924e-09
1992,4.0938886058938806e-07,0.0
1993,3.62818099119977e-07,0.0
1994,3.1069316719367635e-07,5.274926606624319e-10
1995,3.188401080933545e-07,5.422450821690461e-10
1996,2.8825698450418713e-07,0.0
1997,3.322861914512032e-07,4.79489448146353e-10
1998,3.108820294528414e-07,0.0
1999,2.6095847260876326e-07,0.0
2000,2.8540483754113666e-07,4.4180314962005696e-10
2001,2.9441741844493663e-07,0.0
2002,3.3691594580886886e-07,0.0
2003,4.1502551084704464e-07,0.0
2004,3.422522922846838e-07,0.0
2005,3.774142101065081e-07,4.5037495954858286e-10
2006,4.204365495752427e-07,0.0
2007,4.3220268253207905e-07,1.1983438685803094e-09
2008,4.542688145647844e-07,0.0
2009,4.7681925252618385e-07,4.76819250749827e-10
2010,6.887290169288462e-07,0.0
2011,7.502633252443047e-07,7.64794394481072e-10
2012,1.0692757541619358e-06,6.808505426114664e-10
2013,1.2344667084107641e-06,5.578250084070646e-10
2014,1.3616319165521418e-06,2.1654451842767486e-10
2015,1.3004647598791053e-06,0.0
2016,1.2583391253429e-06,0.0
2017,1.2882445616924088e-06,1.0062445321423752e-09
2018,1.5999930838006549e-06,1.0325866828253538e-09
2019,1.4657975953014102e-06,7.65296326310505e-10
