year,deux_DET autos_NOUN,deux_DET motos_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,9.86148829262845e-10,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,4.6334514003376626e-09,0.0
1834,0.0,0.0
1835,1.5882484660778573e-08,0.0
1836,0.0,6.720750067579218e-10
1837,0.0,0.0
1838,0.0,6.312161904276081e-10
1839,0.0,0.0
1840,0.0,0.0
1841,1.926164561183441e-09,0.0
1842,0.0,0.0
1843,1.2404512972352677e-08,0.0
1844,0.0,0.0
1845,8.37034175305007e-09,0.0
1846,0.0,0.0
1847,5.393223645455691e-10,0.0
1848,8.045221711050488e-10,0.0
1849,0.0,0.0
1850,6.788996032014438e-10,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,5.971931837933653e-10
1854,8.832629738719788e-09,0.0
1855,5.306937111981824e-10,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,4.893676019968041e-10
1859,0.0,0.0
1860,4.577183909670879e-10,0.0
1861,0.0,0.0
1862,4.517986262886353e-10,0.0
1863,0.0,0.0
1864,1.9178911792039344e-09,0.0
1865,0.0,0.0
1866,9.731225825149181e-10,0.0
1867,5.82337378318698e-09,0.0
1868,0.0,0.0
1869,1.4650557433881772e-09,0.0
1870,5.734048791339319e-09,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,5.721527140956084e-10
1876,1.209202959984168e-09,0.0
1877,0.0,0.0
1878,3.0195443923020093e-09,0.0
1879,1.5273313280772527e-08,0.0
1880,0.0,0.0
1881,3.4862537301449947e-09,0.0
1882,6.655385131892899e-10,0.0
1883,0.0,0.0
1884,1.9805090900604227e-09,0.0
1885,0.0,0.0
1886,2.5813855497602844e-09,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,6.265136742733546e-10
1890,1.9663159434024635e-09,0.0
1891,2.5496880162734215e-09,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,6.301539290376468e-10,0.0
1895,0.0,0.0
1896,0.0,0.0
1897,0.0,0.0
1898,4.52668391659472e-09,0.0
1899,0.0,0.0
1900,5.191053142894475e-10,0.0
1901,3.912117296778206e-09,0.0
1902,0.0,0.0
1903,6.480264325148255e-09,5.400220270956879e-10
1904,1.0749250378694342e-09,0.0
1905,1.5482277682110634e-09,0.0
1906,2.0576738091193647e-09,0.0
1907,5.1428433733846646e-09,0.0
1908,8.840499887696751e-09,0.0
1909,2.7504918342913243e-09,0.0
1910,5.878565634276356e-09,1.068830135508847e-09
1911,6.384448969498635e-09,0.0
1912,7.2931897743266916e-09,5.209421227725386e-10
1913,1.5908969031031006e-08,3.181793939432964e-09
1914,2.343860305842327e-08,0.0
1915,5.77257344147597e-08,0.0
1916,6.372727856529536e-08,1.0987462051303964e-09
1917,4.934890895924582e-08,0.0
1918,7.466144680279285e-08,0.0
1919,4.788081131579247e-08,0.0
1920,3.331781961435354e-08,7.572231730534895e-10
1921,2.0446418558250912e-08,7.572747429129834e-10
1922,1.9920426197472807e-08,0.0
1923,3.8217415010421973e-08,0.0
1924,2.191576153887098e-08,2.578324886925998e-09
1925,4.06932585406139e-08,0.0
1926,6.464760193836128e-08,1.1146138456652466e-09
1927,5.90908921793698e-08,0.0
1928,4.798937203176479e-08,0.0
1929,4.567566724844596e-08,0.0
