year,les_DET êtres_NOUN,les_DET etres_NOUN,les_DET mètres_NOUN
1800,1.4126731457508868e-05,4.307505259149025e-07,9.118077182179718e-08
1801,1.327033018583279e-05,3.809892135109294e-08,1.4287095950749062e-07
1802,1.2243223096675138e-05,5.370816325012129e-08,1.857407312400028e-07
1803,1.451052389711549e-05,4.680814025270763e-08,3.90067853572873e-08
1804,1.1973645797525023e-05,7.909923160909216e-08,8.157108055684148e-08
1805,1.0396403951062894e-05,1.2792949255491237e-07,9.665784084234019e-08
1806,8.852487951571675e-06,1.0229925599958278e-06,1.267934441884222e-07
1807,8.873958989852326e-06,1.9843277669906456e-06,5.693910409831915e-08
1808,9.592290780346957e-06,4.192236753297607e-07,8.611081092624318e-08
1809,7.411879053620396e-06,5.647576206690985e-08,1.1521055598429086e-07
1810,7.476705164322084e-06,6.552354925304371e-08,2.854954743725102e-07
1811,5.515569000635878e-06,1.8301659832076211e-07,1.2033967777824728e-07
1812,7.148118100985812e-06,4.5342539056747455e-08,4.000812352522587e-07
1813,7.474052409861542e-06,1.207811497483391e-07,1.9842617371423898e-07
1814,5.236070578007457e-06,1.510405018834149e-07,8.810695817373926e-08
1815,9.869140995988346e-06,1.672278608921829e-07,2.859056882353883e-07
1816,1.448038904072746e-05,1.946787211437595e-07,1.130990654019115e-06
1817,1.3753419580098125e-05,8.251429184369385e-08,7.161617787687646e-08
1818,1.2320537280174904e-05,3.337929688207453e-08,3.814776761146277e-08
1819,1.0180257987713048e-05,4.0369095288816936e-08,9.729986949480462e-08
1820,1.0625246872564276e-05,8.06920743556816e-08,2.8479554714522237e-08
1821,1.0406828579334615e-05,3.155676209232183e-08,7.396116075142345e-08
1822,1.0692318937799428e-05,2.8071724500478012e-08,4.912551787583652e-08
1823,7.888360642027692e-06,2.174191093828881e-08,7.214361552598803e-08
1824,8.536481743703916e-06,2.0547515333646516e-07,1.313693598348209e-07
1825,8.948971640165837e-06,6.163810128967384e-08,7.044354499718963e-08
1826,8.12448486442463e-06,2.730475112677766e-08,6.958307607884961e-08
1827,7.447556640727271e-06,1.6591091223094878e-08,1.2904181667661163e-07
1828,8.995275948109338e-06,1.008953137704438e-08,6.970948618345574e-08
1829,9.02669711422277e-06,6.001223185059246e-09,7.63012639737326e-08
1830,9.380627858490698e-06,5.218417786778673e-08,8.975678733591508e-08
1831,9.103705480129065e-06,1.4032085049464627e-08,2.8064170720654147e-07
1832,1.0355838156783648e-05,2.5706941686465257e-08,1.204167247026433e-07
1833,1.2485993067912204e-05,5.444305539725747e-08,5.444305273272221e-08
1834,9.970212914822696e-06,4.293884225958777e-08,7.934351375915583e-08
1835,1.001655351728914e-05,6.050470346963266e-08,8.470658485748572e-08
1836,9.186593587173775e-06,3.6292049532260506e-08,6.787957396170441e-08
1837,9.61302180257917e-06,2.574419588619037e-08,7.792838097042676e-08
1838,8.590852019096928e-06,3.092959377504201e-08,8.332053447190901e-08
1839,8.2079914420774e-06,4.8241176497931804e-08,1.2374910873802492e-07
1840,1.3048307152985217e-05,8.280595159559923e-08,1.4140709359011794e-07
1841,1.1605783129198244e-05,5.7142881093597e-08,7.512041610979736e-08
1842,1.178440922444679e-05,2.95163662400455e-08,7.513257216373859e-08
1843,1.3266921826016187e-05,3.2488010059950057e-08,1.3940309973037301e-07
1844,1.1903591314421647e-05,9.879410539648248e-08,4.1713065890292e-08
1845,1.1642029647873642e-05,2.0088819940866642e-08,8.258737249633441e-08
1846,1.1435597315312407e-05,8.371937143536456e-08,6.381406181255045e-08
1847,9.876610675974007e-06,7.172987626091754e-08,9.114547694366593e-08
1848,1.1229520396227599e-05,9.332457440169861e-08,1.1665571619801085e-07
1849,8.984408651713238e-06,4.441089829221312e-08,1.0809445516457572e-07
1850,1.0053145047095313e-05,2.987158254086353e-08,1.093028378917893e-07
