year,les_DET égaux_NOUN,les_DET egaux_NOUN,les_DET mégots_NOUN
1800,2.6725399493443547e-07,0.0,3.144164484325529e-09
1801,1.5239568051939045e-07,0.0,0.0
1802,2.0364345232337655e-07,0.0,0.0
1803,3.491107349873346e-07,1.950339223455444e-09,0.0
1804,1.9527622896475805e-07,2.4718509461507665e-09,0.0
1805,1.0802935435094696e-07,0.0,0.0
1806,1.2967511509032192e-07,0.0,0.0
1807,1.508886242618246e-07,0.0,0.0
1808,2.492681403509778e-07,2.2660739951163578e-09,0.0
1809,1.784634133805696e-07,2.259030518203531e-09,0.0
1810,1.3338723192646285e-07,0.0,0.0
1811,1.5042460965730697e-07,0.0,0.0
1812,1.7870294755084615e-07,0.0,0.0
1813,1.1790541032397073e-07,0.0,0.0
1814,2.7376090994124525e-07,3.1466771410748606e-09,0.0
1815,1.348611817775236e-07,2.697223555614414e-09,0.0
1816,2.734772692747356e-07,2.3176038865813098e-09,0.0
1817,2.1484852652520203e-07,1.556873407970727e-09,0.0
1818,2.9802943357637446e-07,4.768470951432846e-09,0.0
1819,2.6705708933150163e-07,2.070210003424222e-09,0.0
1820,2.2664978871489438e-07,0.0,1.1866481131050932e-09
1821,2.741493858593458e-07,9.861488514673056e-09,0.0
1822,2.5064041153655126e-07,1.0025615893027862e-09,0.0
1823,2.2927833764896377e-07,9.882686891060644e-10,0.0
1824,1.7431703724923864e-07,0.0,0.0
1825,2.7825200277220574e-07,8.805443041381977e-10,0.0
1826,2.4574276924482774e-07,2.642395191543301e-09,0.0
1827,1.465546374812554e-07,7.373818444733615e-09,0.0
1828,2.393970577330151e-07,0.0,0.0
1829,3.0263311145972693e-07,0.0,0.0
1830,2.1291145113622179e-07,0.0,0.0
1831,2.3230896828430048e-07,1.2472964883158966e-08,0.0
1832,3.4501422008226257e-07,1.3529969367098715e-09,0.0
1833,2.919074368890051e-07,5.791814250422078e-09,0.0
1834,2.0535968303647678e-07,1.2134890647885754e-08,0.0
1835,2.745400777826035e-07,0.0,0.0
1836,2.2917757397378224e-07,8.064899914561607e-09,0.0
1837,2.2752303241446725e-07,0.0,0.0
1838,2.442806725788671e-07,2.5248647617104325e-09,0.0
1839,2.70570096105871e-07,0.0,0.0
1840,3.6179831375271476e-07,1.9109065940714487e-08,0.0
1841,2.58106063633079e-07,6.420548537278137e-10,0.0
1842,4.863492106821354e-07,2.0124795163667386e-09,0.0
1843,3.8926544476680647e-07,1.7720733214154905e-09,0.0
1844,3.918832885974055e-07,5.488561272137815e-10,0.0
1845,3.286754264308911e-07,4.464182412622364e-09,0.0
1846,2.8687057107568137e-07,1.7563503984519002e-09,0.0
1847,2.8961611420186273e-07,3.775256551818984e-09,0.0
1848,3.5720783131409917e-07,1.528592091792902e-08,0.0
1849,3.8042544603378303e-07,3.267971671050418e-08,0.0
1850,2.946424322303187e-07,8.82569484161877e-09,0.0
1851,2.5023822591840883e-07,1.805842941848823e-08,0.0
1852,2.3242646740584405e-07,8.463708844885787e-09,0.0
1853,2.6216779769328014e-07,1.1943863675867306e-09,5.971931837933653e-10
1854,2.197766040268334e-07,3.63696517347023e-09,0.0
1855,3.003726334327439e-07,1.0613874223963649e-09,0.0
1856,2.723201557586208e-07,4.141751386299575e-09,0.0
1857,2.7190006668398325e-07,2.9289055625270066e-09,0.0
1858,2.9557803049584663e-07,3.4255731584664773e-09,0.0
1859,2.7344969710796363e-07,8.14747713739905e-09,0.0
1860,2.851585549912272e-07,0.0,0.0
1861,3.150263800932862e-07,1.8863854922557266e-09,0.0
1862,2.408086744454252e-07,0.0,0.0
