year,plusieurs_DET âges_NOUN,plusieurs_DET ages_NOUN,plusieurs_DET mages_NOUN
1800,7.231578535993322e-08,0.0,1.2576657937302116e-08
1801,2.8574191901498125e-08,0.0,2.3811825844433088e-09
1802,6.265952379180817e-08,0.0,4.475680270843441e-09
1803,6.826187615160961e-08,0.0,0.0
1804,4.943701981119375e-08,0.0,0.0
1805,1.7057265822018053e-08,0.0,0.0
1806,1.52728468094665e-07,0.0,0.0
1807,3.131650672116848e-08,0.0,1.4234775136401367e-08
1808,4.985362878073829e-08,0.0,4.5321479902327155e-09
1809,1.581321384946932e-08,0.0,0.0
1810,5.616304221689461e-08,0.0,0.0
1811,1.7549536934780008e-08,2.5070767684098882e-09,0.0
1812,8.801787032552966e-08,0.0,0.0
1813,4.888760685162197e-08,0.0,0.0
1814,2.8320094713762956e-08,0.0,0.0
1815,5.3944472000466703e-08,0.0,0.0
1816,1.622322720606917e-08,0.0,0.0
1817,3.7364962679475866e-08,6.227493631882908e-09,3.113746815941454e-09
1818,7.271917934481564e-08,0.0,1.0729059418679299e-08
1819,6.521161566297451e-08,0.0,8.280840013696888e-09
1820,1.6613073583471305e-08,0.0,2.3732962262101864e-09
1821,4.437669787193954e-08,0.0,8.875339574387908e-09
1822,2.606660132187244e-08,0.0,2.0051231786055723e-09
1823,3.854247765389118e-08,0.0,2.9648061783404955e-09
1824,2.189489300974401e-08,0.0,1.6842225392110777e-09
1825,3.78634048558979e-08,0.0,0.0
1826,4.844391554570393e-08,0.0,5.284790383086602e-09
1827,5.8068820862899884e-08,0.0,3.6869092223668076e-09
1828,1.9261833017480967e-08,9.172301251858528e-10,0.0
1829,3.600733933240008e-08,0.0,9.430493719264632e-09
1830,1.0436836106464398e-07,0.0,5.218417697960831e-09
1831,5.76874619184764e-08,0.0,1.5591206103948707e-09
1832,6.494385473843067e-08,1.3529969367098715e-09,1.3529969367098715e-09
1833,1.2510318470049242e-07,1.1583628500844156e-09,0.0
1834,1.1668163368838691e-07,9.334530925997342e-10,0.0
1835,9.680752555141225e-08,7.563087933704082e-10,7.563087933704082e-10
1836,5.040562456315456e-08,1.3441500135158435e-09,3.36037508930076e-09
1837,4.731365876864402e-08,0.0,6.957890930081589e-10
1838,4.41851348842448e-08,0.0,3.1560809521380406e-09
1839,8.459684863737493e-08,3.4957374772659477e-09,1.3982950353153e-09
1840,6.560779580722098e-08,0.0,1.9109065441114126e-09
1841,6.613164771351876e-08,0.0,1.2841097074556274e-09
1842,6.305769373327053e-08,1.341653010911159e-09,0.0
1843,8.033399284679277e-08,0.0,2.953455480181333e-09
1844,2.3051956898889614e-08,5.488561272137815e-10,9.330554107123135e-09
1845,2.566904894196753e-08,0.0,5.022205318283568e-09
1846,7.903577015078156e-08,1.1709002656346001e-09,5.854501328173001e-10
1847,2.588747349818732e-08,5.393223645455691e-10,1.0786447290911383e-09
1848,5.068489628001771e-08,8.045221711050488e-10,8.045221711050488e-10
