year,premier_ADJ art_NOUN,premier_ADJ fard_NOUN
1800,1.5091990102078512e-07,0.0
1801,5.000483449535409e-08,0.0
1802,7.161088433349505e-08,0.0
1803,1.2482170674843474e-07,0.0
1804,1.0134588990240445e-07,1.730295728918918e-08
1805,8.528633421711618e-08,1.7057265822018053e-08
1806,3.1698359492793315e-08,0.0
1807,6.832692145408714e-08,0.0
1808,4.305540546312159e-08,0.0
1809,6.099382443558454e-08,0.0
1810,5.3822916346035754e-08,0.0
1811,3.259199621297171e-08,0.0
1812,2.9339290108509886e-08,0.0
1813,7.189353801173581e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,4.315557688983063e-08,0.0
1816,5.7940098940889584e-08,0.0
1817,5.60474440192138e-08,0.0
1818,4.4108355412575406e-08,1.1921177378582115e-09
1819,6.935203400448842e-08,0.0
1820,6.289235354728362e-08,0.0
1821,6.508582273134778e-08,0.0
1822,4.912551787583652e-08,0.0
1823,3.261286796174545e-08,0.0
1824,5.9789897477458e-08,0.0
1825,5.811592274085342e-08,0.0
1826,4.580151724553616e-08,8.807984341885344e-10
1827,3.0417001140037314e-08,0.0
1828,3.118582486694166e-08,0.0
1829,4.2865879235076676e-08,0.0
1830,2.609209004411639e-08,0.0
1831,2.3386808933878456e-08,0.0
1832,6.223786208625626e-08,0.0
1833,3.243415902520752e-08,0.0
1834,5.8807543945604834e-08,2.8003592777992026e-09
1835,3.1764969321557146e-08,0.0
1836,3.965242673098501e-08,0.0
1837,2.0177884252348122e-08,3.478945576063097e-09
1838,2.4617431870765927e-08,1.2624323808552163e-09
1839,5.313521023175838e-08,2.0974426639952526e-09
1840,3.567025785855549e-08,1.2739377330817092e-09
1841,2.7608359598474408e-08,0.0
1842,2.683306021822318e-08,0.0
1843,2.7171791094904307e-08,0.0
1844,4.116421076227894e-08,0.0
1845,3.236532108985557e-08,1.1160455892778032e-09
1846,4.7421458981844467e-08,5.854501328173001e-10
1847,5.447156059545932e-08,0.0
1848,2.976732055293141e-08,0.0
1849,3.016589378290746e-08,0.0
1850,4.480737292311687e-08,0.0
1851,3.611685728266423e-08,3.8696632564949596e-09
1852,1.3672145193766028e-08,0.0
1853,2.7470886232450198e-08,0.0
1854,2.909572138776184e-08,0.0
1855,4.4578271740647324e-08,5.306937111981824e-10
1856,2.3815070804289462e-08,0.0
1857,3.7099469274437524e-08,0.0
1858,3.0340791934424516e-08,1.9574704079872163e-09
1859,2.698851919724632e-08,0.0
1860,2.0139609091529564e-08,4.577183909670879e-10
1861,1.65058727241707e-08,0.0
1862,3.2077704131827645e-08,0.0
