year,aviez_VERB assez_ADV,aviez_VERB cassé_VERB
1800,1.2576657937302116e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,2.9091921760482364e-08,0.0
1803,5.851017448321727e-09,0.0
1804,7.4155526164076946e-09,4.943701892301533e-09
1805,1.1371510844071508e-08,0.0
1806,3.458002950651462e-08,0.0
1807,0.0,0.0
1808,1.8128591960930862e-08,0.0
1809,4.743964154840796e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,1.504245972228091e-08,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,1.5733386149463513e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,2.1458118837358597e-08,0.0
1819,9.315945348475907e-09,1.035105001712111e-09
1820,4.2719332071783356e-08,2.3732962262101864e-09
1821,1.0847637454958203e-08,9.86148829262845e-10
1822,4.6117833107928163e-08,1.0025615893027862e-09
1823,3.4589405117912975e-08,0.0
1824,3.3684450784221553e-08,0.0
1825,1.2327619813845558e-08,0.0
1826,5.108631029315802e-08,0.0
1827,7.373818444733615e-09,1.8434546111834038e-09
1828,2.2930752408001354e-08,1.4675682002973645e-08
1829,1.7146351893870815e-08,0.0
1830,1.5655253093882493e-08,2.0873671680021744e-09
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,8.117981842303834e-09,0.0
1833,2.0850531967653296e-08,2.3167257001688313e-09
1834,1.9602515166639023e-08,0.0
1835,3.781543966852041e-08,0.0
1836,1.0753200108126748e-08,0.0
1837,3.061472142462662e-08,0.0
1838,1.830527018853445e-08,0.0
1839,2.866504900111977e-08,0.0
1840,2.5478755105723394e-08,0.0
1841,1.6051371787284552e-08,0.0
1842,1.7441490030023488e-08,0.0
1843,2.2446261738195972e-08,1.1813822142769936e-09
1844,1.866110821424627e-08,0.0
1845,1.5066614622583074e-08,5.580227946389016e-10
1846,1.2294452567118697e-08,0.0
1847,1.5101026207275936e-08,0.0
1848,2.333114323960217e-08,0.0
1849,2.6814127807028854e-08,0.0
1850,2.7155984128057753e-09,0.0
1851,2.7087642351375507e-08,0.0
1852,3.1250618093281446e-08,0.0
1853,9.555090940693844e-09,1.1943863675867306e-09
1854,2.182179059673217e-08,0.0
1855,1.0083180512765466e-08,0.0
1856,8.28350277259915e-09,0.0
1857,2.7336451324799782e-08,1.4644527812635033e-09
1858,7.34051397444091e-09,0.0
1859,1.1202780925145817e-08,0.0
1860,3.066713105681629e-08,0.0
1861,2.0750240636857598e-08,0.0
1862,3.4336697041226216e-08,4.517986262886353e-10
1863,3.7459656709870615e-08,0.0
1864,2.205574922697906e-08,0.0
1865,2.58876440284439e-08,0.0
1866,9.244664589402873e-09,6.811858188626729e-09
1867,8.249779526181555e-09,9.7056229719783e-10
1868,1.0373735648272486e-08,0.0
1869,3.369628132077196e-08,0.0
1870,1.4335121534259088e-08,5.734048791339319e-10
1871,2.1242354542039266e-09,0.0
1872,1.3908880269752899e-08,2.4189357183956872e-09
1873,9.577607151811662e-09,0.0
