year,aurais_VERB assez_ADV,aurais_VERB cassé_VERB
1800,3.144164484325529e-09,0.0
1801,7.143547975374531e-09,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,1.600324850414836e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,2.384235475716423e-09,0.0
1819,6.210630232317271e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,9.861488514673056e-09,0.0
1822,2.0051231786055723e-09,0.0
1823,1.2847492847356534e-08,0.0
1824,1.6842225392110777e-09,1.51580028528997e-08
1825,6.163809906922779e-09,0.0
1826,1.3211976401805714e-08,8.807984341885344e-10
1827,2.7651818612639545e-09,4.608636583469661e-09
1828,1.0089530988466322e-08,0.0
1829,0.0,0.0
1830,1.1480519646056564e-08,0.0
1831,1.5591206103948707e-09,0.0
1832,6.764984572527055e-09,1.3529969367098715e-09
1833,4.6334514003376626e-09,1.1583628500844156e-09
1834,4.667265685043276e-09,0.0
1835,1.2100940693926532e-08,0.0
1836,9.409050427677812e-09,6.720750067579218e-10
1837,1.3915781860163179e-09,0.0
1838,0.0,4.418513555037862e-09
1839,6.292327547896548e-09,0.0
1840,9.554533164646273e-09,0.0
1841,6.420548537278137e-09,0.0
1842,1.0733224087289273e-08,6.708265054555795e-10
1843,7.088293507706567e-09,0.0
1844,8.232841963717874e-09,3.2931368743049916e-09
1845,6.696273757711424e-09,0.0
1846,1.1709002656346001e-09,0.0
1847,1.6179670936367074e-09,0.0
1848,2.413566457803995e-09,0.0
1849,2.513824481908955e-09,0.0
1850,2.0366988096043315e-09,3.394498016007219e-09
1851,4.514607354622058e-09,0.0
1852,2.6042181744401205e-09,0.0
1853,1.7915795513800958e-09,0.0
1854,8.313063126763609e-09,0.0
1855,7.960405667972736e-09,1.0613874223963649e-09
1856,2.5885946719483854e-09,5.177189232874468e-10
1857,3.4170564155999728e-09,0.0
1858,2.936205500958522e-09,1.9574704079872163e-09
1859,1.6804172275897145e-08,0.0
1860,1.0527522853465143e-08,2.746310290291376e-09
1861,5.659156698811785e-09,0.0
1862,1.2198563048571032e-08,9.035972525772706e-10
1863,1.4983863039219614e-09,1.4983863039219614e-09
1864,3.3563094525845827e-09,0.0
1865,7.530950973944073e-09,9.41368871743009e-10
1866,3.8924903300596725e-09,1.4596839292835284e-09
1867,1.0190904120577216e-08,9.7056229719783e-10
1868,6.421836395986702e-09,1.4819622196071691e-09
1869,4.883519366671862e-09,0.0
1870,4.587239033071455e-09,0.0
1871,8.496941816815706e-09,0.0
1872,4.8378714367913744e-09,3.0236697590169115e-09
1873,1.1972008939764578e-09,0.0
1874,8.961913877669758e-09,1.7923826867161097e-09
