year,as_VERB assez_ADV,as_VERB cassé_VERB
1800,1.0690159513160324e-07,0.0
1801,7.143547975374531e-08,0.0
1802,1.4098392853156838e-07,0.0
1803,9.361627917314763e-08,0.0
1804,9.640218934237055e-08,0.0
1805,6.822906328807221e-08,0.0
1806,7.780506905419315e-08,0.0
1807,3.9857372513552036e-08,0.0
1808,2.4926814390369145e-08,0.0
1809,8.584316191218022e-08,0.0
1810,7.722418615685456e-08,0.0
1811,3.259199843341776e-08,0.0
1812,3.467370746079723e-08,0.0
1813,9.202373263406116e-08,0.0
1814,3.776012391654149e-08,3.1466771410748606e-09
1815,4.315557688983063e-08,1.3486118000116676e-08
1816,8.1116134253989e-08,0.0
1817,6.85024303948012e-08,0.0
1818,5.126106117359086e-08,0.0
1819,6.83169290027763e-08,0.0
1820,5.814575843032799e-08,1.1866481131050932e-09
1821,4.339054981983281e-08,0.0
1822,1.012587205195814e-07,1.0025615893027862e-09
1823,7.906149335212831e-08,0.0
1824,3.705289586264371e-08,0.0
1825,4.490776106536032e-08,0.0
1826,6.870227764466108e-08,0.0
1827,5.438191053031005e-08,0.0
1828,3.5771975603893225e-08,0.0
1829,4.029392641768936e-08,7.715858174606183e-09
1830,6.262101237552997e-08,0.0
1831,3.4300654760954785e-08,1.7150327380477393e-08
1832,4.329590197471589e-08,1.3529969367098715e-09
1833,6.139323005527331e-08,1.1583628500844156e-09
1834,8.214387037241977e-08,0.0
1835,6.806779140333674e-08,3.025235173481633e-09
1836,7.728862527756064e-08,1.3441500135158435e-09
1837,8.558205877307046e-08,9.74104708006962e-09
1838,5.9334322344284374e-08,6.312161904276081e-10
1839,6.432156851587933e-08,6.9914751765765e-10
1840,4.522479102320176e-08,5.095750932326837e-09
1841,4.365973182984817e-08,6.420548537278137e-10
1842,6.976596012009395e-08,0.0
1843,5.729703644874462e-08,5.906911071384968e-10
1844,4.8299337862545144e-08,1.6465684371524958e-09
1845,9.263178668561522e-08,1.674068439427856e-09
1846,4.742146231251354e-08,5.854501328173001e-10
