year,vieux_ADJ ans_NOUN,vieux_ADJ camps_NOUN
1800,3.0498395631184394e-07,6.288328968651058e-09
1801,6.714934670526418e-07,0.0
1802,3.938598638342228e-07,4.475680270843441e-09
1803,5.363432933336298e-07,1.950339223455444e-09
1804,8.577322887504124e-07,0.0
1805,4.09374393939288e-07,2.842877711017877e-09
1806,3.630903222529014e-07,0.0
1807,3.644102548605588e-07,0.0
1808,2.923235342677799e-07,0.0
1809,3.7048101830805535e-07,0.0
1810,5.148278887645574e-07,0.0
1811,3.3845535085674783e-07,1.2535384286138651e-08
1812,3.5207148130211863e-07,8.00162425207418e-09
1813,4.054795681440737e-07,0.0
1814,3.020809913323319e-07,0.0
1815,2.778140242298832e-07,0.0
1816,1.969963250303408e-07,0.0
1817,2.849078271083272e-07,1.556873407970727e-09
1818,3.945909838876105e-07,1.1921177378582115e-09
1819,4.1611221490711614e-07,0.0
1820,4.4143308741695364e-07,3.5599443393152796e-09
1821,2.7612168196355924e-07,8.875339574387908e-09
1822,4.280938128431444e-07,2.0051231786055723e-09
1823,3.7158903865019965e-07,9.882686891060644e-10
1824,4.875824402006401e-07,1.6842225392110777e-09
1825,4.1913909853974474e-07,8.805443041381977e-10
1826,3.1532584898741334e-07,8.807984341885344e-10
1827,2.87578927782306e-07,9.217273055917019e-10
1828,2.2105245989223476e-07,2.7516904310687096e-09
1829,1.8175133220665884e-07,8.57317605795771e-10
1830,1.982998867333663e-07,2.0873671680021744e-09
1831,2.1515865000765189e-07,1.5591206103948707e-09
1832,2.2730348803179368e-07,2.705993873419743e-09
1833,3.5793411257145635e-07,0.0
1834,2.8283628239478276e-07,1.4935249481595747e-08
1835,1.958839845883631e-07,1.5126175867408165e-09
1836,2.0565495617574925e-07,3.36037508930076e-09
1837,1.6629358867703559e-07,6.957890930081589e-10
1838,1.6159134474946768e-07,0.0
1839,1.4961756278353278e-07,6.9914751765765e-10
1840,1.4013315308147867e-07,3.821813088222825e-09
1841,1.4189411956522235e-07,6.420548537278137e-10
1842,1.583150606165873e-07,8.049918065466954e-09
1843,1.6007729186640063e-07,2.953455480181333e-09
1844,1.3227432305029652e-07,5.488561272137815e-10
1845,9.82120127446251e-08,0.0
1846,1.4109348001056787e-07,1.1709002656346001e-09
1847,1.0354989399274928e-07,7.011190739092399e-09
1848,8.769291781618449e-08,0.0
1849,1.6507446787272784e-07,9.217356655710773e-09
1850,1.4121111746590032e-07,0.0
1851,1.238292242078387e-07,2.579775504329973e-09
1852,1.4127883218861825e-07,1.3021090872200602e-09
1853,1.3675723664619e-07,5.971931837933653e-09
1854,1.1638288555104737e-07,5.195664454227256e-10
1855,1.496556194524601e-07,1.0613874223963649e-09
1856,1.2684112959959748e-07,0.0
1857,1.4205191689597996e-07,3.4170564155999728e-09
1858,1.7421486120383634e-07,4.893676019968041e-10
1859,1.7771685634215828e-07,0.0
1860,1.4418129978821526e-07,1.373155145145688e-09
1861,1.3487655792232545e-07,1.8863854922557266e-09
1862,1.5451513490916113e-07,4.517986262886353e-10
1863,1.1237897012961184e-07,0.0
1864,1.2082713851668814e-07,4.794727948009836e-10
1865,1.1484700479513776e-07,2.3534221238463715e-09
