year,ces_DET os_NOUN,ces_DET gosses_NOUN
1800,1.9242286555254395e-06,0.0
1801,2.133539481974367e-06,0.0
1802,1.6492882082275173e-06,0.0
1803,2.6836667075258447e-06,0.0
1804,1.7327675152500888e-06,0.0
1805,3.3545957194291987e-06,0.0
1806,2.9738825446656847e-06,0.0
1807,2.3003397870979825e-06,0.0
1808,1.1330370455198135e-06,0.0
1809,1.1114430265024566e-06,0.0
1810,1.2870697361222483e-06,0.0
1811,5.289931870322562e-07,0.0
1812,3.790102823586494e-06,0.0
1813,1.5701548932156584e-06,0.0
1814,1.3750978880011644e-06,0.0
1815,2.0876509765344053e-06,0.0
1816,1.7266148404360138e-06,0.0
1817,1.1443020042634089e-06,0.0
1818,2.4509941738415364e-06,0.0
1819,1.79797741850507e-06,0.0
1820,1.7087733255038984e-06,0.0
1821,2.14191521763496e-06,0.0
1822,2.3129095865215277e-06,0.0
1823,1.8243440536025446e-06,0.0
1824,1.4273786064222804e-06,0.0
1825,2.463762996285368e-06,0.0
1826,1.3423367732912084e-06,0.0
1827,1.6167096674735149e-06,0.0
1828,2.415984155845763e-06,0.0
1829,2.4965087845885137e-06,0.0
1830,1.508122792870381e-06,0.0
1831,1.701000627463145e-06,0.0
1832,1.339467004868311e-06,0.0
1833,2.5449231770835468e-06,0.0
1834,2.481118414721095e-06,0.0
1835,2.6478369932192436e-06,7.563087933704082e-10
1836,1.684892055209275e-06,0.0
1837,2.2265251971020916e-06,0.0
1838,1.3848882787215189e-06,0.0
1839,1.4968748729415893e-06,0.0
1840,1.0006781110405427e-06,0.0
1841,1.5197438614222847e-06,0.0
1842,9.61294389867362e-07,0.0
1843,1.4158865440094814e-06,0.0
1844,9.989181748437659e-07,0.0
1845,1.6556536479583883e-06,0.0
1846,1.3336554047782556e-06,0.0
1847,9.421961877364993e-07,0.0
1848,8.664703941008156e-07,8.045221711050488e-10
1849,1.1756318798461507e-06,0.0
1850,1.0719824672378309e-06,0.0
1851,9.69350622881393e-07,0.0
1852,1.2402588680515692e-06,0.0
1853,1.1513884743408198e-06,0.0
1854,1.0542003252567156e-06,0.0
1855,1.1712410525888117e-06,0.0
1856,7.827910266655635e-07,0.0
1857,9.611691211830475e-07,0.0
1858,6.816890447680635e-07,0.0
1859,6.482336587509963e-07,0.0
1860,8.554756547596298e-07,4.577183909670879e-10
1861,8.021854256412553e-07,0.0
1862,7.346245496364645e-07,0.0
1863,6.862609254199015e-07,0.0
1864,1.2686849544252254e-06,0.0
1865,1.0477435665734447e-06,4.706844358715045e-10
1866,8.651060028341817e-07,0.0
1867,1.3587871876552526e-06,0.0
1868,1.2497881840545233e-06,0.0
1869,1.1232094436763873e-06,4.883519144627257e-10
1870,1.1462363858072422e-06,0.0
1871,1.4253620150839197e-06,0.0
1872,1.3080395007136758e-06,0.0
1873,1.1463198674732666e-06,0.0
1874,1.39566868995189e-06,5.974609140757536e-10
1875,9.28031703040233e-07,0.0
1876,9.758267793813502e-07,0.0
1877,9.15352742936193e-07,0.0
1878,7.566978084128095e-07,0.0
1879,8.381994405226578e-07,0.0
1880,7.18156982770779e-07,6.417846254436199e-10
1881,6.191586692239071e-07,0.0
1882,8.126225026217071e-07,0.0
1883,7.204046283959542e-07,0.0
1884,7.024205572747633e-07,0.0
1885,7.683197793539875e-07,0.0
1886,6.847125035847057e-07,0.0
1887,5.353718250944439e-07,0.0
1888,6.055286831951889e-07,6.340614699951175e-10
1889,6.020796519123905e-07,1.8795409673089125e-09
1890,5.033768815110307e-07,3.2771931834929546e-09
1891,6.087379986752239e-07,1.9122659011827636e-09
1892,4.6449675750181996e-07,3.1342561879199593e-09
1893,6.521763182831819e-07,2.463366621796581e-09
1894,4.5938222115182725e-07,5.041231432301174e-09
1895,4.321365132398114e-07,1.8055843487019274e-09
1896,3.980494618360808e-07,5.89702897624278e-10
1897,5.092547752383325e-07,5.826713556089658e-10
1898,4.4587835645870655e-07,3.3950129374460403e-09
1899,4.377842053315817e-07,4.4220627160029835e-09
1900,4.1839887643391194e-07,4.15284251431558e-09
1901,3.319711012750304e-07,8.383108485165991e-09
1902,3.319351833397377e-07,3.4371988033576883e-09
1903,4.843997558623414e-07,3.7801541896698154e-09
1904,3.547252589441996e-07,8.599400302955473e-09
1905,3.277081930264103e-07,2.5803795211665204e-09
1906,4.058761611247519e-07,2.0576738091193647e-09
1907,3.7645613559789126e-07,1.0799971028596644e-08
1908,4.267997084639319e-07,3.929111258571538e-09
1909,3.8396864354695026e-07,8.251475058784763e-09
1910,3.0942631212838023e-07,1.0688301577133075e-08
1911,3.5859320490772006e-07,1.649316061502759e-08
1912,3.5111498775108885e-07,1.614920552839294e-08
1913,3.372701478099316e-07,3.4999732001494976e-08
1914,4.1318908472476323e-07,1.942055638526341e-08
1915,4.7358663834984327e-07,7.186264650016483e-08
1916,2.351316901183509e-07,5.8233550426223246e-08
1917,3.202195983931233e-07,6.36052623903538e-08
1918,4.2155000556931554e-07,8.614782576188418e-08
1919,2.0257266619694292e-07,5.8930231361387087e-08
1920,3.097042728938959e-07,4.846228307542333e-08
1921,3.05181711013347e-07,3.710646367949266e-08
