year,beaux_ADJ âges_NOUN,beaux_ADJ gages_NOUN
1800,2.829747991484055e-08,0.0
1801,9.524730337773235e-09,0.0
1802,2.6854081625060644e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,2.9662210465630778e-08,0.0
1805,5.1171799242411e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,5.97860605466849e-08,0.0
1808,4.758755522971114e-08,0.0
1809,3.162642769893864e-08,0.0
1810,9.360507036149102e-09,0.0
1811,3.5099073869560016e-08,2.5070767684098882e-09
1812,0.0,0.0
1813,5.176335093892703e-08,0.0
1814,4.72001566720337e-08,0.0
1815,2.4275012222574333e-08,0.0
1816,3.0128852301913867e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,1.0729059418679299e-08,0.0
1819,3.415846450138815e-08,0.0
1820,6.051905643289501e-08,0.0
1821,3.747365440176509e-08,0.0
1822,3.208197085768916e-08,0.0
1823,4.5460360809101985e-08,0.0
1824,1.0947446504872005e-08,0.0
1825,5.107157008410468e-08,0.0
1826,1.4092774947016551e-08,0.0
1827,3.410390903013649e-08,0.0
1828,2.4765213879618386e-08,0.0
1829,2.5719527840806222e-08,0.0
1830,6.992679857376061e-08,0.0
1831,2.0268567268999504e-08,0.0
1832,3.788391467196561e-08,1.3529969367098715e-09
1833,3.4750886612755494e-09,0.0
1834,9.427876079826092e-08,0.0
1835,1.5126175867408165e-08,1.5126175867408165e-09
1836,2.016225053580456e-08,6.72075017860152e-09
1837,1.3219993100221927e-08,6.957890930081589e-10
1838,7.574594285131298e-09,0.0
1839,1.8876983531868063e-08,0.0
1840,1.6561189752906103e-08,6.369688665408546e-10
1841,7.512041833024341e-08,6.420548537278137e-09
1842,2.817471411731276e-08,4.024959032733477e-09
1843,3.603215859016018e-08,1.7720733769266417e-09
1844,2.9089374464774664e-08,2.195424508855126e-09
1845,2.2320911341466854e-08,1.674068439427856e-09
1846,3.8639708321852595e-08,0.0
1847,2.3730184040005042e-08,1.6179670936367074e-09
1848,2.333114323960217e-08,1.367687652020777e-08
1849,1.75967720394965e-08,5.02764896381791e-09
1850,2.1724787302446202e-08,4.752297222410107e-09
1851,2.3862924081186065e-08,1.0319102017319892e-08
1852,2.0833745395520964e-08,1.3021090872200602e-09
1853,2.329053394589664e-08,0.0
1854,2.0782657372819813e-08,5.195664343204953e-09
1855,3.767925349507095e-08,1.5920811335945473e-09
1856,4.34883880018333e-08,1.0354378465748937e-09
1857,2.39193944651106e-08,7.810414537345878e-09
1858,2.8872689128434104e-08,9.787352039936081e-10
1859,1.5785737161877478e-08,7.129042689513199e-09
1860,3.707518914097818e-08,2.288591982591015e-09
1861,2.0750240636857598e-08,1.4147891747029462e-09
1862,1.445755604123633e-08,2.2589932147099034e-09
1863,3.3963420520422005e-08,7.491931519609807e-09
1864,4.17141343689309e-08,1.4384183844029508e-09
1865,2.9653119071326728e-08,2.8241067262513297e-09
1866,3.6978658357611494e-08,2.919367858567057e-09
1867,4.804283548764943e-08,2.91168689159349e-09
1868,1.5807597009143137e-08,5.433861360870651e-09
1869,4.0533208789383934e-08,3.4184632902167778e-09
1870,2.064257564882155e-08,3.4404292748035914e-09
1871,1.4869648623516696e-08,0.0
1872,1.3908880269752899e-08,2.4189357183956872e-09
1873,2.6338419445437466e-08,2.3944017879529156e-09
1874,1.6728906260254917e-08,1.1949218281515073e-09
1875,1.4303817685856757e-08,2.2886108563824337e-09
1876,2.418405919968336e-08,8.464420275799966e-09
1877,1.4225077116236662e-08,1.0514186854493346e-08
1878,2.4156355138416075e-08,1.2078177347163432e-09
1879,1.1607718342077078e-08,3.0546627449723474e-09
1880,3.0805662021293756e-08,2.5671385017744797e-09
1881,2.2312024228199334e-08,6.972507571312292e-10
1882,1.3976308999019693e-08,3.3276925659464496e-09
1883,1.2638677659992936e-08,1.2638677882037541e-09
1884,2.706695667598069e-08,1.3203393933736152e-09
1885,2.127059772760731e-08,1.2891271383708158e-09
