year,seuls_ADJ os_NOUN,seuls_ADJ gosses_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,4.475680270843441e-09,0.0
1803,1.1702034896643454e-08,0.0
1804,3.213406074564773e-08,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,5.693910054560547e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,1.4305412854298538e-08,0.0
1819,6.210630232317271e-09,0.0
1820,7.119888678630559e-09,0.0
1821,5.9168927535324656e-09,0.0
1822,1.2030739071633434e-08,0.0
1823,1.1859224713361982e-08,0.0
1824,1.6842225392110777e-08,0.0
1825,1.4088708866211164e-08,0.0
1826,1.4092774947016551e-08,0.0
1827,9.217273055917019e-10,0.0
1828,3.668920500743411e-09,0.0
1829,1.714635211591542e-09,0.0
1830,1.878630406793036e-08,0.0
1831,3.1182412207897414e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,0.0,0.0
1834,8.401078055442213e-09,0.0
1835,3.781543966852041e-09,0.0
1836,7.392825018825988e-09,0.0
1837,7.653680356156656e-09,0.0
1838,3.787297142565649e-09,0.0
1839,6.9914751765765e-10,0.0
1840,3.1848443882154243e-09,0.0
1841,1.733548060656176e-08,0.0
1842,0.0,0.0
1843,1.1813821920725331e-08,0.0
1844,2.7442805805577564e-09,0.0
1845,8.37034175305007e-09,0.0
1846,9.952652035849496e-09,0.0
1847,5.393223645455691e-10,0.0
1848,4.02261068899179e-09,0.0
1849,0.0,0.0
1850,2.7155984128057753e-09,0.0
1851,7.739326512989919e-09,0.0
1852,3.906327261660181e-09,0.0
1853,2.030456869306363e-08,0.0
1854,3.63696517347023e-09,0.0
1855,3.1841622671890946e-09,0.0
1856,8.801221973442352e-09,0.0
1857,6.345961978126979e-09,0.0
1858,5.872411001917044e-09,0.0
1859,3.5645213447565993e-09,0.0
1860,3.204028820036342e-09,0.0
1861,5.659156698811785e-09,0.0
1862,4.066187830886747e-09,0.0
1863,0.0,0.0
1864,9.589456340108882e-09,0.0
1865,3.294791106611683e-09,0.0
1866,2.432806400776144e-09,0.0
1867,0.0,0.0
1868,9.87974857480367e-09,0.0
1869,1.3673853160867111e-08,0.0
1870,1.0321287824410774e-08,0.0
1871,4.248470908407853e-09,0.0
1872,7.861540751719076e-09,0.0
1873,7.183205141814142e-09,0.0
1874,0.0,0.0
1875,1.2015206607429718e-08,0.0
1876,8.464420275799966e-09,0.0
1877,3.710889595609501e-09,0.0
1878,4.22736201599605e-09,0.0
1879,7.94212251520321e-09,0.0
1880,3.2089231272180996e-09,0.0
1881,2.091752326904839e-09,0.0
1882,1.9966155395678697e-09,0.0
1883,0.0,0.0
1884,6.601696966868076e-10,0.0
1885,5.80107206715752e-09,0.0
1886,5.808117542471791e-09,0.0
1887,2.6115698492645834e-09,0.0
1888,6.340614699951175e-09,0.0
1889,3.759081934617825e-09,0.0
1890,5.243509182406569e-09,0.0
1891,7.649063604731055e-09,0.0
1892,8.775916882086676e-09,0.0
1893,1.847525021858587e-09,0.0
1894,1.071261657159539e-08,0.0
1895,4.814891596538473e-09,0.0
1896,5.307326134129653e-09,0.0
1897,7.574727511894253e-09,0.0
1898,5.6583546736987955e-09,0.0
1899,3.3165470370022376e-09,0.0
1900,4.671947717582725e-09,0.0
1901,3.912117296778206e-09,0.0
1902,5.4013122863239005e-09,0.0
1903,2.7001101354784396e-09,0.0
1904,6.987012746151322e-09,0.0
1905,5.160759042333041e-10,0.0
1906,1.0288369045596824e-09,0.0
1907,2.057137349353866e-09,0.0
1908,4.911389073214423e-10,0.0
1909,1.1552065082298668e-08,0.0
1910,1.6032452032632705e-09,0.0
1911,6.384448969498635e-09,0.0
1912,2.6047106693738442e-09,0.0
