year,six_DET os_NOUN,six_DET gosses_NOUN
1800,7.545995117652637e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,4.475680270843441e-09,0.0
1803,1.755305234496518e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,1.449867568226182e-07,0.0
1806,1.729001475325731e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,2.25903047379461e-08,0.0
1810,3.978215445954447e-08,0.0
1811,0.0,0.0
1812,5.3344166417446104e-08,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,3.776112933451259e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,0.0,0.0
1818,3.2187177367859476e-08,0.0
1819,2.4842520929269085e-08,0.0
1820,7.119888678630559e-09,0.0
1821,1.8736827200882544e-08,0.0
1822,1.5038423839541792e-08,0.0
1823,1.7788837070042973e-08,0.0
1824,3.2842340402794434e-08,0.0
1825,4.3146670236637874e-08,0.0
1826,7.927186018719112e-09,0.0
1827,3.594736597278825e-08,0.0
1828,4.494427585655103e-08,0.0
1829,5.401101077495696e-08,0.0
1830,3.235419043789989e-08,0.0
1831,3.274153215215847e-08,0.0
1832,1.7588959622116818e-08,0.0
1833,4.6334514003376626e-09,0.0
1834,1.6802156110884425e-08,0.0
1835,1.663879345414898e-08,0.0
1836,5.779845224651581e-08,0.0
1837,3.409366655660051e-08,0.0
1838,6.312161904276081e-09,0.0
1839,2.4470162784950844e-08,0.0
1840,1.1465439264668476e-08,0.0
1841,2.3113974734201292e-08,0.0
1842,1.341653010911159e-08,0.0
1843,1.2404512972352677e-08,0.0
1844,5.488561272137815e-10,0.0
1845,1.0602432709561072e-08,0.0
1846,1.8148954339380907e-08,0.0
1847,1.0786447290911383e-09,0.0
1848,1.689496542667257e-08,0.0
1849,1.1731181359664333e-08,0.0
1850,1.0183494048021657e-08,0.0
1851,1.4188765717904062e-08,0.0
1852,1.4323200403509873e-08,0.0
1853,3.5831591027601917e-09,0.0
1854,6.234797567117312e-09,0.0
1855,6.8990182455763716e-09,0.0
1856,4.141751386299575e-09,0.0
1857,3.905207268672939e-09,0.0
1858,8.808616946964776e-09,0.0
1859,1.5276520048956854e-09,0.0
1860,1.8308735638683515e-09,0.0
1861,6.13075279431996e-09,0.0
1862,4.517986429419807e-09,0.0
1863,2.9967726078439227e-09,0.0
1864,1.0548401929710849e-08,0.0
1865,7.530951195988678e-09,0.0
1866,3.892490385570824e-09,0.0
1867,1.4073153309368536e-08,0.0
1868,3.655506830568811e-08,0.0
1869,8.790334682373668e-09,0.0
1870,4.013834153937523e-09,0.0
1871,1.805600113868877e-08,0.0
1872,2.1165687758006868e-08,0.0
1873,1.5563611011071288e-08,0.0
1874,4.182226476245887e-08,0.0
1875,1.716458086775674e-09,0.0
1876,1.934724691565748e-08,0.0
1877,3.0924081073635534e-09,0.0
1878,7.850815053611626e-09,0.0
1879,1.5273313280772527e-08,0.0
1880,5.134277003548959e-09,0.0
1881,2.0220271901294495e-08,0.0
1882,1.3310770041741193e-08,0.0
1883,7.58320695126713e-09,0.0
1884,7.2618666635548834e-09,0.0
1885,9.66845359329227e-09,0.0
1886,1.097088819790315e-08,0.0
1887,3.9173548849191775e-09,1.9586774424595887e-09
1888,8.242799331981132e-09,0.0
1889,5.012109394186837e-09,0.0
1890,7.865263995654459e-09,0.0
1891,7.649063604731055e-09,0.0
1892,3.761107425503951e-09,0.0
1893,9.23762488724833e-09,0.0
1894,6.301539290376468e-10,0.0
1895,1.2037228991346183e-09,6.018614495673091e-10
1896,4.7176231254830725e-09,0.0
1897,7.574727511894253e-09,1.7480140668268973e-09
1898,2.0370077180587032e-08,0.0
1899,2.2110313580014918e-09,0.0
1900,3.114631885736685e-09,0.0
1901,7.824234704578714e-09,0.0
1902,1.4730852093691738e-09,0.0
1903,4.320176216765503e-09,5.400220270956879e-10
1904,1.6123875568041512e-09,5.374625189347171e-10
1905,3.096455536422127e-09,0.0
1906,3.6009292214700395e-09,0.0
1907,0.0,0.0
1908,1.964555629285769e-09,0.0
1909,6.0510818578052294e-09,0.0
1910,2.137660271017694e-09,0.0
1911,1.3300935242099854e-08,0.0
1912,3.125652625612929e-09,0.0
1913,7.954484737560108e-09,5.30298971401777e-10
1914,1.6072185360371805e-08,1.3393487430235496e-09
1915,2.3561523843085297e-09,0.0
1916,1.0987462051303964e-09,3.2962386153911893e-09
1917,5.483212106582869e-09,7.676496771580332e-09
1918,1.1486376294556067e-09,0.0
1919,0.0,3.6831394045755417e-09
1920,7.572231730534895e-10,6.815008557481406e-09
1921,1.5145494747237365e-08,0.0
1922,1.4755870969551665e-09,1.1066902949607993e-08
1923,2.1231896241147297e-09,0.0
1924,0.0,0.0
1925,4.399271169575059e-09,0.0
1926,4.458455382660986e-09,0.0
1927,0.0,2.2298449753321847e-09
1928,0.0,2.2852082448565625e-09
1929,1.1140406375176326e-09,0.0
1930,0.0,0.0
1931,1.1405356659111021e-09,6.843213995466613e-09
1932,2.1919073223131136e-09,2.1919073223131136e-09
1933,0.0,2.2941324395731044e-09
1934,2.3963160344919743e-09,0.0
1935,0.0,2.393656828303392e-09
1936,0.0,0.0
1937,1.2591118148108649e-09,0.0
