year,plusieurs_DET âges_NOUN,plusieurs_DET ages_NOUN,plusieurs_DET gages_NOUN
1800,7.231578535993322e-08,0.0,0.0
1801,2.8574191901498125e-08,0.0,0.0
1802,6.265952379180817e-08,0.0,1.1189200677108602e-08
1803,6.826187615160961e-08,0.0,5.851017448321727e-09
1804,4.943701981119375e-08,0.0,0.0
1805,1.7057265822018053e-08,0.0,0.0
1806,1.52728468094665e-07,0.0,0.0
1807,3.131650672116848e-08,0.0,0.0
1808,4.985362878073829e-08,0.0,4.5321479902327155e-09
1809,1.581321384946932e-08,0.0,0.0
1810,5.616304221689461e-08,0.0,2.3401267590372754e-09
1811,1.7549536934780008e-08,2.5070767684098882e-09,0.0
1812,8.801787032552966e-08,0.0,0.0
1813,4.888760685162197e-08,0.0,0.0
1814,2.8320094713762956e-08,0.0,5.034683425719777e-08
1815,5.3944472000466703e-08,0.0,2.697223555614414e-09
1816,1.622322720606917e-08,0.0,0.0
1817,3.7364962679475866e-08,6.227493631882908e-09,0.0
1818,7.271917934481564e-08,0.0,1.668964877410417e-08
1819,6.521161566297451e-08,0.0,0.0
1820,1.6613073583471305e-08,0.0,0.0
1821,4.437669787193954e-08,0.0,0.0
1822,2.606660132187244e-08,0.0,1.0025615893027862e-09
1823,3.854247765389118e-08,0.0,1.087095569118901e-08
1824,2.189489300974401e-08,0.0,1.6842225392110777e-08
1825,3.78634048558979e-08,0.0,1.2327619813845558e-08
1826,4.844391554570393e-08,0.0,3.5231937367541377e-09
1827,5.8068820862899884e-08,0.0,4.608636583469661e-09
1828,1.9261833017480967e-08,9.172301251858528e-10,0.0
1829,3.600733933240008e-08,0.0,0.0
1830,1.0436836106464398e-07,0.0,4.174734336004349e-09
1831,5.76874619184764e-08,0.0,0.0
1832,6.494385473843067e-08,1.3529969367098715e-09,0.0
1833,1.2510318470049242e-07,1.1583628500844156e-09,1.1583628500844156e-09
1834,1.1668163368838691e-07,9.334530925997342e-10,1.8669061851994684e-09
1835,9.680752555141225e-08,7.563087933704082e-10,2.2689263801112247e-09
1836,5.040562456315456e-08,1.3441500135158435e-09,1.3441500135158435e-09
1837,4.731365876864402e-08,0.0,1.1828414692161004e-08
1838,4.41851348842448e-08,0.0,9.468243078458727e-09
1839,8.459684863737493e-08,3.4957374772659477e-09,8.38977065598101e-09
1840,6.560779580722098e-08,0.0,7.0066574764382494e-09
1841,6.613164771351876e-08,0.0,5.1364388298225094e-09
1842,6.305769373327053e-08,1.341653010911159e-09,6.708265054555795e-09
1843,8.033399284679277e-08,0.0,1.7720733769266417e-09
1844,2.3051956898889614e-08,5.488561272137815e-10,6.586273748609983e-09
1845,2.566904894196753e-08,0.0,9.48638767539478e-09
1846,7.903577015078156e-08,1.1709002656346001e-09,8.196302303531411e-09
1847,2.588747349818732e-08,5.393223645455691e-10,2.1572894581822766e-09
1848,5.068489628001771e-08,8.045221711050488e-10,0.0
1849,5.865590413378641e-08,0.0,0.0
1850,5.295416904971262e-08,0.0,9.504594444820214e-09
1851,3.353708066811123e-08,0.0,6.449438760824933e-10
1852,4.49227646193151e-08,0.0,7.812654523320361e-09
