year,vieux_ADJ âges_NOUN,vieux_ADJ ages_NOUN,vieux_ADJ gages_NOUN
1800,1.5091990235305275e-07,3.144164484325529e-09,0.0
1801,8.810375362600098e-08,0.0,0.0
1802,3.3567602031325805e-08,0.0,0.0
1803,3.510610468993036e-08,0.0,0.0
1804,7.415552971679062e-08,0.0,0.0
1805,1.051864728651708e-07,0.0,0.0
1806,7.204172902675055e-08,0.0,0.0
1807,6.547996633798903e-08,0.0,0.0
1808,8.611080914988634e-08,0.0,0.0
1809,7.00299480627109e-08,0.0,0.0
1810,1.0062544930633521e-07,0.0,0.0
1811,4.011322829455821e-08,0.0,0.0
1812,5.067695596494559e-08,0.0,0.0
1813,6.901780125190271e-08,0.0,0.0
1814,1.5733386149463513e-08,0.0,0.0
1815,2.6972236000233352e-08,0.0,0.0
1816,9.270415546325239e-09,0.0,0.0
1817,6.85024303948012e-08,0.0,0.0
1818,9.417730240102173e-08,0.0,0.0
1819,4.864993385922389e-08,0.0,0.0
1820,7.357218123615894e-08,1.1866481131050932e-09,0.0
1821,4.536284592404627e-08,1.97229765852569e-09,0.0
1822,5.714601059025881e-08,0.0,0.0
1823,1.363810753218786e-07,9.882686891060644e-10,0.0
1824,9.936913158981042e-08,8.421112696055388e-10,3.3684450784221553e-09
1825,8.981552213072064e-08,1.7610886082763955e-09,8.805443041381977e-10
1826,8.103345550125596e-08,8.807984341885344e-10,8.807984341885344e-10
1827,7.834682236307344e-08,0.0,9.217273166939322e-09
1828,7.704733206992387e-08,0.0,1.8344602503717056e-09
1829,1.500305870649754e-07,1.714635211591542e-09,2.571952872898464e-09
1830,1.3880992355552735e-07,1.0436835840010872e-09,0.0
1831,1.2940701310526492e-07,0.0,4.677361609140007e-09
1832,1.3665268738805025e-07,1.3529969367098715e-09,1.3529969367098715e-09
1833,1.4942881421120546e-07,1.1583628500844156e-09,1.1583628500844156e-09
1834,2.0162586622518575e-07,9.334530925997342e-10,1.6802156110884425e-08
1835,1.0210168710500511e-07,2.2689263801112247e-09,0.0
1836,1.4852857077585213e-07,1.3441500135158435e-09,2.016224964762614e-09
1837,1.1063046656545339e-07,5.566312633042969e-09,6.957891152126194e-09
1838,1.0730675370496101e-07,6.312161904276081e-10,7.574594285131298e-09
1839,1.5381245077605854e-07,2.09744255297295e-09,4.194885327990505e-09
1840,1.1847620839944284e-07,1.2739377330817092e-09,6.369688665408546e-10
1841,1.7463892731939268e-07,0.0,0.0
1842,2.4485166250087786e-07,5.366612043644636e-09,1.341653010911159e-09
1843,1.5771452410717757e-07,2.9534555912036353e-09,2.3627644285539873e-09
1844,1.3446975799524807e-07,1.097712254427563e-09,0.0
1845,2.0088820917862904e-07,3.90615950696116e-09,8.928364714222425e-09
1846,1.4577707929674943e-07,2.9272506640865004e-09,1.7563503984519002e-09
1847,1.3213397664912918e-07,1.6179670936367074e-09,0.0
1848,1.761903547503607e-07,3.218088684420195e-09,8.045221711050488e-10
1849,1.566950658116184e-07,8.379414939696517e-10,0.0
1850,2.1928457272224477e-07,1.3577992064028876e-09,3.394498016007219e-09
1851,2.050921494856084e-07,6.449438760824933e-10,6.449438760824933e-10
1852,1.7708683230921451e-07,1.3021090872200602e-09,1.9531636308300904e-09
1853,1.737832207027168e-07,0.0,1.1943863675867306e-09
1854,1.7093735493745044e-07,1.0391328908454511e-09,4.676098175337984e-09
1855,1.937032010346229e-07,1.0613874223963649e-09,0.0
1856,1.5376251383258932e-07,1.5531567698623405e-09,2.0708756931497874e-09
