year,mêmes_ADJ arts_NOUN,mêmes_ADJ gares_NOUN
1800,1.3519907327008696e-07,0.0
1801,1.9287579178239866e-07,0.0
1802,1.6112448975036386e-07,0.0
1803,1.501761204281138e-07,0.0
1804,1.5325475999361515e-07,0.0
1805,1.506725197941705e-07,0.0
1806,1.671368039524168e-07,0.0
1807,1.537355700520493e-07,0.0
1808,1.3823051858707913e-07,0.0
1809,7.002994495408643e-08,0.0
1810,1.4040760731859336e-07,0.0
1811,1.579458341893769e-07,0.0
1812,1.2535878113340004e-07,0.0
1813,5.1763349606659403e-08,0.0
1814,6.922689443911167e-08,0.0
1815,1.0519171667056071e-07,0.0
1816,6.952811304472561e-08,0.0
1817,9.963989811012652e-08,0.0
1818,1.0013788909191135e-07,0.0
1819,9.108924103884419e-08,0.0
1820,8.06920743556816e-08,1.1866481131050932e-09
1821,1.311577904061778e-07,0.0
1822,1.31335568198665e-07,0.0
1823,8.301457210535546e-08,0.0
1824,8.084268099395331e-08,0.0
1825,1.0654586324321258e-07,0.0
1826,1.435701397767275e-07,0.0
1827,1.308852830561591e-07,0.0
1828,5.961995697134626e-08,0.0
1829,1.5603180258949578e-07,0.0
1830,9.184415716845251e-08,0.0
1831,5.7687463472788636e-08,0.0
1832,1.0282776508052649e-07,1.3529969367098715e-09
1833,8.224376557564028e-08,0.0
1834,4.947301235347368e-08,0.0
1835,4.386591001548368e-08,0.0
1836,5.779845224651581e-08,0.0
1837,4.6617870452791976e-08,0.0
1838,3.787297231383491e-08,0.0
1839,3.495737610492711e-08,0.0
1840,3.184844388215424e-08,6.369688665408546e-10
1841,2.43980835534785e-08,6.420548537278137e-10
1842,6.976596012009395e-08,0.0
1843,7.560846171372759e-08,0.0
1844,6.421616660645668e-08,0.0
1845,6.305657507255091e-08,0.0
1846,7.083946940156238e-08,0.0
1847,8.143767615820252e-08,0.0
1848,2.011305433313737e-08,8.045221711050488e-10
1849,1.8434713311421547e-08,0.0
1850,1.425689166723032e-08,0.0
1851,2.0638204034639784e-08,0.0
1852,2.7344290387532055e-08,0.0
1853,3.4637203327747557e-08,5.971931837933653e-10
1854,3.636965217879151e-08,0.0
