year,es_VERB en_ADP,es_VERB dans_ADP
1800,2.2009151834367913e-08,1.0061326349841693e-07
1801,2.3811825400343878e-08,5.476719877606229e-08
1802,5.147032311469957e-08,6.265952379180817e-08
1803,2.145373123596528e-08,6.826187615160961e-08
1804,1.9774807569206132e-08,3.707776485839531e-08
1805,2.842877711017877e-09,8.812921237222326e-08
1806,2.5935023018064385e-08,3.7461699520235925e-08
1807,1.4234775136401367e-08,5.124519120158766e-08
1808,3.3991110370834576e-08,7.704651894258063e-08
1809,2.25903047379461e-08,4.292158095609011e-08
1810,1.1700633351097167e-08,7.488405628919281e-08
1811,1.0028307073639553e-08,1.1031137603367824e-07
1812,2.400487453257938e-08,1.600324850414836e-08
1813,2.5881675469463516e-08,9.777521370324394e-08
1814,3.4613449884091096e-08,8.181360300341112e-08
1815,1.6183340889597275e-08,6.203614333344376e-08
1816,2.3176038865813098e-08,1.0197457100957763e-07
1817,3.42512151974006e-08,3.89218364205135e-08
1818,1.9073883805731384e-08,2.6226590676969863e-08
1819,2.3807414706311647e-08,4.7614829967734806e-08
1820,1.0679833017945839e-08,6.40789963313182e-08
1821,6.7058117281249e-08,7.396116152857957e-08
1822,4.912551787583652e-08,5.81485721795616e-08
1823,5.5343047478118024e-08,6.819053632867167e-08
1824,2.863178316658832e-08,3.2842340402794434e-08
1825,1.7610886970942374e-08,6.956300069305144e-08
1826,1.2331177856594877e-08,4.580151724553616e-08
1827,1.474763688946723e-08,4.5164637085814974e-08
1828,1.6510142586412258e-08,6.053718948351161e-08
1829,1.0287811491593857e-08,4.200856196234781e-08
1830,2.400472176589119e-08,7.618890407457002e-08
1831,3.4300654760954785e-08,7.171954763407484e-08
1832,3.6530916958099624e-08,2.976593194148336e-08
1833,2.7800709290204395e-08,4.170106393530659e-08
1834,2.0535967593104942e-08,4.573920264761e-08
1835,4.689114518896531e-08,6.201732105637348e-08
1836,6.653542783396915e-08,6.720750284072707e-08
1837,2.365682938432201e-08,6.957890841263747e-08
1838,4.292270006089893e-08,7.32210807541378e-08
1839,2.516931019158619e-08,9.088918062616358e-08
1840,3.567025785855549e-08,1.0701077002295278e-07
1841,4.687000298986277e-08,7.126809009605495e-08
1842,2.750388716776797e-08,8.117000671603591e-08
1843,3.18973185642335e-08,1.0514301440611717e-07
1844,3.732221642849254e-08,8.013299629405779e-08
1845,1.7298706467272496e-08,2.0925854987696724e-07
1846,4.0981507964943376e-08,8.840296872314468e-08
1847,1.88762818709165e-08,6.364003724002032e-08
1848,2.252662056889676e-08,5.229394162142853e-08
1849,1.0893239199560867e-08,4.1059134758825167e-08
1850,1.9009188889640427e-08,6.042206646128534e-08
1851,3.418202609850596e-08,5.030562122421145e-08
1852,1.7578472011337e-08,5.794385615764952e-08
1853,2.8665272822081533e-08,1.0630038360659455e-07
1854,1.0391328686409906e-08,8.157193320812439e-08
1855,2.1227748447927297e-08,6.739809776945549e-08
1856,2.329735160344626e-08,8.024642994541864e-08
1857,4.002837528105374e-08,8.249750133026978e-08
1858,3.425573069648635e-08,1.0276719564217274e-07
1859,2.7497735644033128e-08,8.860381917052962e-08
1860,1.9681891672007623e-08,1.016134802966917e-07
1861,3.6312922446768425e-08,1.0988195653371946e-07
1862,2.3945327498609004e-08,6.505900529418795e-08
1863,4.894728533599846e-08,9.889349456004837e-08
1864,2.3973639073915365e-08,2.1240644509923357e-07
1865,2.729969672543575e-08,1.736825510079143e-07
1866,4.865612979187972e-08,8.855415539743561e-08
1867,4.804283548764943e-08,6.502767213589777e-08
1868,6.91582400236257e-08,6.817025943739452e-08
1869,3.369628132077196e-08,7.471784202461862e-08
1870,1.6628741050794815e-08,7.282241654138488e-08
1871,2.1242353653860846e-08,7.328612383616928e-08
1872,4.051717183983783e-08,9.25242938931703e-08
1873,3.4718826924518e-08,5.866284541466982e-08
1874,2.2584022474347876e-07,7.647499700169647e-08
1875,5.607096653648114e-08,9.154443370018583e-08
1876,2.8416270225761764e-08,6.106474748079904e-08
1877,2.6594708657512456e-08,8.596894218726447e-08
1878,4.1065803202400275e-08,7.428079129567777e-08
1879,7.331190232662266e-08,4.7652736867576095e-08
1880,3.5939940801199555e-08,4.8133846464182284e-08
1881,3.346803723047742e-08,6.693606963148468e-08
1882,2.3959387362992857e-08,6.455723577936112e-08
1883,3.09647596452578e-08,5.9401784824331116e-08
1884,4.357119820497246e-08,7.393900602892245e-08
1885,3.996294140051759e-08,5.607703101873085e-08
1886,4.646494033977433e-08,5.8726520535401505e-08
1887,3.395040693021656e-08,5.810742820244741e-08
1888,4.5018364147608736e-08,5.135897751529228e-08
1889,3.633779144252003e-08,7.330209683686917e-08
1890,2.818386235503567e-08,4.653614382732485e-08
1891,1.8485238229004608e-08,4.52569608455633e-08
1892,9.026658176480851e-08,7.647585253955924e-08
1893,2.771287377356657e-08,4.310891560388441e-08
1894,2.7096618282484997e-08,3.7809236630437226e-08
1895,2.2870734639468537e-08,6.138986918813316e-08
1896,2.7716035688740703e-08,5.425266635938897e-08
1897,3.088158351260972e-08,5.59364494723269e-08
1898,3.395012981854961e-08,5.997856078465702e-08
1899,3.814029270188257e-08,6.522542328468717e-08
1900,2.906989848838748e-08,4.82767934517625e-08
1901,3.4650181390816215e-08,5.309301798206434e-08
1902,3.0443761289689064e-08,5.794134949610452e-08
1903,4.212171944573129e-08,4.104167317109386e-08
1904,4.03096898082822e-08,6.718281841955331e-08
1905,3.612531429553201e-08,5.676835002077496e-08
1906,2.623534101076075e-08,6.430230481413446e-08
1907,2.262851062084792e-08,6.017126769064518e-08
1908,2.89771957540097e-08,8.152906127989468e-08
1909,3.740668930163338e-08,7.536347312875336e-08
1910,5.2907090264397993e-08,8.016226071827504e-08
1911,1.8621308939259507e-08,7.022893866448499e-08
1912,3.229841283314272e-08,5.730363383804615e-08
1913,3.075734156254839e-08,5.1439001613751145e-08
1914,4.486818383497848e-08,5.5582971392187375e-08
1915,3.7698438148936475e-08,4.2410742917553534e-08
1916,2.7468654906215306e-08,6.592477164168997e-08
1917,2.7416060532914344e-08,6.031533461570149e-08
1918,4.5945505178224266e-08,7.695872294988249e-08
1919,2.3940405213807026e-08,5.064316571656846e-08
1920,4.0132828615924154e-08,5.3762847063154595e-08
1921,3.180553775905537e-08,7.345565222749428e-08
1922,2.5822775029382683e-08,6.197465596269325e-08
1923,3.3971033985835675e-08,8.598917844437892e-08
1924,2.836157442231979e-08,7.734974616369072e-08
1925,2.969508017258704e-08,1.0118323667818174e-07
1926,6.576221522891501e-08,7.133528612257578e-08
1927,2.1183527820767267e-08,7.358488141040453e-08
1928,3.085031252680892e-08,6.741364066975564e-08
1929,2.33948540540041e-08,7.241264210477993e-08
1930,3.466189113510154e-08,5.671945813023882e-08
1931,3.649714130915527e-08,6.386999995555698e-08
1932,3.287861005674131e-08,8.329247525029615e-08
1933,2.2941325283909464e-08,2.982372038218273e-08
1934,4.7926320689839486e-08,5.03226385006883e-08
1935,2.8723881939640705e-08,5.0266791618014395e-08
1936,2.9099314957647948e-08,4.7286388138445545e-08
1937,2.7700460591972842e-08,4.406891207509034e-08
1938,3.8895642262559704e-08,5.4453899167583586e-08
1939,2.7529290846928234e-08,5.8117393564316444e-08
1940,4.057252667166722e-08,5.5787225505810056e-08
1941,5.312704587367989e-08,6.198155277914452e-08
1942,5.76500234217292e-08,1.6688165338507588e-07
1943,5.8064703267746154e-08,3.774205836748479e-08
1944,4.819779064746399e-08,5.1410976809052045e-08
1945,4.1391576388605245e-08,1.4160276551322681e-07
1946,2.3665876369705074e-08,8.491873426663687e-08
1947,5.1259746669529704e-08,8.58302708905967e-08
1948,4.022598432129598e-08,6.740570768215548e-08
1949,3.6322930441201606e-08,6.18471539537424e-08
1950,8.401935502888591e-08,1.0316300969037684e-07
1951,2.8785784422780125e-08,6.610068936652169e-08
1952,3.268889159357968e-08,7.908602661643727e-08
1953,3.663101466599983e-08,8.942276563672635e-08
1954,3.224936762080688e-08,6.645324246434825e-08
1955,2.2525458831523792e-08,7.133062274178315e-08
1956,5.4943193106282706e-08,7.064124929456739e-08
1957,4.59421976017893e-08,7.509781951853256e-08
1958,2.5643954515430778e-08,7.527741613388983e-08
1959,3.720359131875739e-08,7.285702763315527e-08
1960,3.252791813679323e-08,7.889750208711632e-08
1961,4.238377115939329e-08,7.156604153735202e-08
1962,5.2638238656754766e-08,1.0273969125451643e-07
1963,4.332255798544793e-08,7.888584718784841e-08
1964,5.1105335074908e-08,8.8217539717661e-08
1965,3.8851506900527966e-08,7.38725844939836e-08
1966,4.3204781974282014e-08,8.087048930516261e-08
1967,5.571279260152551e-08,7.937840468263957e-08
1968,3.8626176035450044e-08,9.342144918766948e-08
1969,4.859681013158479e-08,7.448482841621029e-08
1970,5.28853369985427e-08,7.817832425871529e-08
1971,5.1897814046242274e-08,7.75897995852759e-08
1972,3.796308689629768e-08,6.925697987325563e-08
1973,3.583582497412863e-08,7.553089176326466e-08
1974,3.037808582462276e-08,6.300640364997889e-08
1975,4.7976435268992645e-08,7.482039166006871e-08
1976,3.428116102099921e-08,6.799097279630573e-08
1977,3.937443793233797e-08,7.757351988546546e-08
1978,4.514849294423584e-08,9.08910477992464e-08
1979,3.043026097770962e-08,7.724605100012383e-08
1980,3.865902442612423e-08,8.86883526618476e-08
1981,3.858585273519566e-08,9.172047144012652e-08
1982,3.662426451001011e-08,8.566352960315271e-08
1983,3.915495838668903e-08,7.136307078603465e-08
1984,3.2474446243213606e-08,6.900819882194043e-08
1985,3.007778914820847e-08,8.9030258720868e-08
1986,4.3160294893596074e-08,6.71382380801333e-08
1987,3.6053819485459826e-08,7.944061836129279e-08
1988,4.9771397669928774e-08,7.315795608198172e-08
1989,3.951447880012893e-08,8.287064190426463e-08
1990,3.8140555602694803e-08,7.628111120538961e-08
1991,4.9822453718206816e-08,6.623455411913781e-08
1992,5.4548447536717504e-08,6.060938573249075e-08
1993,4.154405530698568e-08,7.311753924543751e-08
1994,4.0616935592652226e-08,6.910153860228974e-08
1995,4.175286960617086e-08,7.537206414554021e-08
1996,4.217092808289635e-08,6.832757915020693e-08
1997,5.178485906753849e-08,1.1028257262957197e-07
1998,4.72044803245808e-08,8.630313819146807e-08
