year,faux_ADJ airs_NOUN,faux_ADJ nerfs_NOUN
1800,7.231578535993322e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,3.5805442166747525e-08,0.0
1803,2.145373123596528e-08,0.0
1804,5.6852570651244605e-08,0.0
1805,5.401467717547348e-08,0.0
1806,1.2103009794373065e-07,0.0
1807,3.4163463169534225e-08,2.8469551160981155e-09
1808,2.7192887941396293e-08,0.0
1809,6.09938268780752e-08,0.0
1810,3.042164919975221e-08,0.0
1811,4.763445815569867e-08,0.0
1812,1.0135391192989118e-07,0.0
1813,1.00650957790549e-07,0.0
1814,5.349351184236184e-08,0.0
1815,1.3486118000116676e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,6.227493543065066e-08,0.0
1818,4.768470773797162e-08,0.0
1819,4.140419918030602e-08,0.0
1820,3.20394981656591e-08,3.20394981656591e-08
1821,3.0570614484304315e-08,0.0
1822,8.120748873352568e-08,5.012807946513931e-09
1823,6.720227219148e-08,0.0
1824,2.7789671008804362e-08,0.0
1825,3.522177394188475e-08,0.0
1826,2.906634755106552e-08,0.0
1827,1.474763688946723e-08,3.2260455640198415e-08
1828,2.0179061976932644e-08,0.0
1829,2.8291481157793896e-08,0.0
1830,3.757260813586072e-08,0.0
1831,4.989185953263586e-08,0.0
1832,4.058990654698391e-08,0.0
1833,3.4750886612755494e-08,0.0
1834,6.534171426153534e-09,0.0
1835,1.8907719834260206e-08,0.0
1836,1.344150035720304e-08,0.0
1837,2.5048407792382932e-08,0.0
1838,2.4617431648721322e-08,0.0
1839,3.355908262392404e-08,9.788065469251706e-09
1840,1.4013314952876499e-08,3.821813088222825e-09
1841,2.1829865914924085e-08,2.118781061710706e-08
1842,1.542900918138912e-08,0.0
1843,2.126487963494128e-08,0.0
1844,1.920996517412732e-08,0.0
1845,2.1204865419122143e-08,0.0
1846,2.4003455223464698e-08,0.0
1847,9.168480197274675e-09,0.0
1848,1.206783295515379e-08,0.0
1849,2.5976186535103807e-08,0.0
1850,2.987158254086353e-08,0.0
1851,1.9348316726564008e-08,6.449438760824933e-10
1852,2.799534470909748e-08,0.0
1853,1.6124216628554677e-08,1.7915795513800958e-09
1854,1.7145692865483397e-08,0.0
1855,2.812676669350367e-08,0.0
1856,1.863788057221427e-08,0.0
1857,2.8312753030945714e-08,5.369659827891837e-09
1858,3.8170671956549995e-08,0.0
1859,1.5785737161877478e-08,0.0
1860,2.197048232233101e-08,0.0
1861,2.169343282787395e-08,0.0
1862,1.8975542914745347e-08,0.0
1863,3.646073309937492e-08,0.0
1864,2.8768367243969806e-08,0.0
1865,3.718406915709238e-08,0.0
1866,2.2868380966656332e-08,0.0
1867,3.202855580752839e-08,0.0
1868,3.457912001181285e-08,9.87974813071446e-10
1869,3.7603097524652185e-08,0.0
1870,4.472558146062511e-08,0.0
1871,3.9298356568906456e-08,0.0
1872,1.5118347462816928e-08,0.0
1873,1.97538145840781e-08,0.0
1874,3.2860349108432274e-08,0.0
1875,2.1741803024610817e-08,0.0
