year,plusieurs_DET os_NOUN,plusieurs_DET noces_NOUN
1881,8.785359373320034e-08,0.0
1882,1.0515508264141715e-07,0.0
1883,9.352621344049794e-08,0.0
1884,7.591951867169655e-08,0.0
1885,1.2504533275503604e-07,1.2891271383708158e-09
1886,8.324968203687888e-08,1.2906927748801422e-09
1887,9.532229860997887e-08,2.6115698492645834e-09
1888,8.686642472000017e-08,0.0
1889,7.392861567367959e-08,0.0
1890,7.537544410851638e-08,0.0
1891,5.4818291683744746e-08,3.1871101313640793e-09
1892,5.2655505733412156e-08,0.0
1893,8.313862354114576e-08,6.158416554491453e-10
1894,4.222031479983457e-08,0.0
1895,4.092657901466623e-08,0.0
1896,6.427761523042363e-08,5.89702897624278e-10
1897,7.632994858397524e-08,0.0
1898,7.186110617674046e-08,2.26334195829736e-09
1899,4.753717242067523e-08,5.527578395003729e-10
1900,4.152842469906659e-08,5.191053142894475e-10
1901,4.918090135141995e-08,1.1177477832191585e-09
1902,1.9641134940684424e-08,4.910283846193408e-10
1903,5.400220159934577e-08,0.0
1904,4.998401248457185e-08,5.374625189347171e-10
1905,4.902721073563043e-08,0.0
1906,7.510509103525465e-08,1.0288369045596824e-09
1907,3.239991208658921e-08,5.142843373384665e-10
1908,4.813161380567976e-08,0.0
1909,6.931239049379201e-08,0.0
1910,3.4202564336283103e-08,0.0
1911,5.320374063533251e-08,4.25629931299909e-09
1912,3.5945006970905524e-08,0.0
1913,3.2878535061175995e-08,1.590896969716482e-09
1914,4.888622839871459e-08,0.0
1915,9.188994365416647e-08,1.1780761921542648e-09
1916,2.6369908923129515e-08,0.0
1917,3.3995917192441993e-08,0.0
1918,5.3985966808056673e-08,0.0
1919,1.3811772170413406e-08,0.0
1920,4.467616587788825e-08,0.0
1921,2.9533714140939082e-08,0.0
1922,1.9920426197472807e-08,7.377935484775833e-10
1923,2.653987030143412e-08,0.0
1924,3.9964035636330664e-08,0.0
1925,4.7292163962708855e-08,0.0
1926,2.452150482668003e-08,0.0
1927,3.121782932158368e-08,0.0
1928,1.8281665847830197e-08,1.1426041224282812e-09
1929,2.6736975300423182e-08,0.0
1930,1.995684684175103e-08,0.0
1931,2.8513391647777553e-08,0.0
1932,3.6166470818166374e-08,0.0
1933,4.473558146145251e-08,0.0
1934,5.2718952758823434e-08,0.0
1935,2.154291145473053e-08,0.0
1936,1.8187071404440758e-08,0.0
1937,1.6368453703563546e-08,0.0
1938,3.5006078036303734e-08,0.0
1939,3.364691103513451e-08,0.0
1940,2.5357828725702802e-08,0.0
1941,3.246652768851277e-08,2.9515025978810172e-09
1942,3.6410540360520827e-08,3.034211770724937e-09
1943,1.4516175816936538e-08,0.0
1944,1.2852744646352221e-08,0.0
1945,2.178504132643866e-08,0.0
1946,3.480275978517966e-08,1.3921104269343232e-09
1947,2.8610091185043984e-08,0.0
1948,6.74057041294418e-08,0.0
1949,1.2762110479513922e-08,0.0
1950,2.0207187478860078e-08,0.0
1951,4.584402679697064e-08,1.0661401761424827e-09
1952,9.173979709231617e-08,0.0
1953,3.9863160883335524e-08,0.0
1954,2.5408594117592997e-08,9.772536113672459e-10
1955,3.2849627018549654e-08,9.385607846468247e-10
1956,3.8373023869553435e-08,0.0
1957,2.3854601849393475e-08,0.0
1958,5.046068363157019e-08,0.0
1959,1.9376869886400527e-08,0.0
1960,2.076250027460702e-08,6.920833350854139e-10
1961,2.848745372929784e-08,2.08444772553662e-09
1962,4.819886784135363e-08,3.170978146727066e-09
1963,1.875155397623729e-08,1.939815863494232e-09
1964,3.224503147825075e-08,0.0
1965,2.9549033997433582e-08,0.0
1966,3.101881862477285e-08,0.0
1967,1.972134211492005e-08,9.860671168482327e-10
1968,1.7965663151597866e-08,4.4914158503495116e-10
1969,4.2238347264245135e-08,0.0
1970,2.2993625503620052e-08,0.0
1971,2.8261186280076345e-08,1.0276794970565106e-09
1972,2.0007572487656944e-08,0.0
1973,1.8193572093316845e-08,1.102640756478479e-09
1974,2.0252057142400304e-08,1.6876715580593782e-09
1975,1.884788369821422e-08,5.711480177694739e-10
1976,2.2854107717407146e-08,0.0
1977,1.5279633225340206e-08,0.0
1978,1.3663359665905261e-08,0.0
1979,1.2874341370761044e-08,5.851973350345929e-10
1980,2.956278433163817e-08,5.685150683554241e-10
1981,2.1506868064236073e-08,2.5302198114474095e-09
1982,1.5518755391852324e-08,0.0
1983,1.5156758292889094e-08,0.0
1984,1.6817123971168968e-08,1.1598016991243298e-09
1985,2.1054452403745927e-08,0.0
1986,1.3187867908825979e-08,5.994485463567401e-10
1987,1.4054878705316298e-08,1.2221633705067347e-09
1988,1.739000632383636e-08,5.996553809062277e-10
1989,2.030605150693532e-08,0.0
1990,1.6345952147389653e-08,1.6345953479657283e-09
1991,9.37834432335194e-09,1.1722930404189924e-09
1992,1.76318211142501e-08,5.509944167592096e-10
1993,1.4401939640862338e-08,1.1078414852150331e-09
1994,1.2659824244476425e-08,1.5824779264761446e-09
1995,1.2471636501310002e-08,0.0
1996,2.348760630432878e-08,1.067618438099771e-09
1997,1.198723642570343e-08,0.0
1998,1.2873949239988747e-08,0.0
1999,2.879226779217703e-08,0.0
2000,1.943933924941632e-08,4.4180314962005696e-10
2001,1.3581756164171566e-08,0.0
2002,1.9715496790695397e-08,1.3143663935011318e-09
2003,2.7918383160852045e-08,8.333845835650777e-10
2004,1.629772783395822e-08,1.7619165015858584e-09
2005,2.2969123714133843e-08,4.5037495954858286e-10
2006,2.5530916936133963e-08,0.0
2007,2.9559148906344035e-08,7.988958938831558e-10
2008,1.9584223354129904e-08,1.2772318758180745e-09
2009,2.3840961871357536e-08,1.430457752249481e-09
2010,2.1257068549829228e-08,0.0
2011,3.4033350304607524e-08,3.82397197240536e-10
2012,3.131912573728357e-08,0.0
2013,2.8449075761827203e-08,8.367375126105969e-10
2014,2.4252986507988794e-08,2.1654451842767486e-10
2015,2.2165754787195624e-08,0.0
2016,2.278474076078396e-08,6.214020409345267e-10
2017,2.7671724467381864e-08,5.031222660711876e-10
2018,2.6847253253858838e-08,2.5814667070633845e-10
2019,2.627517448061667e-08,2.55098775436835e-10
