year,beaux_ADJ ans_NOUN,beaux_ADJ vents_NOUN
1800,3.4900224932243873e-07,0.0
1801,2.1668761007731518e-07,0.0
1802,9.175144555229053e-08,0.0
1803,1.8723255834629526e-07,0.0
1804,1.359518080334965e-07,0.0
1805,2.302730877090653e-07,0.0
1806,5.4751712497136396e-08,0.0
1807,1.3095993267597805e-07,0.0
1808,1.3369836437959748e-07,0.0
1809,7.454800510231507e-08,0.0
1810,1.942305232205399e-07,0.0
1811,1.0028307428910921e-07,0.0
1812,1.6269970615212515e-07,0.0
1813,2.1568062891219597e-07,0.0
1814,8.181360300341112e-08,0.0
1815,3.506390555685357e-08,0.0
1816,3.7081662185300956e-08,0.0
1817,1.4634609613040084e-07,0.0
1818,9.775365583664097e-08,0.0
1819,1.4698491668241331e-07,0.0
1820,8.42520151422832e-08,0.0
1821,1.0453177878844144e-07,0.0
1822,1.4938167680611514e-07,0.0
1823,1.2452186126665765e-07,0.0
1824,1.717907025522436e-07,0.0
1825,1.3912600138610287e-07,0.0
1826,1.1802698907104059e-07,0.0
1827,5.7147094167930845e-08,0.0
1828,9.264024214417077e-08,0.0
1829,4.9724420136953995e-08,0.0
1830,5.635891398014792e-08,0.0
1831,9.978371906527173e-08,0.0
1832,1.461236678323985e-07,0.0
1833,1.3437009727113036e-07,0.0
1834,5.2273371409228275e-08,0.0
1835,6.731148260996633e-08,0.0
1836,5.779845224651581e-08,0.0
1837,5.6358917532861597e-08,0.0
1838,8.521418237705802e-08,0.0
1839,3.775396706373613e-08,0.0
1840,3.05745047057826e-08,0.0
1841,7.255219713897532e-08,0.0
1842,5.836190553054621e-08,0.0
1843,3.721353891705803e-08,0.0
1844,3.841993034825464e-08,0.0
1845,5.1896119401817487e-08,0.0
1846,5.678866443759034e-08,0.0
1847,2.6426796750911308e-08,0.0
1848,4.827133182061516e-08,0.0
1849,3.854530916669319e-08,0.0
1850,6.381656447729256e-08,0.0
1851,2.579775504329973e-08,0.0
1852,3.2552726736412296e-08,0.0
1853,3.822036376277538e-08,0.0
1854,3.4291385730966795e-08,0.0
1855,2.4942604426314574e-08,0.0
1856,4.34883880018333e-08,0.0
1857,4.5886185517929334e-08,0.0
1858,4.3553715300959084e-08,0.0
1859,2.2914779407301467e-08,1.018434669930457e-09
1860,1.9224172476128842e-08,0.0
1861,6.602348889828136e-08,0.0
1862,6.912519268098549e-08,4.517986262886353e-10
1863,3.795911851511846e-08,0.0
1864,4.6029388300894425e-08,0.0
1865,2.9182434246877165e-08,4.706844358715045e-10
1866,4.135770836910524e-08,9.731225825149181e-10
1867,3.299911810472622e-08,0.0
1868,3.754304245262574e-08,4.93987406535723e-10
1869,4.6393431318847433e-08,0.0
1870,3.096386436141074e-08,0.0
