year,vieux_ADJ ans_NOUN,vieux_ADJ vents_NOUN
1800,3.0498395631184394e-07,0.0
1801,6.714934670526418e-07,0.0
1802,3.938598638342228e-07,0.0
1803,5.363432933336298e-07,0.0
1804,8.577322887504124e-07,0.0
1805,4.09374393939288e-07,0.0
1806,3.630903222529014e-07,0.0
1807,3.644102548605588e-07,0.0
1808,2.923235342677799e-07,0.0
1809,3.7048101830805535e-07,0.0
1810,5.148278887645574e-07,0.0
1811,3.3845535085674783e-07,0.0
1812,3.5207148130211863e-07,0.0
1813,4.054795681440737e-07,0.0
1814,3.020809913323319e-07,0.0
1815,2.778140242298832e-07,0.0
1816,1.969963250303408e-07,0.0
1817,2.849078271083272e-07,0.0
1818,3.945909838876105e-07,0.0
1819,4.1611221490711614e-07,0.0
1820,4.4143308741695364e-07,0.0
1821,2.7612168196355924e-07,0.0
1822,4.280938128431444e-07,1.0025615893027862e-09
1823,3.7158903865019965e-07,0.0
1824,4.875824402006401e-07,0.0
1825,4.1913909853974474e-07,0.0
1826,3.1532584898741334e-07,0.0
1827,2.87578927782306e-07,0.0
1828,2.2105245989223476e-07,0.0
1829,1.8175133220665884e-07,0.0
1830,1.982998867333663e-07,0.0
1831,2.1515865000765189e-07,0.0
1832,2.2730348803179368e-07,0.0
1833,3.5793411257145635e-07,0.0
1834,2.8283628239478276e-07,0.0
1835,1.958839845883631e-07,0.0
1836,2.0565495617574925e-07,0.0
1837,1.6629358867703559e-07,0.0
1838,1.6159134474946768e-07,0.0
1839,1.4961756278353278e-07,0.0
1840,1.4013315308147867e-07,0.0
1841,1.4189411956522235e-07,0.0
1842,1.583150606165873e-07,0.0
1843,1.6007729186640063e-07,0.0
1844,1.3227432305029652e-07,0.0
1845,9.82120127446251e-08,0.0
1846,1.4109348001056787e-07,0.0
1847,1.0354989399274928e-07,0.0
1848,8.769291781618449e-08,0.0
1849,1.6507446787272784e-07,0.0
1850,1.4121111746590032e-07,0.0
1851,1.238292242078387e-07,0.0
1852,1.4127883218861825e-07,0.0
1853,1.3675723664619e-07,0.0
1854,1.1638288555104737e-07,0.0
1855,1.496556194524601e-07,0.0
1856,1.2684112959959748e-07,0.0
1857,1.4205191689597996e-07,0.0
1858,1.7421486120383634e-07,0.0
1859,1.7771685634215828e-07,0.0
1860,1.4418129978821526e-07,3.204028820036342e-09
1861,1.3487655792232545e-07,0.0
1862,1.5451513490916113e-07,0.0
1863,1.1237897012961184e-07,0.0
1864,1.2082713851668814e-07,0.0
1865,1.1484700479513776e-07,4.706844358715045e-10
1866,1.0217787149713331e-07,5.838735717134114e-09
1867,1.2083501133020036e-07,4.85281148598915e-10
1868,1.1756900164527906e-07,0.0
1869,1.0108884396231588e-07,9.767038289254515e-10
1870,1.2500225921030506e-07,5.734048791339319e-10
1871,1.317025919433945e-07,0.0
1872,1.088521059955383e-07,6.047339295989218e-10
1873,8.260686001904105e-08,0.0
1874,9.14115219075029e-08,0.0
1875,1.2701789842139988e-07,0.0
1876,6.892457093954363e-08,0.0
1877,1.4534317926973017e-07,6.184815992682502e-10
1878,1.2863259257756e-07,0.0
1879,1.0508039594014917e-07,0.0
1880,1.2386443870582298e-07,3.8507077526617195e-09
1881,9.831235558976914e-08,0.0
1882,9.716862336972554e-08,0.0
1883,1.371296605157113e-07,3.159669414998234e-09
1884,6.667713847718915e-08,0.0
1885,5.414333870135124e-08,6.445635691854079e-10
1886,1.0196472999268735e-07,6.453463874400711e-10
1887,5.027272109714431e-08,0.0
1888,1.2998259535379475e-07,6.340614699951175e-10
1889,1.0086870361192268e-07,1.2530273485467092e-09
1890,7.537544632896243e-08,1.3108772956016423e-09
1891,5.5455714687013824e-08,0.0
1892,9.089342967172342e-08,1.2537024751679837e-09
1893,9.545545509581643e-08,0.0
1894,6.679631781025819e-08,0.0
1895,5.838056083007359e-08,0.0
1896,5.366296207398591e-08,0.0
1897,6.5259193604561e-08,0.0
1898,6.846609323929442e-08,0.0
1899,4.366786754417262e-08,0.0
1900,7.527027179321522e-08,0.0
1901,5.86817598957623e-08,0.0
1902,4.959386856739911e-08,0.0
1903,5.022204874194358e-08,0.0
1904,5.0521478556220245e-08,0.0
1905,5.934872859825191e-08,0.0
1906,4.2696733260072506e-08,0.0
1907,8.279977947722728e-08,0.0
1908,5.746325371092098e-08,0.0
1909,6.161101850921114e-08,0.0
1910,6.733630186772643e-08,0.0
1911,5.001151848205154e-08,6.384448969498635e-09
1912,6.042928646365908e-08,0.0
1913,5.3560196278112926e-08,5.30298971401777e-10
1914,6.562808607668558e-08,0.0
1915,4.947920118070215e-08,0.0
1916,2.966614687238689e-08,0.0
1917,5.483212106582869e-08,0.0
1918,5.513460621386912e-08,0.0
1919,8.379142002468143e-08,0.0
1920,3.9375606775138294e-08,0.0
1921,7.118382683302116e-08,0.0
1922,4.0578644444622114e-08,0.0
1923,9.129715294875496e-08,1.0615948120573648e-09
1924,7.34822620529485e-08,0.0
1925,8.248633776020142e-08,0.0
1926,5.127223801082437e-08,0.0
1927,6.243566019747959e-08,0.0
1928,5.255979118601317e-08,1.1426041224282812e-09
1929,5.904415445456834e-08,0.0
1930,3.676261073337628e-08,0.0
1931,3.9918749195066994e-08,0.0
1932,4.055028668403793e-08,0.0
1933,3.9000251916831985e-08,0.0
