year,aurons_VERB eu_VERB,aurons_VERB vu_VERB
1918,9.763419939190499e-08,1.1141784739265859e-07
1919,4.603924352863942e-08,6.44549373873815e-08
1920,7.496509368820625e-08,6.96645301445642e-08
1921,3.256281289054641e-08,5.14946840723951e-08
1922,6.345024416987144e-08,5.2383342108441866e-08
1923,3.290944050604594e-08,5.4141334970836397e-08
1924,4.383152329978657e-08,5.543398629015428e-08
1925,4.179307566687385e-08,4.7292164850887275e-08
1926,4.7928395474627905e-08,5.3501466368288675e-08
1927,3.5677519605314956e-08,4.4596898618465275e-08
1928,5.0274582719112004e-08,5.0274582719112004e-08
1929,5.23599084090165e-08,5.23599084090165e-08
1930,3.151081173768944e-08,4.516549623190258e-08
1931,2.3951248095954725e-08,3.307553342324354e-08
1932,5.589363638591749e-08,3.616647248350091e-08
1933,1.261772819560747e-08,4.817677989876756e-08
1934,3.4746584276490466e-08,4.193552882725271e-08
1935,4.4282650435434334e-08,3.949533677882755e-08
1936,3.031178508194898e-08,6.062357016389797e-08
1937,3.5255130370615007e-08,3.5255130370615007e-08
1938,4.797129449229942e-08,6.612259539906518e-08
1939,1.988226472349197e-08,4.8940961505650193e-08
1940,3.803674530900025e-08,4.3108308034334186e-08
1941,3.246652724442356e-08,1.7709016475464523e-08
1942,4.5513175450651033e-08,2.730790527039062e-08
1943,2.0322646676618206e-08,5.516146828199453e-08
1944,3.855823393905666e-08,3.534504600111177e-08
1945,1.9606536838523425e-08,6.535512397931598e-08
1946,6.682130049284751e-08,4.1763314584386535e-08
1947,5.602809238780537e-08,4.172304812755101e-08
1948,4.240036233227329e-08,4.1313175103141475e-08
1949,4.22131343214005e-08,5.104844191805569e-08
1950,3.828730044119766e-08,7.232046073113452e-08
1951,4.371174711081949e-08,4.904244832459881e-08
1952,4.323369751091377e-08,4.639713679921442e-08
1953,4.5250075686453783e-08,4.740483916521043e-08
1954,3.9090146231046674e-08,3.8112890621277984e-08
1955,4.5050917663047585e-08,4.129667274810345e-08
1956,4.534993536253751e-08,4.7094165012140365e-08
1957,5.742774433770137e-08,2.47381048978923e-08
1958,3.6397871383542224e-08,2.6471179026543723e-08
1959,5.115493451057773e-08,2.9452841943111707e-08
1960,3.737250153790228e-08,3.668041514970355e-08
1961,8.407272389376885e-08,3.404598203360365e-08
1962,5.010145542883038e-08,3.99543260698465e-08
1963,3.427008365974871e-08,4.073613624200334e-08
1964,5.2322128851756133e-08,3.528701597588224e-08
1965,3.775710055720083e-08,2.2435377999840966e-08
1966,2.658755882123387e-08,2.326411419062424e-08
1967,3.69775179365206e-08,3.845661922241561e-08
1968,5.61426993783698e-08,4.1321026600371624e-08
1969,5.177603767947403e-08,2.9067249940339934e-08
1970,2.8052221878738237e-08,3.632992928714884e-08
1971,5.70362104213018e-08,2.569198720436816e-08
1972,3.33459553303328e-08,3.385897073826527e-08
1973,3.197658315912122e-08,2.260413545229767e-08
1974,4.950502940914703e-08,2.025205780853412e-08
1975,3.084199207137317e-08,3.1413140533231854e-08
1976,3.199575004941835e-08,3.25671045686704e-08
1977,2.7620874476497193e-08,2.056873604772136e-08
1978,2.673266052966028e-08,2.198018833610149e-08
1979,2.63338808537128e-08,2.4578287849408298e-08
1980,3.581644847372445e-08,2.8994268319593175e-08
1981,3.479052068655619e-08,2.6567308353264707e-08
1982,2.4209258597807093e-08,2.0484757001781873e-08
1983,3.031351525351056e-08,2.3366668600033336e-08
1984,3.479405208395292e-08,2.667543874679268e-08
1985,2.4062231318566774e-08,3.0679345286444004e-08
1986,4.1961399688261736e-08,1.978180286243969e-08
1987,3.6053819485459826e-08,3.0554083707556856e-08
1988,2.5185526553173077e-08,2.818380373525997e-08
1989,3.786804469996241e-08,1.8110803523541108e-08
1990,2.7788120249283565e-08,2.6153525567451652e-08
1991,3.692722927439718e-08,1.582595565707834e-08
1992,3.8018615811097334e-08,1.3774860363469088e-08
1993,3.323524566667402e-08,1.717154241021035e-08
1994,3.3759530282395644e-08,2.162719958676007e-08
1995,3.524592884218691e-08,1.9520822291951845e-08
1996,3.096093337262573e-08,1.4946657245218375e-08
1997,2.6851409984374186e-08,1.7741109914481967e-08
1998,2.6224711291433778e-08,1.6688451509594415e-08
1999,2.6507166239753133e-08,2.422206613061917e-08
2000,4.064589020913445e-08,2.076474814316498e-08
2001,2.891599848453552e-08,2.190605918883648e-08
2002,3.811662807606808e-08,1.6648641576466616e-08
2003,2.5001536840818517e-08,1.9584538435424292e-08
2004,4.140503762073422e-08,1.4095332012686868e-08
2005,2.7022498017004182e-08,2.2518747755384538e-08
2006,2.5119128110873135e-08,1.8118715416903797e-08
2007,2.8760252845927425e-08,2.5564668604260987e-08
2008,3.2356542334355254e-08,2.7673358715674112e-08
2009,2.2410505451375684e-08,1.9549588614609092e-08
2010,3.920748170571642e-08,2.172944846279279e-08
2011,2.5238215073386527e-08,2.5238215073386527e-08
2012,3.948933269271038e-08,2.655317032917992e-08
2013,3.904775169871755e-08,3.151711425175563e-08
2014,4.1143458417991496e-08,3.291476602385046e-08
2015,3.7016807397094453e-08,3.3026974932681696e-08
2016,4.2255337007190974e-08,3.914832547025071e-08
2017,3.446387353278624e-08,2.3143623906207722e-08
2018,4.207790738064432e-08,2.9945013579890656e-08
2019,3.9540310581287486e-08,2.7550667525133576e-08
