year,plusieurs_DET airs_NOUN,plusieurs_DET verres_NOUN
1800,1.7292904752608251e-07,2.1065901556482913e-07
1801,1.5477686554632442e-07,6.667310969987739e-08
1802,8.503792514602537e-08,2.3273537408385891e-07
1803,6.436119459607426e-08,1.7553053055507917e-07
1804,3.213406074564773e-08,1.2606439336870778e-07
1805,5.970043259750923e-08,6.822906328807221e-08
1806,7.492339904047185e-08,2.564685530614952e-07
1807,1.5088861937684328e-07,3.4163463169534225e-08
1808,5.4385776326881796e-08,8.837688625362716e-08
1809,9.26202483597649e-08,3.840352036377226e-08
1810,1.7082924808065059e-07,2.5975407424994046e-07
1811,1.3287506828163487e-07,6.016984377410495e-08
1812,1.0135391326215881e-07,2.4805035536701325e-07
1813,3.3358602280486593e-07,1.0927818294703684e-07
1814,1.0069366851439554e-07,6.922689976818219e-08
1815,4.315557666778602e-08,1.0788894400093341e-07
1816,3.476405652236281e-08,5.0987285504788815e-08
1817,7.784366895524641e-08,1.4945985071790346e-07
1818,9.65615398751396e-08,5.96058882251782e-08
1819,5.796588153916815e-08,6.831692955788782e-08
1820,1.008650931666466e-07,3.797273961936298e-08
1821,7.001656587846128e-08,8.086420577591014e-08
1822,7.719724237631453e-08,6.616906489398389e-08
1823,6.917880579493385e-08,1.037682140214713e-07
1824,7.747423769188799e-08,1.945277041670579e-07
1825,9.509878795554982e-08,5.371320166425164e-08
1826,5.6371100232155413e-08,1.2155018680459762e-07
1827,5.438191230666689e-08,1.115290046982409e-07
1828,7.979901983645732e-08,1.1281930767381709e-07
1829,4.2865879568143583e-08,7.030004667285539e-08
1830,1.565525344915386e-07,1.8890672648375073e-07
1831,8.886987146183856e-08,4.2096257146795324e-08
1832,6.088486359523415e-08,1.204167290325131e-07
1833,7.29768601104297e-08,9.035230219556212e-08
1834,4.480574888887645e-08,9.614566920390644e-08
1835,8.168134968400409e-08,1.384045091867847e-07
1836,7.056787687531596e-08,8.602559820047873e-08
1837,1.0506415115685286e-07,1.1132625565846155e-07
1838,6.249040174211018e-08,9.215756335834158e-08
1839,8.040196608494199e-08,1.1535934163475758e-07
1840,6.624476167615967e-08,6.751869818799605e-08
1841,6.741575875324202e-08,8.86035702585275e-08
1842,4.494537408916699e-08,1.1739464156335089e-07
1843,4.961805233349992e-08,1.1518476400462774e-07
1844,6.421616793872431e-08,3.402907822191992e-08
1845,3.5713458523822794e-08,5.0780073479472776e-08
1846,4.156696142842975e-08,7.727941508939296e-08
1847,2.9662729161827883e-08,7.280851832547341e-08
1848,4.505324158188273e-08,7.562508130831702e-08
1849,5.195237151589538e-08,5.111443002192573e-08
1850,2.2403686905647646e-08,1.0455053711666551e-07
1851,2.3217978650791338e-08,5.3530342825069965e-08
1852,3.841221940525941e-08,6.315229073017292e-08
1853,5.076142151061447e-08,8.957897867922782e-08
1854,4.0006614743237634e-08,6.130884178112694e-08
1855,4.086341576226005e-08,5.041590256382733e-08
1856,5.539592551340178e-08,6.41971462655988e-08
1857,7.908045018822918e-08,9.518943078212772e-08
1858,3.083015964744362e-08,6.410715774896047e-08
1859,3.05530396538245e-08,7.332729978770658e-08
1860,7.00309170653668e-08,6.31651346783002e-08
1861,8.630213921279051e-08,6.649508527134529e-08
1862,8.674533980013166e-08,7.680576891155866e-08
1863,6.992469181454908e-08,6.443060868166484e-08
1864,4.650886165080692e-08,4.027571520737183e-08
1865,6.730787305286867e-08,8.801798667690264e-08
1866,3.60055367742973e-08,7.979604998986645e-08
1867,5.5322049163919473e-08,8.20125123368598e-08
1868,5.433861449688493e-08,6.668830110356794e-08
1869,4.737013536981749e-08,8.39965282883881e-08
1870,4.529898367522378e-08,5.447346440590195e-08
1871,1.1683294554032386e-08,6.797553298021342e-08
1872,2.9027227954614432e-08,6.591599710503715e-08
1873,7.961385639632113e-08,6.285304721131979e-08
1874,3.106796664376077e-08,4.540702969180188e-08
1875,6.40811045893308e-08,4.462791269865818e-08
1876,2.8416269337583344e-08,3.688068872520489e-08
1877,4.391219254884504e-08,7.359931331052394e-08
1878,1.1293095963926802e-07,4.468925740575003e-08
1879,5.9260456652943105e-08,8.3697759389878e-08
1880,8.407378393471276e-08,6.096954052736692e-08
1881,9.064259814950404e-08,9.343160178865162e-08
1882,3.860123354293421e-08,6.522277118392594e-08
1883,8.973460996486438e-08,6.445725375670008e-08
1884,4.027034972153842e-08,6.46966329398424e-08
1885,5.4787904435471546e-08,8.057044853515549e-08
1886,3.420335914494643e-08,8.970314779865873e-08
1887,3.7867763591492576e-08,5.810742820244741e-08
1888,3.931181136174189e-08,6.530833074336329e-08
1889,3.9470360035931407e-08,5.388017720875382e-08
1890,3.21164943528629e-08,6.357755166774837e-08
1891,3.505821177807178e-08,4.780665108228277e-08
1892,3.3223115813996174e-08,6.895363391379306e-08
1893,3.941386639283451e-08,4.557228205914754e-08
1894,3.150769734006076e-08,4.2220313689611544e-08
1895,2.407445731655855e-08,5.597311303340291e-08
1896,3.1843957581934035e-08,4.3048309805726603e-08
1897,2.0976168801922768e-08,4.311767942688505e-08
1898,2.037007762467624e-08,5.262269908712369e-08
1899,3.427098604902312e-08,3.537649995166703e-08
1900,3.737558218475101e-08,5.865889929346224e-08
1901,1.1177477665658131e-08,3.4650181446327366e-08
1902,2.2587305914534284e-08,6.088751991484287e-08
1903,2.6461079549733313e-08,6.372260230591564e-08
1904,3.6009986992269205e-08,4.084715232721692e-08
1905,2.0126960098565405e-08,5.212366521734069e-08
1906,2.572092172581364e-08,4.835533440328277e-08
1907,1.954280415272791e-08,5.0399864726102805e-08
1908,2.8486056846688257e-08,4.125566732682273e-08
1909,3.355599975662926e-08,2.6954819709601452e-08
1910,2.9392828393426385e-08,4.8631771942808655e-08
1911,2.3409645777405785e-08,4.256299368510241e-08
1912,2.3442395913342295e-08,5.3136098188133474e-08
1913,2.9696742065432602e-08,1.6969567084856862e-08
1914,3.750176436057018e-08,5.759199694921335e-08
1915,2.3561524287174507e-08,2.238344798399794e-08
1916,2.5271162940043723e-08,1.8678685265172135e-08
1917,1.9739564316445524e-08,3.1802629529842363e-08
1918,6.89182577673364e-09,4.594550340186743e-08
1919,2.5781975665495338e-08,3.314825391953491e-08
1920,3.104614920701465e-08,3.331781917026433e-08
1921,2.4232791995260072e-08,4.013556065274315e-08
1922,3.172512152982421e-08,3.9840852394945614e-08
1923,3.0786250437842e-08,3.503262924198225e-08
1924,2.3204923871311678e-08,2.5783249313349188e-08
1925,3.739380360912037e-08,4.179307633300766e-08
1926,3.343841403768977e-08,4.2355327800613907e-08
1927,6.132073648856817e-08,4.23670540872223e-08
1928,3.427812300671462e-08,3.9991142619655307e-08
1929,1.782465064437133e-08,2.785101571589621e-08
1930,4.201441383688831e-08,3.571225093423891e-08
1931,2.737285687004487e-08,2.9653927313688655e-08
1932,3.1782656950696264e-08,5.589363638591749e-08
1933,2.4088391503696016e-08,4.702971678760548e-08
1934,2.036868629318178e-08,3.5944738741022775e-08
1935,1.4361940969820353e-08,5.38572777486479e-08
1936,4.607391712596609e-08,3.15242587589637e-08
1937,2.0145788925951535e-08,2.6441348666139675e-08
1938,2.5930428471099276e-08,2.074434313215079e-08
1939,4.588215141154706e-09,2.7529290846928234e-08
1940,1.77504799747652e-08,1.7750480196809804e-08
1941,2.3612020783048138e-08,6.198155411141215e-08
1942,1.517105907566929e-08,4.2478965012193726e-08
1943,3.774205836748479e-08,2.9032351633873077e-08
1944,3.534504777746861e-08,3.855823393905666e-08
1945,1.5249528306782167e-08,3.921307367704685e-08
1946,2.7842207650508044e-08,5.568441885372977e-08
1947,1.549713202209091e-08,4.172304945981864e-08
1948,3.261566261514304e-08,2.5005342907391537e-08
1949,1.1780409536754632e-08,2.748762362170254e-08
1950,3.6160230587611863e-08,2.9779013033248702e-08
1951,2.985192459892261e-08,4.371174633366337e-08
1952,1.3708245316657042e-08,2.9525450528922192e-08
1953,1.4005975268460702e-08,4.201792791480585e-08
1954,1.759056522665503e-08,3.224936762080688e-08
1955,1.2201289756319511e-08,3.754243316222983e-08
1956,2.1802854632824165e-08,3.662879421995058e-08
1957,2.4738105286470358e-08,4.682570065028813e-08
1958,1.9853384713997002e-08,5.625125576447232e-08
1959,2.0151945223645384e-08,4.18540372359999e-08
1960,2.5607082898559952e-08,4.3601251109581796e-08
1961,1.598076654341085e-08,3.752005850454765e-08
1962,3.424656330741627e-08,4.1856910826254534e-08
1963,5.172842765244212e-08,4.008952969591917e-08
1964,2.068549243006146e-08,6.327327273236705e-08
1965,2.7360216536820303e-08,3.830430239659677e-08
1966,2.215629990587331e-08,4.652822838124848e-08
1967,3.204718207472368e-08,4.7331220609514446e-08
1968,3.27873351801955e-08,3.09907690621003e-08
1969,2.8613074021244245e-08,4.405504938631566e-08
1970,2.8052221878738237e-08,2.299362514279757e-08
1971,4.110717910510431e-08,3.134422532635739e-08
1972,9.952484647524074e-08,2.2572646196650226e-08
1973,2.2604135341275366e-08,7.167165239074791e-08
1974,2.531507237168995e-08,5.175525807921133e-08
1975,1.8276735680444745e-08,2.5701661243715535e-08
1976,1.5426522226302808e-08,3.370980994343853e-08
1977,1.704266811008992e-08,2.8796231898997604e-08
1978,2.07920705097564e-08,2.3762364520507617e-08
1979,1.0533551697555765e-08,3.043026142179883e-08
1980,2.4446148327861295e-08,2.6720208268216084e-08
1981,2.0874313833019187e-08,3.66881856006529e-08
1982,2.7933760748943826e-08,3.476201237972987e-08
1983,2.0840542402922324e-08,3.410270821291306e-08
1984,3.363424899704981e-08,2.7835241667162336e-08
1985,1.864822973818292e-08,2.105445384703586e-08
1986,1.678455929798872e-08,2.5776287992940183e-08
1987,2.1998941002188133e-08,2.8720839040374813e-08
1988,1.2592763165564236e-08,2.2187249371086182e-08
1989,3.347754684579485e-08,4.225853955652781e-08
1990,1.9070278800548124e-08,3.105731116725963e-08
1991,4.8064014990245596e-08,3.165191131415668e-08
1992,1.0468894195980738e-08,3.581463658974826e-08
1993,3.046564067687996e-08,3.2127402349590994e-08
1994,1.9517228444509982e-08,2.8484603120659813e-08
1995,3.307695128906829e-08,3.3619195427547766e-08
1996,2.935950593752068e-08,3.149474214758641e-08
1997,2.3015492622846523e-08,3.212579302580565e-08
1998,2.288702038999446e-08,3.146965354972053e-08
1999,3.793266811769058e-08,3.016332850158676e-08
2000,1.5463110347724296e-08,2.6066385050427243e-08
2001,2.3658543346627425e-08,2.5849150153689493e-08
2002,2.1029863794819192e-08,3.767850631497538e-08
2003,4.125253760811631e-08,4.041915180330591e-08
2004,2.378587282692024e-08,3.788120539471862e-08
2005,1.8014998715010222e-08,3.963299777254292e-08
2006,2.3060183040879423e-08,5.312077910879509e-08
2007,2.1969636831986605e-08,5.951774328938342e-08
2008,2.8099102378220664e-08,5.9604156721349e-08
2009,2.145686650578682e-08,5.769512756437223e-08
2010,1.9367552228644058e-08,7.794258349846928e-08
2011,1.3383901875663184e-08,1.1127758525741882e-07
2012,8.170206539093172e-09,1.3242543239755378e-07
2013,1.3387799813191492e-08,1.3917734165147522e-07
2014,1.4725027419615344e-08,1.455179208242896e-07
2015,1.2856137154848568e-08,1.4607232357022326e-07
2016,1.6570720351438695e-08,1.4685800353575473e-07
2017,9.810883938587978e-09,1.572257102289143e-07
2018,8.776986804015507e-09,1.7089309434226152e-07
2019,1.607122351865442e-08,1.5790613794308683e-07
