year,vos_DET ans_NOUN,vos_DET vents_NOUN
1800,4.4018303668735825e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,3.315576790896557e-08,1.950339223455444e-09
1804,4.69651695311768e-08,3.213406074564773e-08
1805,3.4114531644036106e-08,0.0
1806,8.35684019762084e-08,0.0
1807,3.4163463169534225e-08,0.0
1808,3.3991110370834576e-08,0.0
1809,1.129515236897305e-08,4.518061036407062e-09
1810,3.7442028144596406e-08,4.680253518074551e-09
1811,9.27618373225414e-08,0.0
1812,1.3336041604361526e-08,2.6672082320544632e-09
1813,2.5881675469463516e-08,2.8757416448144113e-09
1814,5.349351184236184e-08,6.293354282149721e-09
1815,1.8880564667256294e-08,0.0
1816,2.7811246638975717e-08,1.1588019432906549e-08
1817,2.3353100786493997e-08,7.784366928831332e-09
1818,2.741870730460505e-08,0.0
1819,3.8298885840504227e-08,0.0
1820,1.1510486785937246e-07,0.0
1821,1.2819934447350079e-08,0.0
1822,5.413832582235045e-08,2.0051231786055723e-09
1823,6.324919610278812e-08,0.0
1824,2.86317822784099e-08,5.894778887238772e-09
1825,3.9624492131906663e-08,0.0
1826,2.290075862276808e-08,1.0569580766173203e-08
1827,4.147772969531616e-08,6.452091305675367e-09
1828,1.3758452155343548e-08,0.0
1829,1.971830521085849e-08,0.0
1830,3.652892388572582e-08,0.0
1831,7.795603274018958e-09,0.0
1832,2.8412935559885e-08,1.3529969367098715e-09
1833,9.266902800675325e-09,2.3167257001688313e-09
1834,9.334531370086552e-09,1.8669061851994684e-09
1835,1.663879345414898e-08,7.563087933704082e-10
1836,2.2178475223011418e-08,1.3441500135158435e-09
1837,1.7394727436226276e-08,0.0
1838,1.8936486156917454e-08,6.312161904276081e-10
1839,1.6080392128969834e-08,0.0
1840,1.52872523528913e-08,1.2739377330817092e-09
1841,1.733548060656176e-08,8.988767952189392e-09
1842,1.60998356868447e-08,1.341653010911159e-09
1843,1.1813821920725331e-08,1.2404512972352677e-08
1844,8.781698090931656e-09,4.9397050894128824e-09
1845,6.69627359117797e-09,1.1160455892778032e-09
1846,8.781752436348711e-09,2.9272506640865004e-09
1847,3.775256551818984e-09,0.0
1848,7.24069959545659e-09,0.0
1849,8.379414495607307e-09,0.0
1850,1.9009188889640427e-08,0.0
1851,6.449438760824933e-09,0.0
1852,2.6042181744401205e-09,0.0
1853,3.5831591027601917e-09,0.0
1854,1.8184825201217336e-08,0.0
1855,4.6701046585440054e-08,0.0
1856,4.0899795550330964e-08,1.0354378465748937e-09
1857,1.2203773103180993e-08,2.4407544874094356e-09
1858,1.4681027837859517e-08,0.0
1859,1.1202780925145817e-08,0.0
1860,6.408057640072684e-09,9.154367819341758e-10
1861,2.6409397335669382e-08,0.0
1862,3.5692092836825395e-08,4.517986262886353e-10
1863,1.9479021062807078e-08,0.0
1864,2.3014694150447212e-08,4.794728170054441e-09
1865,7.0602665935837194e-09,4.706844358715045e-10
1866,1.8489328568183083e-08,0.0
1867,2.6690463172940326e-08,2.91168689159349e-09
1868,1.1361710683388537e-08,1.4819622196071691e-09
1869,1.3673853160867111e-08,0.0
1870,2.0069171213776826e-08,0.0
1871,7.434824311758348e-09,0.0
1872,1.2094679036067646e-08,0.0
1873,2.095101514498765e-08,0.0
1874,3.2262889249068394e-08,0.0
1875,2.2313955128083762e-08,0.0
1876,9.069021977836655e-09,0.0
1877,3.958282235316801e-08,0.0
1878,1.8117266742390115e-08,6.039088673581716e-10
1879,1.221865097988939e-08,0.0
1880,1.8611753915820373e-08,0.0
1881,1.8825771164188154e-08,0.0
1882,1.0648616211028639e-08,0.0
1883,1.9589950994713945e-08,0.0
1884,2.3766109080725073e-08,0.0
1885,9.023890079618013e-09,0.0
1886,1.355227396970804e-08,0.0
1887,1.3710741875172516e-08,0.0
1888,1.7119660356001987e-08,0.0
1889,2.192797943223468e-08,0.0
1890,1.3108772733971819e-08,0.0
1891,5.736798147637501e-09,0.0
1892,1.8178685001757344e-08,6.268512375839919e-10
1893,4.926733243593162e-09,0.0
1894,1.1342770278588432e-08,1.8904617871129403e-09
1895,2.2268873856035043e-08,0.0
1896,1.4152869098893461e-08,0.0
1897,2.4472196713531957e-08,0.0
1898,1.3014216371232123e-08,0.0
1899,3.8693048765026106e-09,0.0
1900,6.22926377147337e-09,0.0
1901,1.0618603774048552e-08,0.0
1902,4.419255628107521e-09,1.4730852093691738e-09
1903,1.83607493653426e-08,0.0
1904,9.674325340824907e-09,5.374625189347171e-10
1905,1.754658074393234e-08,1.5482277682110634e-09
1906,1.4403716441790948e-08,0.0
1907,7.199980611716228e-09,0.0
