year,mauvais_ADJ yeux_NOUN,mauvais_ADJ vieux_NOUN
1800,3.458580977167003e-08,0.0
1801,7.381665767525192e-08,0.0
1802,3.3567602031325805e-08,0.0
1803,3.315576790896557e-08,0.0
1804,5.9324420931261557e-08,0.0
1805,3.695740957709859e-08,0.0
1806,5.76333825108577e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,2.039466551195801e-08,0.0
1809,4.518061036407062e-09,0.0
1810,9.360507036149102e-09,0.0
1811,2.0056614147279106e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,3.4508900625951355e-08,0.0
1814,2.2026739543434815e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,7.161617787687646e-08,0.0
1818,4.530047448270125e-08,0.0
1819,5.900098543065724e-08,0.0
1820,5.6959109429044474e-08,1.1866481131050932e-09
1821,7.001656854299654e-08,0.0
1822,1.0326384369818697e-07,0.0
1823,6.226093063332883e-08,0.0
1824,3.789500624407083e-08,0.0
1825,6.427973175959778e-08,0.0
1826,4.844391554570393e-08,0.0
1827,4.7929820112813104e-08,9.217273055917019e-10
1828,2.8434133270138773e-08,2.7516904310687096e-09
1829,6.258418494553553e-08,0.0
1830,2.6092090266160994e-08,0.0
1831,1.7150327380477393e-08,1.5591206103948707e-09
1832,5.682587200794842e-08,1.3529969367098715e-09
1833,6.02348677603004e-08,0.0
1834,2.0535967593104942e-08,0.0
1835,3.6302822081779595e-08,0.0
1836,2.5538851033957144e-08,4.704525213838906e-09
1837,2.0873672568200163e-08,1.3915781860163179e-09
1838,4.229148586887277e-08,0.0
1839,4.1249702320556025e-08,6.9914751765765e-10
1840,2.7389662093924017e-08,0.0
1841,2.5682194149112547e-08,0.0
1842,2.95163662400455e-08,0.0
1843,4.1939067330076796e-08,0.0
1844,2.195424464446205e-08,0.0
1845,2.2320911341466854e-08,0.0
1846,1.8734404250153602e-08,0.0
1847,3.289866512545814e-08,0.0
1848,1.689496542667257e-08,0.0
1849,2.6814127807028854e-08,0.0
1850,2.5119284430275002e-08,0.0
1851,1.6768540334055615e-08,9.029214709244116e-09
1852,3.190167419120371e-08,0.0
1853,3.1054046445433414e-08,0.0
1854,2.3900057044556888e-08,0.0
1855,3.078023524949458e-08,0.0
1856,3.2616291889553395e-08,0.0
1857,3.4658715009072694e-08,1.4644527812635033e-09
1858,4.5511185930990905e-08,0.0
1859,6.772590666059841e-08,0.0
1860,4.211009141386057e-08,0.0
1861,3.8670901147952463e-08,4.715963730639317e-10
1862,4.9246050792817186e-08,0.0
1863,4.295374012031061e-08,0.0
1864,3.7398876884253696e-08,0.0
1865,2.447559133145205e-08,0.0
1866,2.3354942868536455e-08,0.0
1867,3.105799351033056e-08,0.0
1868,3.359114231216154e-08,9.87974813071446e-10
1869,4.688178378842167e-08,0.0
1870,3.7271316699616364e-08,0.0
1871,3.9298356568906456e-08,0.0
1872,3.749350341308855e-08,0.0
1873,4.549363552541763e-08,0.0
1874,2.7483201492373155e-08,0.0
1875,4.062284375550007e-08,0.0
1876,5.9250943706956605e-08,0.0
1877,2.5976227391311113e-08,0.0
1878,2.8383716710322915e-08,0.0
1879,2.871382953628654e-08,0.0
1880,3.144744553651435e-08,6.417846254436199e-10
1881,3.486253774553916e-08,1.3945015142624584e-09
1882,2.5290463057103807e-08,0.0
1883,5.687405035814663e-08,1.2638677882037541e-09
1884,3.6969503014461225e-08,0.0
1885,5.414333870135124e-08,0.0
1886,3.743009102663564e-08,0.0
1887,7.63884173693441e-08,6.528924623161458e-10
1888,2.9166827175686194e-08,0.0
1889,5.0121094830046786e-08,0.0
1890,4.4569826940232815e-08,0.0
1891,3.4420789774003424e-08,0.0
1892,5.0774950466347946e-08,0.0
1893,3.3255449949365357e-08,1.847525021858587e-09
1894,4.222031435574536e-08,0.0
1895,5.2963805785566365e-08,0.0
1896,5.189385632320409e-08,0.0
1897,3.612562338162206e-08,0.0
1898,3.960848360406999e-08,4.52668391659472e-09
1899,3.924580482816964e-08,5.527578395003729e-10
1900,3.4780054392058446e-08,2.595526460424935e-09
1901,2.738482152153665e-08,2.794369402536745e-09
1902,2.3078333910575566e-08,4.910283846193408e-10
1903,2.430099144135056e-08,0.0
1904,3.547252447333449e-08,0.0
1905,2.0643035725242953e-08,0.0
1906,4.423998589686562e-08,0.0
1907,3.445705232252294e-08,0.0
1908,4.5675918158849527e-08,0.0
1909,5.005895076237721e-08,0.0
1910,5.985448581213859e-08,0.0
1911,5.69280018680729e-08,5.320374141248863e-10
1912,5.261515312326992e-08,0.0
1913,4.401481490390324e-08,0.0
1914,3.683209115479258e-08,4.018046340092951e-09
1915,3.416420923940677e-08,0.0
1916,2.197492321442951e-08,0.0
1917,1.4256351654751143e-08,0.0
1918,5.6283244731503146e-08,0.0
1919,4.4197673076951105e-08,0.0
1920,4.694783584113793e-08,7.572231730534895e-10
1921,3.862101038976107e-08,2.2718242842501013e-09
1922,4.869437475463201e-08,7.377935484775833e-10
1923,2.9724654737606215e-08,0.0
1924,3.9964035636330664e-08,2.578324886925998e-09
1925,3.189471442510694e-08,1.0998177923937646e-09
1926,2.3406890647947876e-08,4.458455382660986e-09
1927,7.91594985116717e-08,1.1149224876660924e-09
1928,6.741364444451392e-08,1.1426041224282812e-09
1929,5.458799279267623e-08,0.0
1930,4.411513643276521e-08,0.0
1931,6.957267828511249e-08,0.0
1932,5.589363638591749e-08,0.0
1933,3.670611903316967e-08,0.0
1934,5.6313425034204556e-08,0.0
1935,5.2660450222674626e-08,2.393656828303392e-09
1936,2.9099314957647948e-08,0.0
1937,2.5182236740306507e-08,1.2591118148108649e-09
1938,2.3337385357535823e-08,0.0
1939,4.129393715857077e-08,0.0
1940,2.7893612752905028e-08,0.0
1941,5.312704587367989e-08,0.0
1942,5.76500234217292e-08,0.0
1943,4.935499831049128e-08,2.9032352077962287e-09
1944,5.1410978585408884e-08,0.0
1945,6.535512397931598e-08,0.0
1946,3.897909195416105e-08,1.3921104269343232e-09
1947,4.4107220986688844e-08,0.0
1948,3.261566305923225e-08,0.0
1949,2.846932467548413e-08,0.0
1950,4.5732054587688253e-08,0.0
1951,2.8785784422780125e-08,0.0
1952,5.5887461769543734e-08,0.0
1953,2.8011951869189033e-08,0.0
1954,1.7590565448699635e-08,9.772536113672459e-10
1955,3.848099083825218e-08,0.0
1956,2.616342520411763e-08,0.0
1957,1.767007518083119e-08,2.6505113659425206e-09
1958,3.4743422361316334e-08,1.6544486891589827e-09
1959,4.030388822684472e-08,0.0
1960,4.982999968206059e-08,6.920833350854139e-10
1961,2.570818935510033e-08,1.3896318540318475e-09
1962,3.2343976386073336e-08,0.0
1963,2.9743844720542256e-08,1.939815863494232e-09
1964,3.467862086381501e-08,0.0
1965,3.502107759345563e-08,0.0
1966,3.9881339120029224e-08,0.0
1967,4.338695447358987e-08,0.0
1968,2.8295920273535557e-08,4.4914158503495116e-10
1969,2.2254612375149918e-08,4.5417578031781147e-10
1970,1.839489982558007e-08,2.2993624781975086e-09
1971,3.083038535578453e-08,2.0553589941130213e-09
1972,1.487742551375959e-08,5.130146862875051e-10
1973,1.268036875501366e-08,0.0
1974,1.6314157136321228e-08,0.0
1975,1.6563292959403952e-08,5.711480177694739e-10
1976,2.3425460682346966e-08,2.285410749536254e-09
1977,1.4104276857551667e-08,2.938390863960194e-09
1978,2.8514838490423244e-08,2.970295565063452e-09
1979,1.8726314721106974e-08,0.0
1980,3.809050852510154e-08,1.1370301367108482e-09
1981,2.7199863694704618e-08,0.0
1982,2.0484757001781873e-08,1.2415004579935385e-09
1983,1.6419821946556112e-08,0.0
1984,2.3775934110403796e-08,1.1598016991243298e-09
1985,2.3460676956688076e-08,0.0
1986,1.9182353483415682e-08,5.994485463567401e-10
1987,1.711028652096047e-08,1.2221633705067347e-09
1988,9.594486094499644e-09,5.996553809062277e-10
1989,3.1831110192115375e-08,0.0
1990,2.1249737969242233e-08,1.089730194969718e-09
1991,1.817054240405014e-08,0.0
1992,1.8182815253453555e-08,0.0
1993,1.550978012687665e-08,3.323524566667402e-09
1994,1.5297286992677073e-08,1.5824779264761446e-09
1995,2.331653803366862e-08,5.422450821690461e-10
1996,1.7081895009596337e-08,5.338092190498855e-10
1997,1.2466725429760572e-08,9.58978896292706e-10
1998,1.4304387896402204e-08,0.0
1999,1.96518641359944e-08,0.0
2000,1.6346715980830595e-08,8.836062992401139e-10
2001,1.4896119893137438e-08,4.3812117822561447e-10
2002,1.62105191492401e-08,0.0
2003,1.750107614384433e-08,1.6667691671301554e-09
2004,1.3654853248112886e-08,4.404791253964646e-10
2005,1.7114247796712334e-08,4.503749373441224e-09
2006,2.3060183096390574e-08,0.0
2007,1.5977917655618512e-08,7.988958938831558e-10
2008,1.1920831433087642e-08,4.257439678578834e-10
2009,1.192048149079028e-08,4.76819250749827e-10
2010,2.1257068993918438e-08,0.0
2011,2.2943831723409858e-08,0.0
2012,3.029784778618705e-08,0.0
2013,2.5102124823206395e-08,8.367375126105969e-10
2014,3.724565544871439e-08,8.661780737106994e-10
2015,3.5021891164888075e-08,1.5516027351836215e-09
2016,4.7847954931512504e-08,4.1426800878596737e-10
2017,2.0628013075452145e-08,7.54683426862357e-10
2018,2.9686866298561654e-08,2.5814667070633845e-10
2019,3.7499521710060435e-08,2.04079020349468e-09
