year,bons_ADJ yeux_NOUN,bons_ADJ vieux_NOUN
1800,2.7668647817336023e-07,0.0
1801,5.619590979222266e-07,0.0
1802,2.618272958443413e-07,0.0
1803,2.398917331447592e-07,0.0
1804,5.19088700912107e-07,0.0
1805,2.956592766167887e-07,0.0
1806,1.930718269704812e-07,0.0
1807,1.4804166426074516e-07,0.0
1808,2.039466551195801e-07,0.0
1809,1.2424668227595248e-07,0.0
1810,2.620942041176022e-07,0.0
1811,2.0808737133393151e-07,0.0
1812,2.1604387256957125e-07,0.0
1813,2.041776525629757e-07,0.0
1814,1.4474714760126517e-07,0.0
1815,1.1058616422587875e-07,0.0
1816,2.456660013194778e-07,0.0
1817,3.8921834288885293e-07,0.0
1818,2.944530876902718e-07,0.0
1819,1.594061700416205e-07,0.0
1820,1.8986369809681491e-07,0.0
1821,3.717780998613307e-07,0.0
1822,1.9048670196752937e-07,5.012807946513931e-09
1823,1.7690010167825676e-07,0.0
1824,2.484228218690987e-07,0.0
1825,2.2277771449807915e-07,0.0
1826,1.6206691100251192e-07,0.0
1827,1.6222401200138847e-07,0.0
1828,1.8528048428834154e-07,0.0
1829,2.1261476490508358e-07,0.0
1830,2.066493465235908e-07,0.0
1831,1.855353559676587e-07,0.0
1832,1.9077256752098037e-07,0.0
1833,1.8186297268130147e-07,0.0
1834,2.3523017489424092e-07,0.0
1835,2.102538445569735e-07,7.563087933704082e-10
1836,2.0162249825261824e-07,0.0
1837,1.6907675615129847e-07,0.0
1838,1.666410724965317e-07,2.5248647617104325e-09
1839,1.5521074203661556e-07,2.0974426639952526e-09
1840,1.738925021754767e-07,6.369688665408546e-10
1841,1.5666138608594338e-07,0.0
1842,1.9588134136938606e-07,1.341653010911159e-09
1843,1.9729083078345866e-07,0.0
1844,1.904530790852732e-07,0.0
1845,1.6461672203149647e-07,0.0
1846,1.814895398410954e-07,0.0
1847,1.1002175881458243e-07,0.0
1848,1.4642303369782894e-07,2.413566457803995e-09
1849,1.0055298105271504e-07,5.02764896381791e-09
1850,1.4800011172155791e-07,0.0
1851,1.457573119978406e-07,0.0
1852,1.634146968854111e-07,0.0
1853,1.9229619852012547e-07,5.971931837933653e-10
1854,2.0107221132548148e-07,0.0
1855,1.772517066456203e-07,0.0
1856,1.9673319684443413e-07,0.0
1857,2.108811969492308e-07,0.0
1858,1.957470345814727e-07,4.893676130990343e-09
1859,1.889196283855199e-07,0.0
1860,2.1466992450314137e-07,0.0
1861,1.9193971922959463e-07,0.0
1862,2.837295483004709e-07,0.0
1863,2.427385652481462e-07,9.989241656072068e-10
1864,2.2774958097215858e-07,0.0
1865,1.9721677801953774e-07,0.0
1866,1.6445771677808807e-07,4.865612912574591e-10
1867,1.780981762067313e-07,6.308654931785895e-09
1868,1.6894369991860003e-07,0.0
1869,2.153632010504225e-07,0.0
1870,2.2477470906778763e-07,2.2936195165357276e-09
1871,1.7524942563795776e-07,0.0
1872,2.3524150094544893e-07,0.0
1873,2.2028496005077614e-07,5.387403856360606e-09
1874,2.0074686801763164e-07,0.0
1875,2.837877559613844e-07,5.721527251978387e-09
1876,2.5453721264057094e-07,1.813804439976252e-09
1877,2.554328943915607e-07,0.0
1878,2.6149254495067e-07,0.0
1879,2.1565918473243073e-07,0.0
1880,2.27833538701816e-07,7.701415505323439e-09
1881,2.551937825501227e-07,0.0
1882,3.4208679267067055e-07,1.9966155395678697e-09
1883,3.1533500077784993e-07,0.0
1884,2.442627931031893e-07,0.0
1885,2.803851657517953e-07,6.445635691854079e-10
1886,2.9298726644810813e-07,6.453463874400711e-10
1887,2.8009085895064345e-07,0.0
1888,2.567948911291751e-07,6.340614699951175e-10
1889,2.6564180188870523e-07,0.0
1890,2.529993139432918e-07,0.0
